snowlines,limey
perennibranch,82.23682440542535
perennibranch,101.53858894014928
perennibranch,94.70895352851417
perennibranch,108.00278907640265
perennibranch,107.6617350374581
perennibranch,96.73142106653513
perennibranch,87.51585224087556
perennibranch,86.24188189912736
perennibranch,107.97666347767364
perennibranch,100.90637922087129
perennibranch,86.88793041510395
perennibranch,114.22487278791124
perennibranch,117.49790591805566
perennibranch,116.96666316157172
perennibranch,105.57831971373096
perennibranch,98.7641171109688
perennibranch,107.95709785856768
perennibranch,108.05050512994212
perennibranch,92.32626443238324
perennibranch,93.6902164710774
perennibranch,104.78246272311863
perennibranch,95.59898052482485
perennibranch,114.25950461683729
perennibranch,95.92027245158826
perennibranch,99.60770327671355
perennibranch,101.96691718144143
perennibranch,124.11206073400109
perennibranch,89.42057287618704
perennibranch,102.05321489973342
perennibranch,108.3601403952694
perennibranch,101.95180567025635
perennibranch,97.19106384598253
perennibranch,95.03861120592383
perennibranch,92.22977279450068
perennibranch,93.41844976293714
perennibranch,93.19965307483837
perennibranch,93.30038482460054
perennibranch,95.88373318143026
perennibranch,106.05421519243322
perennibranch,95.32338560736243
perennibranch,94.74492611398655
perennibranch,101.8668692201603
perennibranch,91.29241077948282
perennibranch,99.85343078923586
perennibranch,99.32284513230029
perennibranch,87.11405933602677
perennibranch,87.52434095468877
perennibranch,93.97220286762074
perennibranch,110.08335601439087
perennibranch,96.50978624361821
perennibranch,94.98027515437362
perennibranch,97.33466464655947
perennibranch,96.76260339780632
perennibranch,99.2837754185803
perennibranch,102.29466791300119
perennibranch,103.88374478150779
perennibranch,96.18461017488703
perennibranch,90.4012198549417
perennibranch,95.57580646996793
perennibranch,106.4864761301377
perennibranch,99.10388715940579
perennibranch,86.39144585274244
perennibranch,85.678896597338
perennibranch,101.80984099254219
perennibranch,108.37571017764951
perennibranch,99.24615247183418
perennibranch,99.15346583157952
perennibranch,97.4676755004623
perennibranch,98.55679035337224
perennibranch,100.90559633063988
perennibranch,112.38994379689122
perennibranch,101.04242328978434
perennibranch,87.4433116602475
perennibranch,102.43162490588203
perennibranch,91.89647030086543
perennibranch,92.08891955429861
perennibranch,104.66739818550896
perennibranch,88.35725953750452
perennibranch,95.64976808097249
perennibranch,107.09945319050058
perennibranch,94.349762658839
perennibranch,122.2892672442166
perennibranch,94.96262051538724
perennibranch,101.28823369767464
perennibranch,106.09466748429281
perennibranch,93.77568704987401
perennibranch,111.45833123141203
perennibranch,100.17983569258557
perennibranch,100.53384073180517
perennibranch,92.36510195633517
perennibranch,96.6509208325407
perennibranch,122.92077637551665
perennibranch,105.59497179542802
perennibranch,99.60149121896481
perennibranch,90.92660089206396
perennibranch,101.43527103303556
perennibranch,104.6418708384155
perennibranch,110.84198883342582
perennibranch,91.9905904368199
azithromycin,98.7708409310412
azithromycin,94.61622636066444
azithromycin,129.73041517894194
azithromycin,98.43440679656409
azithromycin,106.95544700048757
azithromycin,104.5185210505117
azithromycin,106.66129072197806
azithromycin,96.87378228457841
azithromycin,112.72860512559511
azithromycin,101.14232754389242
azithromycin,107.39672712561324
azithromycin,113.7674599078724
azithromycin,100.5947117725738
azithromycin,110.92273708062841
azithromycin,102.99514300428181
azithromycin,106.00374002951811
azithromycin,118.7603050830695
azithromycin,108.04126083781279
azithromycin,103.72069518276543
azithromycin,108.82347904935341
azithromycin,100.45708034966158
azithromycin,113.27152744450402
azithromycin,97.09501575255008
azithromycin,96.21195437741179
azithromycin,107.67361932837505
azithromycin,90.92074944491416
azithromycin,102.80382760629044
azithromycin,107.80529263677238
azithromycin,100.31270955294619
azithromycin,108.39693386694157
azithromycin,102.83694981500892
azithromycin,113.84521358150494
azithromycin,90.80945908779933
azithromycin,98.60644409119055
azithromycin,99.79304801949282
azithromycin,90.52749893621032
azithromycin,109.94303676073424
azithromycin,102.14270006185764
azithromycin,99.109962180956
azithromycin,104.50326154372824
azithromycin,109.97193565295105
azithromycin,104.48891961195797
azithromycin,119.23611896958086
azithromycin,98.44566971374087
azithromycin,98.14117976384166
azithromycin,106.02656069226967
azithromycin,104.58491922627317
azithromycin,112.08523589820756
azithromycin,102.43895085642727
azithromycin,101.59455425577947
azithromycin,111.25521751914476
azithromycin,117.85040828814174
azithromycin,109.35386502496851
azithromycin,92.66333398470155
azithromycin,97.06243427143173
azithromycin,101.53384578598003
