caramelisation,biblioclast
limey,-2.7401971127714346
limey,-2.137715566421168
limey,-2.09450652773824
limey,-1.9853185853697652
limey,-1.616766555847661
limey,-1.6021190467436448
limey,-1.545363028810389
limey,-1.444423967444956
limey,-1.4172719245497467
limey,-1.340890867334199
limey,-1.2936636469948821
limey,-1.287381022936058
limey,-1.2278173688699006
limey,-1.2263342558681147
limey,-1.2017816934949566
limey,-1.1704613625759923
limey,-1.1595476444999717
limey,-1.0471680433406803
limey,-1.02100357000401
limey,-0.9524569775608295
limey,-0.9099277480597686
limey,-0.8946231071288855
limey,-0.8195947115951572
limey,-0.8103481687524403
limey,-0.7928595577648475
limey,-0.7557876268804808
limey,-0.7173831805620906
limey,-0.7082571225174219
limey,-0.6743535686938814
limey,-0.6510269820068034
limey,-0.613549208258733
limey,-0.5641813385923002
limey,-0.5380623631942371
limey,-0.5367962903772378
limey,-0.5164461328949681
limey,-0.5003371693507361
limey,-0.4935888423270727
limey,-0.4600195920150548
limey,-0.45090542852885523
limey,-0.4465377320069482
limey,-0.44321822230813984
limey,-0.3757266358035111
limey,-0.34868961899243195
limey,-0.32856739910769517
limey,-0.27480642359228963
limey,-0.21502848237288202
limey,-0.19365273844776737
limey,-0.15371493561481908
limey,-0.14881463180539986
limey,-0.1426090238931233
limey,-0.1422762321478123
limey,-0.12848852212777087
limey,-0.11604084305925316
limey,-0.10652641949037894
limey,-0.08043081613107479
limey,-0.06452257848621049
limey,-0.06380711656653879
limey,-0.059818921172512564
limey,-0.05651341301208847
limey,-0.038720801934944156
limey,-0.004283501857155897
limey,0.007585917147793835
limey,0.027119246913028625
limey,0.06474263087550612
limey,0.08010683204979499
limey,0.1831084862413179
limey,0.19770284349358677
limey,0.24900544756629767
limey,0.2688170255262966
limey,0.30282222095739897
limey,0.34172541454156746
limey,0.3623349853179348
limey,0.36403298902972786
limey,0.37282750170497375
limey,0.42631445402212675
limey,0.4318418610108849
limey,0.44632489740346376
limey,0.45661360484501007
limey,0.45717691882136346
limey,0.476674798523466
limey,0.48399476893004134
limey,0.5156238124591273
limey,0.5355441062196927
limey,0.6858905843718895
limey,0.6936515444650093
limey,0.6958525152108658
limey,0.7169241569654254
limey,0.7887594361885479
limey,0.8894497437478072
limey,0.9130412625084166
limey,0.9355921207462422
limey,0.9554548582625164
limey,1.0070916088455542
limey,1.0542599424192711
limey,1.0685787364967794
limey,1.0895892504685636
limey,1.169782103451745
limey,1.1734269790757033
limey,1.209889124500103
limey,1.2587130376144526
limey,1.36471082515635
limey,1.3907590181455662
limey,1.5036428641499682
limey,1.589627045330992
limey,1.8546955046406435
limey,2.040905036389127
limey,2.1566702813582133
limey,2.2215150083831467
augment,-11.541534737195832
augment,-10.026026597386007
augment,-9.842361169774103
augment,-9.166661129679303
augment,-8.253031586844203
augment,-7.180577830989803
augment,-6.816824913213895
augment,-6.515390617809058
augment,-6.423644912653208
augment,-6.272764378008147
augment,-5.923736781780503
augment,-5.845145065098267
augment,-5.694459012065712
augment,-5.6209315670395705
augment,-5.34897457851049
augment,-5.101239459763298
augment,-4.889615636013066
augment,-4.821884748209188
augment,-4.539843560097783
augment,-4.532448706024166
augment,-4.331840582059455
augment,-4.303417190702586
augment,-4.276813373381647
augment,-4.183072530200953
augment,-3.7115273456314704
augment,-3.5947988979142944
augment,-3.5199154951320604
augment,-3.148908673394915
augment,-3.1127183069460154
augment,-3.016443532677974
augment,-3.010083808793793
augment,-2.841238280135423
augment,-2.5963303991504754
augment,-2.5245253567787738
augment,-2.342557418666448
augment,-1.8290981199998217
augment,-1.4776001756876431
augment,-1.0550749108209565
augment,-0.9874353215166394
augment,-0.9049451840448784
augment,-0.8494880182456891
augment,-0.7396949714995029
augment,-0.658018441212165
augment,-0.5059122392718565
augment,-0.4981480026220238
augment,-0.23719782731986827
augment,-0.041654173407052526
augment,-0.008313699420217358
augment,0.033349786472172516
augment,0.1559379680104647
augment,0.3083111036918063
augment,0.44195565037189216
augment,0.5146769983062426
augment,0.5290849404913621
augment,0.5682918381733187
augment,0.6663746551344071
augment,0.7027631663280268
augment,0.8715580530977415
augment,0.9641878746802339
augment,1.0273391305533215
augment,1.095170365662827
augment,1.2313196229573125
augment,1.390584445253388
augment,1.5007989908361938
augment,1.7117872905628628
augment,1.7429413228908943
augment,1.7767538682469166
augment,2.141916411442019
augment,2.3656531021109726
augment,2.9534913989498848
augment,2.9660461605462327
augment,3.040220965628124
augment,3.0576929220312
augment,3.149066763927355
augment,3.2462272516532686
augment,3.3738928619651913
augment,3.42299212040582
augment,3.4412220581386825
augment,3.730307233819532
augment,3.853035319734447
augment,3.909095577029251
augment,4.023353029963941
augment,4.174655524601327
augment,4.234511243706554
augment,4.293790769228132
augment,4.4844322606453675
augment,4.528611817690201
augment,4.58595714630458
augment,4.698507885887731
augment,4.827322327922897
augment,4.902080599740247
augment,5.155140359592329
augment,5.219906826969193
augment,5.581057933965092
augment,5.685988413433612
augment,6.012912377473824
augment,6.118446883780026
augment,6.565659725606743
augment,6.85618737419496
augment,10.29820466058869
azithromycin,-23.62967220199737
azithromycin,-22.238342372023986
azithromycin,-18.811803282801105
azithromycin,-14.925939130644053
azithromycin,-13.5865861222721
azithromycin,-13.38193440752124
azithromycin,-13.336677967167759
azithromycin,-12.917219455498303
azithromycin,-12.71565541659554
azithromycin,-12.318251202194489
azithromycin,-11.271840024660719
azithromycin,-9.884118626761088
azithromycin,-9.08716985088309
azithromycin,-8.948525231802076
azithromycin,-8.736649247232274
azithromycin,-8.305885565001507
azithromycin,-8.266603214115982
azithromycin,-7.07192801590337
azithromycin,-6.997864276821923
azithromycin,-6.514169627867303
azithromycin,-6.354901161356465
azithromycin,-6.044157766298719
azithromycin,-5.945250746748998
azithromycin,-5.768469541283453
azithromycin,-5.759715679274773
azithromycin,-5.331397885865287
azithromycin,-5.240196211143164
azithromycin,-5.216997795512675
azithromycin,-5.211571993663281
azithromycin,-4.275739742761289
azithromycin,-4.213851156045691
azithromycin,-4.1121932578855205
azithromycin,-3.8410404961346987
azithromycin,-3.623204532138443
azithromycin,-3.6203562237115174
azithromycin,-3.125982960864595
azithromycin,-2.9405131333409225
azithromycin,-2.733597509235238
azithromycin,-2.5293710816301522
azithromycin,-2.301150516012624
azithromycin,-2.226270547304754
azithromycin,-2.164490779036817
azithromycin,-1.484108497860911
azithromycin,-1.331780512457679
azithromycin,-1.1604192138251666
azithromycin,-1.1432531973709865
azithromycin,-0.6392328610353869
azithromycin,-0.2351770515928086
azithromycin,-0.2338839073491773
azithromycin,-0.16654036510054537
azithromycin,0.05208777730846896
azithromycin,0.1708477351409924
azithromycin,0.18632997449116218
azithromycin,0.22368990664992552
azithromycin,0.34404909502985886
azithromycin,0.5063488370407964
azithromycin,0.6056577508077946
azithromycin,0.6303403733007517
azithromycin,0.6594364796774026
azithromycin,1.018862510029754
azithromycin,1.0313066049461204
azithromycin,1.7637575608656768
azithromycin,2.187297959025316
azithromycin,2.246722732102806
azithromycin,2.3112336159724545
azithromycin,2.5563634643829167
azithromycin,2.566922401398742
azithromycin,2.8717784651206957
azithromycin,3.127649985602842
azithromycin,3.2999279923027904
azithromycin,3.912726686270771
azithromycin,4.061141533018434
azithromycin,4.188206242793532
azithromycin,4.532331708764201
azithromycin,4.618972137062254
azithromycin,4.744443600964866
azithromycin,5.218069734943878
azithromycin,5.573517400700731
azithromycin,5.585892039432881
azithromycin,6.045291274182438
azithromycin,6.375838767904898
azithromycin,6.505254912857889
azithromycin,6.510546793591733
azithromycin,6.678562449715841
azithromycin,7.025350680681288
azithromycin,7.296863596932812
azithromycin,7.45055691100117
azithromycin,7.603806649641116
azithromycin,8.060510314260958
azithromycin,8.420293953098598
azithromycin,8.442955942407133
azithromycin,9.15890349652481
azithromycin,9.465257628969109
azithromycin,9.521073044211821
azithromycin,9.925429925017056
azithromycin,10.023221501901467
azithromycin,10.042143017956267
azithromycin,10.814091834829316
azithromycin,10.86906384437754
azithromycin,11.23096209400759
azithromycin,11.70162732192324
azithromycin,11.891437578534745
azithromycin,12.20326696280284
azithromycin,12.40782410496778
azithromycin,13.18287404552364
azithromycin,20.094205534219256
Judaea,-22.861658789499508
Judaea,-22.566550172013017
Judaea,-20.14649609605935
Judaea,-19.25242727873943
Judaea,-17.90405339912224
Judaea,-16.735821127558662
Judaea,-15.721682090836449
Judaea,-13.80220954572421
Judaea,-13.305349925742068
Judaea,-13.245443864727104
Judaea,-10.855149071115774
Judaea,-10.574350803085865
Judaea,-10.5460990582165
Judaea,-9.952431534539638
Judaea,-9.84309933839214
Judaea,-9.76117723761556
Judaea,-9.55813251698485
Judaea,-9.451226841841343
Judaea,-9.378034751042199
Judaea,-9.067478639497116
Judaea,-7.873668129141817
Judaea,-7.773620370008805
Judaea,-7.339350498562442
Judaea,-7.298745938505488
Judaea,-6.248515803914803
Judaea,-6.152352105243509
Judaea,-6.061259754954016
Judaea,-5.771124600882745
Judaea,-5.037659303989863
Judaea,-3.614612845793823
Judaea,-3.2325372503881846
Judaea,-2.7463410986309014
Judaea,-2.5936560830665143
Judaea,-2.591605092623661
Judaea,-2.568589744035914
Judaea,-2.5371758762258434
Judaea,-2.478202222072396
Judaea,-2.4767953101780154
Judaea,-2.4638060372174735
Judaea,-2.0634018646460808
Judaea,-2.0431116057000462
Judaea,-2.041192501521303
Judaea,-1.9011422942695733
Judaea,-1.873920845628575
Judaea,-1.6723151911656315
Judaea,-1.5371468264822963
Judaea,-1.3270008504374518
Judaea,-1.1010239476269885
Judaea,-0.40751909818672627
Judaea,-0.3386249795206091
Judaea,-0.27931816340867505
Judaea,0.12750565919419232
Judaea,0.49181969585925295
Judaea,0.7845817363933388
Judaea,0.8618254969835601
Judaea,1.7613504394686148
Judaea,2.0837810987064107
Judaea,2.662869199357226
Judaea,2.663614202469118
Judaea,2.747903236778093
Judaea,2.796514470364227
Judaea,3.342391268900616
Judaea,3.519463825002976
Judaea,3.618873701846497
Judaea,3.7077775331429232
Judaea,3.8828958451069395
Judaea,4.1540380805073
Judaea,4.206744302510868
Judaea,4.383076065891074
Judaea,4.737474685797027
Judaea,5.787339377106966
Judaea,5.794182254802806
Judaea,6.1812745396159485
Judaea,6.4598679986472005
Judaea,6.718320841294261
Judaea,6.721978940548889
Judaea,6.812752906263583
Judaea,6.886045153084464
Judaea,6.970920730746428
Judaea,7.358123191686876
Judaea,7.706658574391274
Judaea,7.722193245959762
Judaea,9.100296664346235
Judaea,9.554027858346302
Judaea,10.393957391571364
Judaea,10.851545732452214
Judaea,10.863525442152538
Judaea,11.17582496670658
Judaea,11.306084732133819
Judaea,12.067300468684087
Judaea,13.854237663007698
Judaea,13.958568734146603
Judaea,13.958757113813766
Judaea,14.000069649076416
Judaea,16.542831983771702
Judaea,17.698798771698392
Judaea,22.93053282734548
dissection,-1.8903531064706722
dissection,-1.5525224597017768
dissection,-1.3680202597758413
dissection,-1.1431725090930536
dissection,-1.1307239964826832
dissection,-1.1222220496571826
dissection,-1.0148794541024284
dissection,-0.8932605770093114
dissection,-0.8814514135305832
dissection,-0.8170024918757564
dissection,-0.7917931933680381
dissection,-0.7175318689009782
dissection,-0.7025586413348451
dissection,-0.6680660537291085
dissection,-0.649628976406181
dissection,-0.5852017709159651
dissection,-0.5460019247614231
dissection,-0.5351062667249856
dissection,-0.5348846027559724
dissection,-0.5332589857807832
dissection,-0.5284691095329853
dissection,-0.5284655598496538
dissection,-0.5127843264574627
dissection,-0.49416619322110805
dissection,-0.4693903790356344
dissection,-0.45182086227787616
dissection,-0.43190657814787786
dissection,-0.4248499232780541
dissection,-0.4128261914802468
dissection,-0.37552022612045965
dissection,-0.3479709543786687
dissection,-0.3357481380691398
dissection,-0.33477197759637417
dissection,-0.2508546962791048
dissection,-0.22972816029672408
dissection,-0.21392832498071326
dissection,-0.1985152655567017
dissection,-0.1902731778880773
dissection,-0.0939695885316933
dissection,-0.08455396974764107
dissection,-0.06965513741317204
dissection,-0.035763303590055216
dissection,0.008236803914017298
dissection,0.028370728810385437
dissection,0.041331409574949296
dissection,0.04340484225601919
dissection,0.05382601631540383
dissection,0.11289312104129831
dissection,0.12156099573258969
dissection,0.17020759702921928
dissection,0.17940841299587998
dissection,0.18877423507582866
dissection,0.21743619933440073
dissection,0.22614786187258493
dissection,0.22938865308264353
dissection,0.25381599856390996
dissection,0.2952326668556814
dissection,0.31060406682098307
dissection,0.3245611654804123
dissection,0.326951865064609
dissection,0.3547094695272356
dissection,0.36107114920438255
dissection,0.3752189804691521
dissection,0.3850417133624905
dissection,0.3850827358776174
dissection,0.41903555690099514
dissection,0.4263098686448926
dissection,0.46974569186955634
dissection,0.5224736251642499
dissection,0.5661814730749187
dissection,0.6161619713270184
dissection,0.668443825415118
dissection,0.6746211540371674
dissection,0.7285034240561618
dissection,0.8148474433682921
dissection,0.8284803994951447
dissection,0.8352826418735122
dissection,0.8359186400138465
dissection,0.9137697808278096
dissection,0.9645752498275694
dissection,1.0635823774170599
dissection,1.0756855607862201
dissection,1.0864502379212342
dissection,1.1203368239153302
dissection,1.1600658635799075
dissection,1.2575076944980819
dissection,1.2640139074943157
dissection,1.329288734897894
dissection,1.4820694864244852
dissection,2.1057524496392444
effacement,-0.41609249258727077
effacement,-0.4075632148691006
effacement,-0.3856851966170701
effacement,-0.38217686449776717
effacement,-0.3757866646869117
effacement,-0.31988207611133973
effacement,-0.3110049279289422
effacement,-0.26387406073458164
effacement,-0.25529759353018544
effacement,-0.2245925695017629
effacement,-0.21911831646704685
effacement,-0.20436926755088922
effacement,-0.2001346944423975
effacement,-0.19915982992079662
effacement,-0.1957189274789266
effacement,-0.19524925836371584
effacement,-0.18367684838317844
effacement,-0.15240642912289631
effacement,-0.129883708734581
effacement,-0.1282546906361302
effacement,-0.12265755656359123
effacement,-0.12215822849954167
effacement,-0.12121329185097406
effacement,-0.09837865161599224
effacement,-0.09586415883386443
effacement,-0.0839686131673771
effacement,-0.07866108330268345
effacement,-0.07409013502628728
effacement,-0.06493716800821472
effacement,-0.06391882692262266
effacement,-0.04014869255670343
effacement,-0.034546188626158277
effacement,-0.03344803996975019
effacement,-0.03342959944648049
effacement,-0.03284756476207822
effacement,-0.020565689128255914
effacement,-0.013841158523290048
effacement,-0.008371310761447249
effacement,-0.0007356933618230666
effacement,0.0012863306282295138
effacement,0.011416618404836336
effacement,0.016142654785675652
effacement,0.020854732829988898
effacement,0.02176702129089036
effacement,0.02931739440662636
effacement,0.03117451299946743
effacement,0.03201621482233388
effacement,0.03645220465914516
effacement,0.04285710859020574
effacement,0.04730082145841621
effacement,0.053549153233883165
effacement,0.05959385320895443
effacement,0.06317457381309338
effacement,0.0698928197797936
effacement,0.0710283160661653
effacement,0.08096363815663944
effacement,0.08142218054253961
effacement,0.08405140134191366
effacement,0.08882327627396852
effacement,0.09172003899860286
effacement,0.09336538911495566
effacement,0.09354162777747696
effacement,0.09976664695125533
effacement,0.1023015433342567
effacement,0.10593572374389057
effacement,0.10889477327899535
effacement,0.11459613925339485
effacement,0.1240812146949647
effacement,0.1424647968704381
effacement,0.1451861084819323
effacement,0.15210773773187067
effacement,0.15525079616500698
effacement,0.161674274976476
effacement,0.1822852427727913
effacement,0.18324171890064295
effacement,0.1891454057500607
effacement,0.19678292201258682
effacement,0.20145078991006699
effacement,0.2076790540224006
effacement,0.21552654776512062
effacement,0.229832854222115
effacement,0.2354182855346725
effacement,0.23790539971960026
effacement,0.26639642531435204
effacement,0.2764887003540324
effacement,0.2785358810819927
effacement,0.2806397593414072
effacement,0.2991015982266809
effacement,0.36064845541467117
effacement,0.3941460728783079
effacement,0.40470950429191593
effacement,0.45686793877146914
rhomboids,-23.326593735043307
rhomboids,-17.257272879868605
rhomboids,-16.709577840373612
rhomboids,-14.878843793401977
rhomboids,-12.095685234677868
rhomboids,-9.50803652809698
rhomboids,-9.180865819560498
rhomboids,-9.036580382853405
rhomboids,-8.582236482764706
rhomboids,-8.513447915955812
rhomboids,-7.725442363785719
rhomboids,-7.241728173871533
rhomboids,-6.9093045582581025
rhomboids,-5.996103982784806
rhomboids,-5.907499038432563
rhomboids,-5.826085819321635
rhomboids,-5.671676523860415
rhomboids,-5.381850867610092
rhomboids,-5.294616267261222
rhomboids,-4.986164469995516
rhomboids,-4.926741549727512
rhomboids,-4.412351439272678
rhomboids,-4.099543970926831
rhomboids,-4.039398315837924
rhomboids,-4.011073362248186
rhomboids,-3.714764015178958
rhomboids,-3.684974861398227
rhomboids,-3.4952377828637116
rhomboids,-3.345518324797544
rhomboids,-3.2572991133152613
rhomboids,-3.2213760254491954
rhomboids,-3.084302554611491
rhomboids,-3.035257036488959
rhomboids,-3.0305453566779685
rhomboids,-2.698550507085715
rhomboids,-2.415408232783358
rhomboids,-2.300839174103393
rhomboids,-2.1424002108114863
rhomboids,-1.7573945488731297
rhomboids,-1.297474937944112
rhomboids,-1.295969961531068
rhomboids,-0.9249097750545796
rhomboids,-0.5762699927143742
rhomboids,-0.5414419914146954
rhomboids,-0.046403696990391895
rhomboids,0.053346548836406195
rhomboids,0.07222544055606545
rhomboids,0.18871569804485117
rhomboids,0.2299570087348212
rhomboids,0.35137441328880326
rhomboids,0.5436869857614246
rhomboids,0.6254125970823489
rhomboids,1.2637099721686036
rhomboids,1.5325741741521948
rhomboids,1.7525151775064263
rhomboids,1.8573609307643764
rhomboids,2.2195043549808204
rhomboids,2.4348410044523026
rhomboids,2.440836815930652
rhomboids,3.2207539591184786
rhomboids,3.6497553273919534
rhomboids,4.269771536895068
rhomboids,4.48978703116433
rhomboids,4.580928399143873
rhomboids,4.967005073382365
rhomboids,5.047108519432418
rhomboids,5.313023550830674
rhomboids,5.3176493389918384
rhomboids,5.714769772809407
rhomboids,5.764254551181391
rhomboids,5.877971682565393
rhomboids,6.067681508931927
rhomboids,6.16191853128213
rhomboids,6.566865719328735
rhomboids,6.730293166212044
rhomboids,7.23995000296678
rhomboids,7.493550040355058
rhomboids,7.55210016327775
rhomboids,8.029846730984028
rhomboids,8.237142881408296
rhomboids,8.689059149767363
rhomboids,8.937532090757301
rhomboids,9.174188992146071
rhomboids,9.353880912910963
rhomboids,9.547692447663358
rhomboids,9.783503087374553
rhomboids,9.911880667165663
rhomboids,10.144670716236565
rhomboids,10.172274111886209
rhomboids,10.682019866610693
rhomboids,12.09415925780469
rhomboids,12.22932585053042
rhomboids,12.625205319943511
rhomboids,14.176585068108631
rhomboids,14.61455250212381
rhomboids,14.773985105448945
rhomboids,15.24840670930878
rhomboids,16.78996521270419
