biblioclast,fluor-spar
mastiffs,-15.028772560317456
mastiffs,-13.741177301840958
mastiffs,-12.316043301731893
mastiffs,-12.281507497461543
mastiffs,-12.132856839226546
mastiffs,-10.817400706338622
mastiffs,-9.385112766700932
mastiffs,-9.01997118098466
mastiffs,-8.468432645459027
mastiffs,-8.297867995264252
mastiffs,-8.033675335119817
mastiffs,-7.980289577810822
mastiffs,-7.916414365761641
mastiffs,-6.571625436630742
mastiffs,-6.08444457853451
mastiffs,-5.744854431398218
mastiffs,-5.58019780332276
mastiffs,-5.139052686961638
mastiffs,-4.115769730681821
mastiffs,-3.8412269382665207
mastiffs,-3.346351152464607
mastiffs,-3.3227773616450826
mastiffs,-3.049855504673104
mastiffs,-2.885297422793839
mastiffs,-2.8379095738153777
mastiffs,-2.7067218819544236
mastiffs,-2.42593578873416
mastiffs,-2.4141420109297456
mastiffs,-2.0345804089484214
mastiffs,-1.252548487521748
mastiffs,-1.2383143111555712
mastiffs,-1.0624293278419188
mastiffs,-0.9486108238285704
mastiffs,-0.8216512485487073
mastiffs,-0.7853386453817536
mastiffs,-0.6697782660087958
mastiffs,-0.6127373879904735
mastiffs,-0.5538338813183841
mastiffs,-0.5160047204963171
mastiffs,-0.2335508242153687
mastiffs,-0.2271644835654282
mastiffs,-0.11093281554824841
mastiffs,0.6868343470158486
mastiffs,0.8954422027254935
mastiffs,1.1755968069913802
mastiffs,1.242766865632805
mastiffs,1.2698019605862947
mastiffs,1.6107993809557306
mastiffs,1.8649321200394766
mastiffs,1.9877786559420716
mastiffs,1.9914341850416173
mastiffs,2.0677879863789794
mastiffs,2.15582172007049
mastiffs,2.1831940829428684
mastiffs,2.5171971402699134
mastiffs,2.7127768620458257
mastiffs,2.781600748553156
mastiffs,2.866305940474694
mastiffs,2.9758912081114404
mastiffs,3.163061659684723
mastiffs,3.1717869450896097
mastiffs,3.2288990484950846
mastiffs,3.4697003875180856
mastiffs,3.5058730027250946
mastiffs,3.583275683460534
mastiffs,3.623167014137216
mastiffs,4.039255709149209
mastiffs,4.046577643021055
mastiffs,4.1699013290368665
mastiffs,4.575773097261704
mastiffs,4.586669981033556
mastiffs,4.710229899880131
mastiffs,5.039258532728279
mastiffs,5.546692361288462
mastiffs,5.6202343156864325
mastiffs,5.800808080603102
mastiffs,6.138672364546511
mastiffs,6.162963591878108
mastiffs,6.3477262117686495
mastiffs,6.524824392146425
mastiffs,6.57420691565879
mastiffs,6.66079290098654
mastiffs,7.1384843729154355
mastiffs,7.185299230334774
mastiffs,7.616589703465715
mastiffs,7.783706515066173
mastiffs,8.229800898903543
mastiffs,8.61055181900666
mastiffs,8.979101622045578
mastiffs,9.468056441901894
mastiffs,9.676912358798239
mastiffs,10.020746525903272
mastiffs,10.26701360266977
mastiffs,10.731961552502831
mastiffs,11.23293518300391
mastiffs,11.6288329293443
mastiffs,12.93927969374754
mastiffs,18.28856874508277
azithromycin,-0.6024296088717648
azithromycin,-0.5883823083438625
azithromycin,-0.46028446293682984
azithromycin,-0.42749750461751884
azithromycin,-0.3915796184389006
azithromycin,-0.3206006854223763
azithromycin,-0.31687879488968923
azithromycin,-0.3059428075509295
azithromycin,-0.29951878055907755
azithromycin,-0.2991558815282784
azithromycin,-0.29475633835212484
azithromycin,-0.2835447013646373
azithromycin,-0.2754892200454184
azithromycin,-0.2638309281206834
azithromycin,-0.25461562538344445
azithromycin,-0.24281114333451181
azithromycin,-0.24143489071666477
azithromycin,-0.2374516314495296
azithromycin,-0.2228548995208417
azithromycin,-0.2204730158276606
azithromycin,-0.22043568205612357
azithromycin,-0.21935597217412522
azithromycin,-0.21396386873097348
azithromycin,-0.19842372588317508
azithromycin,-0.19489009061006268
azithromycin,-0.18168280007233714
azithromycin,-0.17881844295616564
azithromycin,-0.17144354613830318
azithromycin,-0.16895863112877116
azithromycin,-0.15740021806297075
azithromycin,-0.127100621184023
azithromycin,-0.1122394905982926
azithromycin,-0.10347118701919966
azithromycin,-0.09887016864703999
azithromycin,-0.07854502274581826
azithromycin,-0.07613899976014903
azithromycin,-0.07581261837517726
azithromycin,-0.07448917884858061
azithromycin,-0.06870178006372915
azithromycin,-0.06833865104125803
azithromycin,-0.06774840481161307
azithromycin,-0.06464331965360748
azithromycin,-0.05850750071447364
