filibusters,streptothricin
snowlines,80.42950174712183
snowlines,78.00516380603212
snowlines,80.95391411340768
snowlines,82.15994780915494
snowlines,76.29466771950132
snowlines,83.16514338839254
snowlines,80.79135002325303
snowlines,78.74936872991623
snowlines,77.98909267304562
snowlines,77.4799151740825
snowlines,80.58246231362651
snowlines,80.26916618950952
snowlines,79.80396006426741
snowlines,76.97630100436555
snowlines,82.57731008299139
snowlines,79.23438124980562
snowlines,76.87337187172972
snowlines,78.36101635958352
snowlines,80.1051413231833
snowlines,82.25311983719318
snowlines,78.3732633317385
snowlines,77.6990944882498
snowlines,79.36552125716048
snowlines,78.20130509316519
snowlines,81.30679052516285
snowlines,80.83852923846474
snowlines,81.58032929940785
snowlines,77.86632071846289
snowlines,78.81437060301641
snowlines,83.51431265498276
snowlines,77.47018087865968
snowlines,80.2809804061219
snowlines,82.74432569878824
snowlines,82.48290218196689
snowlines,76.48199616064798
snowlines,77.82218547564108
snowlines,84.8022881966009
snowlines,80.4101774508261
snowlines,80.50233501934078
snowlines,80.7829684338591
snowlines,82.8617304251513
snowlines,77.78062670225899
snowlines,77.63104068190916
snowlines,84.02113449357901
snowlines,85.50889010776964
snowlines,79.61152019710433
snowlines,82.05549303651789
snowlines,78.34066801625083
snowlines,83.17718240385592
snowlines,81.13860121252507
snowlines,80.99283047903985
snowlines,77.49194269324315
snowlines,84.2910082252486
snowlines,80.40520130433596
snowlines,83.83635451272562
snowlines,81.69644432326683
snowlines,76.2253497499243
snowlines,80.00472411603386
snowlines,78.85592918725263
snowlines,77.6904005709091
snowlines,79.8513407000669
snowlines,75.7916265110559
snowlines,82.2633448650634
snowlines,79.30732575426481
snowlines,79.09031957871281
snowlines,78.85431233561275
snowlines,81.26199217476317
snowlines,79.78614135828167
snowlines,83.88396008953335
snowlines,78.41669511605204
snowlines,81.46435550380609
snowlines,82.38019310307409
snowlines,81.09223808576404
snowlines,77.01309170990173
snowlines,78.69554790750752
snowlines,78.7990416765841
snowlines,80.13309629264685
snowlines,80.94904888690131
snowlines,83.15301860041369
snowlines,80.46918323761496
snowlines,81.23584144571456
snowlines,81.33669931827092
snowlines,82.0000430479361
snowlines,76.8551592341584
snowlines,81.2855676741892
snowlines,82.34173929658238
snowlines,82.24392080585116
snowlines,83.09299961498563
snowlines,80.1598047426915
snowlines,77.41817144127825
snowlines,77.05620557297568
snowlines,85.11174370101698
snowlines,76.84563672239166
snowlines,81.17413008470713
mastiffs,72.40545406587579
mastiffs,77.57074923503623
mastiffs,75.48213675703369
mastiffs,71.27944171653901
mastiffs,75.7163728641168
mastiffs,76.54906124558181
mastiffs,74.63161605152064
mastiffs,76.8662784954199
mastiffs,78.22851106548038
mastiffs,68.90640092023598
mastiffs,76.97399113562436
mastiffs,72.8278172603086
mastiffs,73.16917804382533
mastiffs,74.79242245543458
mastiffs,79.4248439187638
mastiffs,76.96346178235322
mastiffs,71.76777792469348
mastiffs,74.95386946302074
mastiffs,79.49490857296375
mastiffs,77.16354442938548
mastiffs,74.85064749930599
mastiffs,73.82107949060685
mastiffs,71.72077843737125
mastiffs,73.50016109105705
mastiffs,77.23650233285329
mastiffs,75.36567963035762
mastiffs,75.48101899067811
mastiffs,72.68718394303129
mastiffs,69.92120846241158
mastiffs,73.69360067287252
mastiffs,73.39561396286226
mastiffs,75.48142852918454
mastiffs,77.34620316500741
mastiffs,73.00668490994605
mastiffs,77.62066953844891
mastiffs,76.18200898308152
mastiffs,78.74703942933655
mastiffs,76.26618262671063
mastiffs,75.18883954951104
mastiffs,74.93604777036731
mastiffs,74.6236575510315
mastiffs,71.92194012506789
mastiffs,77.47482494901854
mastiffs,75.47266801055358
mastiffs,73.6896463161962
mastiffs,76.76665973766593
mastiffs,76.2739004781583
mastiffs,73.31351623043108
mastiffs,73.26585952429143
mastiffs,73.6861234743489
mastiffs,73.34635466409792
mastiffs,75.40283066951757
mastiffs,75.95021166568803
mastiffs,72.91557260826796
mastiffs,74.24808907078094
mastiffs,71.00242812946429
mastiffs,75.66362762809423
mastiffs,76.1923022767459
mastiffs,74.89932316724591
mastiffs,77.72076080142
mastiffs,76.23601219100493
mastiffs,73.53831683639126
mastiffs,75.20137710254832
mastiffs,74.30795437574177
mastiffs,79.0858115447228
mastiffs,75.056247493999
mastiffs,70.51981470597967
mastiffs,73.54608701764194
mastiffs,74.63903262925578
mastiffs,73.65372472695607
mastiffs,74.06116332537735
mastiffs,74.97960190360787
mastiffs,75.78075989139667
mastiffs,75.82677947622528
mastiffs,73.63902321967794
mastiffs,81.02328546923748
mastiffs,74.19607518199813
mastiffs,74.63296324454807
mastiffs,76.4561417325601
mastiffs,76.2295683541836
mastiffs,72.02120190509937
mastiffs,76.65087592780161
mastiffs,74.59089637645255
mastiffs,75.5397487935473
mastiffs,72.98897672798853
mastiffs,72.88607025991381
mastiffs,72.7344214100539
mastiffs,75.1695853965109
mastiffs,71.39227957200703
mastiffs,74.30108961129329
mastiffs,71.60237320164956
mastiffs,75.6621377021875
mastiffs,76.4394214854508
mastiffs,74.72020227703814
mastiffs,78.02157359743079
mastiffs,78.889209350369
mastiffs,75.6543964924964
mastiffs,73.9425179134905
mastiffs,71.33517020182613
mastiffs,76.37458909043207
mastiffs,77.5805597090072
mastiffs,80.17718411960304
mastiffs,76.04775907037336
mastiffs,75.64516648833818
mastiffs,72.46536289366414
mastiffs,78.84769147817912
