caramelisation,effacement
mastiffs,73.02827848108488
mastiffs,82.94911459367923
mastiffs,65.49087683844412
mastiffs,61.041823619216615
mastiffs,83.97236448775926
mastiffs,67.9430221220183
mastiffs,70.87146819050186
mastiffs,84.22660538789802
mastiffs,86.81832086391178
mastiffs,72.48082559363796
mastiffs,81.20641453087968
mastiffs,70.37676700234239
mastiffs,81.20995566782221
mastiffs,60.17823527329237
mastiffs,72.23865755910707
mastiffs,72.15092889160108
mastiffs,86.43640694152168
mastiffs,85.1718164591323
mastiffs,85.02116061533863
mastiffs,77.5039883885672
mastiffs,76.86442384239962
mastiffs,62.5662435607422
mastiffs,77.82272674255917
mastiffs,62.37786770569788
mastiffs,82.97693860540508
mastiffs,75.86492738145964
mastiffs,72.08929359733735
mastiffs,73.4589655949435
mastiffs,76.65674295846134
mastiffs,95.59165387950313
mastiffs,88.72799915708079
mastiffs,80.35184036129091
mastiffs,74.28359857711406
mastiffs,97.23137582685516
mastiffs,67.84680952734485
mastiffs,64.9800567322825
mastiffs,72.98521734769618
mastiffs,69.97362831310004
mastiffs,91.51892003266701
mastiffs,70.40314489470924
mastiffs,76.23571635483844
mastiffs,82.31466035164523
mastiffs,72.14686296255557
mastiffs,73.40311496139465
mastiffs,71.20505952274847
mastiffs,78.61775174165999
mastiffs,84.69724158305317
mastiffs,90.02397820343906
mastiffs,84.37285090314535
mastiffs,71.07180392903999
mastiffs,77.92585096526406
mastiffs,70.13183259547245
mastiffs,85.09264517260348
mastiffs,64.93832053025602
mastiffs,80.28676396931029
mastiffs,78.75253808497344
mastiffs,85.67801330981071
mastiffs,78.47916105186506
mastiffs,87.9366721873692
mastiffs,77.65956396576061
mastiffs,84.18536659080608
mastiffs,78.16043288337507
mastiffs,72.10928263506143
mastiffs,89.3774334718451
mastiffs,70.94227985635436
mastiffs,60.75310712458301
mastiffs,84.19876449530678
mastiffs,83.24858738158966
mastiffs,86.25062593489876
mastiffs,74.83756779355606
mastiffs,76.01746214658856
mastiffs,67.4746223334069
mastiffs,70.10273399744625
mastiffs,79.10689281818867
mastiffs,64.86956445483148
mastiffs,94.82868570299685
mastiffs,85.12671404571063
mastiffs,59.48212302462125
mastiffs,66.13008116534223
mastiffs,71.70689677024373
mastiffs,73.62482745354035
mastiffs,68.79744531286246
mastiffs,66.3127469775753
mastiffs,72.54335091250088
mastiffs,77.63208032672365
mastiffs,71.33049292670347
mastiffs,61.700354582957175
mastiffs,63.300986081280286
mastiffs,84.80618909114793
mastiffs,80.08482961380442
mastiffs,76.84066405309856
mastiffs,65.48809808315514
mastiffs,89.26984909987445
mastiffs,71.85069775872195
mastiffs,73.6016146432619
azithromycin,72.74725169945035
azithromycin,70.70308191309472
azithromycin,65.65812271794566
azithromycin,84.18636840642269
azithromycin,68.9681221490118
azithromycin,65.25440600062126
azithromycin,75.3171149761775
azithromycin,50.470941064461
azithromycin,65.73817157655861
azithromycin,73.10960752998074
azithromycin,71.3749371853868
azithromycin,80.81321511049902
azithromycin,66.95323821162637
azithromycin,56.63681445687787
azithromycin,74.22290862049731
azithromycin,73.78965008876955
azithromycin,87.13836899426607
azithromycin,69.20389482745618
azithromycin,54.107926587357845
azithromycin,61.690042879116575
azithromycin,77.06041595678111
azithromycin,64.73250043794252
azithromycin,56.043414433673995
azithromycin,65.75690707502046
azithromycin,60.09729702347335
azithromycin,72.9161078100919
azithromycin,87.21058841816959
azithromycin,84.33468167148358
azithromycin,68.15199842284396
azithromycin,78.46748331232642
azithromycin,57.38061364203145
azithromycin,63.37004914786372
azithromycin,85.43925518925772
azithromycin,74.05322134228763
azithromycin,66.51613635245702
azithromycin,66.03413601961114
azithromycin,77.81027146430604
azithromycin,66.78411335021858
azithromycin,66.18746091602276
azithromycin,67.54565315051052
azithromycin,55.69600385497773
azithromycin,67.62823469475585
azithromycin,62.23377128192487
azithromycin,64.51887306695916
azithromycin,58.52903700273096
azithromycin,74.0158275265935
azithromycin,64.02211240812507
azithromycin,77.22918685632308
azithromycin,62.391433003815
azithromycin,76.69378720970349
azithromycin,75.5200777530657
azithromycin,55.498263408076475
azithromycin,72.02606439252526
azithromycin,82.67927982465358
azithromycin,60.382957653608784
azithromycin,65.95767702602095
azithromycin,64.65753922266657
azithromycin,70.89768259565027
azithromycin,74.99592576516855
azithromycin,68.9321707593568
azithromycin,54.23591941664368
azithromycin,75.98921812086351
azithromycin,75.77927150338463
azithromycin,74.60237399178573
azithromycin,68.07716537094733
azithromycin,74.74209690499316
azithromycin,58.2033488774985
azithromycin,78.30508831464633
azithromycin,68.63089541523243
azithromycin,70.99676863479472
azithromycin,79.88763042294963
azithromycin,62.84252712096013
azithromycin,75.43309215783546
azithromycin,84.640549345387
azithromycin,64.44228254761147
