azithromycin,lungers
perennibranch,41.91973254161879
perennibranch,45.8992098790355
perennibranch,43.70162341184582
perennibranch,46.16432450463461
perennibranch,48.654677346419675
perennibranch,46.71960560197581
perennibranch,49.77843631191074
perennibranch,41.74091193484643
perennibranch,43.52225771563124
perennibranch,45.21121881468514
perennibranch,45.10252498961922
perennibranch,51.58830762892709
perennibranch,42.9086127364108
perennibranch,45.77707950293682
perennibranch,46.806834440550304
perennibranch,49.7062193191246
perennibranch,46.84609548808961
perennibranch,49.99116264479599
perennibranch,49.54156228113606
perennibranch,48.4895213174776
perennibranch,47.54287909094277
perennibranch,48.5354438146871
perennibranch,45.32462058634061
perennibranch,47.98620834234783
perennibranch,48.58213145941075
perennibranch,46.01848550980401
perennibranch,46.55060852302581
perennibranch,45.95094509686339
perennibranch,47.911191394159026
perennibranch,41.285111165585185
perennibranch,46.77498901183697
perennibranch,45.24951366392631
perennibranch,46.69775495579145
perennibranch,44.34325778059212
perennibranch,50.30370022668289
perennibranch,46.164675427883736
perennibranch,40.91606243311454
perennibranch,48.839385836618796
perennibranch,48.30300450129081
perennibranch,44.63015570950526
perennibranch,44.35089237382721
perennibranch,47.80507866989379
perennibranch,50.793423274021436
perennibranch,50.31533687698612
perennibranch,47.20895381694161
perennibranch,39.88739226893475
perennibranch,50.30519892398766
perennibranch,50.68448897238783
perennibranch,46.52078925486249
perennibranch,42.793640969137606
perennibranch,47.78955425380994
perennibranch,45.82725369024148
perennibranch,48.54978320536023
perennibranch,47.43027561233064
perennibranch,44.570043023239236
perennibranch,45.3056124082485
perennibranch,47.07586269601006
perennibranch,44.23229951857481
perennibranch,50.146050339891715
perennibranch,47.463033528498514
perennibranch,43.64942263265857
perennibranch,50.33139229912949
perennibranch,46.68094906072835
perennibranch,47.64683700685245
perennibranch,47.62136022853804
perennibranch,41.9430670084308
perennibranch,46.85004234779333
perennibranch,44.1694539592406
perennibranch,43.82009789260381
perennibranch,49.66413091302522
perennibranch,45.00520816999443
perennibranch,47.16920594257822
perennibranch,46.23835049849257
perennibranch,46.15860314017752
perennibranch,45.79290338123879
perennibranch,47.0892661684152
perennibranch,43.65836797012644
perennibranch,47.23867731387394
perennibranch,47.65670989267422
perennibranch,46.65839225453099
perennibranch,48.66769905687876
perennibranch,46.64471447614607
perennibranch,46.85512035418454
perennibranch,48.63990810343185
perennibranch,51.00852673527156
perennibranch,49.86057366719233
perennibranch,49.69337034554463
perennibranch,46.9854438428701
perennibranch,48.514979357182405
perennibranch,45.04878167190302
perennibranch,46.97493428344808
perennibranch,45.895686942434544
perennibranch,50.391370314312894
dissection,51.62974560157577
dissection,48.00350604778689
dissection,49.92172687408635
dissection,45.33060451687356
dissection,49.191419848040496
dissection,50.06283373629576
dissection,51.8075349163327
dissection,51.37905419309548
dissection,51.77139723471209
dissection,49.31714235806333
dissection,49.074175665689495
dissection,49.185459678839145
dissection,53.628677411364855
dissection,45.35204682638882
dissection,49.18117777488808
dissection,53.76423249306279
dissection,48.87864662719837
dissection,46.775870008613644
dissection,47.435058254937296
dissection,45.67902861321725
dissection,48.03348943515798
dissection,49.74038110615218
dissection,49.817939277193084
dissection,49.93790069101767
dissection,50.888706549049914
dissection,47.2757126712454
dissection,45.79653070902812
dissection,49.0648000256689
dissection,49.04083038779401
dissection,48.62454573150077
dissection,52.00336395742549
dissection,49.59076767429789
dissection,51.52636193780847
dissection,50.83040982112866
dissection,50.23616246973894
dissection,47.35285802138178
dissection,52.30614988737352
dissection,49.02305587966769
dissection,51.25402703998178
dissection,54.867941720294844
dissection,46.91493814805182
dissection,55.213960417432304
dissection,50.08912451586339
dissection,48.70351555159404
dissection,50.53598145638631
dissection,48.39799209197831
dissection,53.24049554285072
dissection,46.271399161765345
dissection,45.91934425309144
dissection,49.83038551316689
dissection,50.19579655639244
dissection,52.80402574727483
dissection,48.20387652079478
dissection,50.54846115287503
dissection,50.06400969580705
dissection,46.88545132370393
dissection,47.30447452862841
dissection,52.924251539572
dissection,50.27874865978099
dissection,53.66578624882723
dissection,47.51845670205452
dissection,52.020778044181895
dissection,51.104407442072045
dissection,51.150987277366134
dissection,53.16511809401691
dissection,45.82576212783641
dissection,52.947907957659595
dissection,48.81348042723954
dissection,47.941379967033946
dissection,49.73181518592684
dissection,50.368496366449435
dissection,51.46998951988775
dissection,47.68647226477973
dissection,52.901292501673616
dissection,49.58886875204564
dissection,48.08081713845527
dissection,53.03824754256394
dissection,47.21322009720303
dissection,48.377992597197355
dissection,49.73714505840189
dissection,50.208597550246324
dissection,51.23406328183062
dissection,53.52551919718376
dissection,48.47785860193086
dissection,49.39412022359296
dissection,48.23971849576253
dissection,50.19616790008115
dissection,50.62921872570783
dissection,53.56618550340156
dissection,51.04696905406105
dissection,46.284934796169495
dissection,48.97442226756064
dissection,48.76833931529089
dissection,50.70433578789985
dissection,45.49013424054672
dissection,48.4245381282051
