caramelisation,rhomboids
biblioclast,102.8482060026099
biblioclast,100.80400739036355
biblioclast,97.5468195996215
biblioclast,96.67172334064502
biblioclast,94.0990263374319
biblioclast,104.61097103174228
biblioclast,83.24221457232036
biblioclast,82.03639241151244
biblioclast,90.71918450373566
biblioclast,102.59556452954828
biblioclast,98.96702822592876
biblioclast,79.44255948701812
biblioclast,88.17392552464976
biblioclast,75.74911617282805
biblioclast,109.74160437310768
biblioclast,112.5793764340529
biblioclast,98.49449198779084
biblioclast,75.17142416594302
biblioclast,93.21589430655425
biblioclast,94.4094832377306
biblioclast,108.57608900093726
biblioclast,80.45723821953023
biblioclast,87.8767127001242
biblioclast,85.38850228219952
biblioclast,91.33156435097727
biblioclast,95.888226874998
biblioclast,91.35330441221697
biblioclast,95.14916846849484
biblioclast,104.577270397481
biblioclast,104.41173050707054
biblioclast,92.26092826746212
biblioclast,95.104989369147
biblioclast,95.28908014223438
biblioclast,103.22467315350231
biblioclast,108.1502064392844
biblioclast,105.55220631840555
biblioclast,105.52435829325701
biblioclast,90.30357591115471
biblioclast,106.94827863992067
biblioclast,103.82793035119278
biblioclast,103.58902600454522
biblioclast,100.22447696537797
biblioclast,105.87327213034999
biblioclast,102.70445233356301
biblioclast,96.27698507607369
biblioclast,101.19857567213342
biblioclast,75.55559469194797
biblioclast,103.45875337862773
biblioclast,88.1997369771481
biblioclast,105.93388562464948
biblioclast,84.36192241121313
biblioclast,83.35521488952035
biblioclast,90.37446647496107
biblioclast,119.27527410213386
biblioclast,96.18616902276923
biblioclast,103.97302082867179
biblioclast,99.82931598736192
biblioclast,101.4433141908991
biblioclast,98.25480600037184
biblioclast,86.34573972903432
biblioclast,86.66801264720502
biblioclast,103.1791771376941
biblioclast,96.19774964974184
biblioclast,89.82603488065838
biblioclast,91.50762511693952
biblioclast,102.6226832753014
biblioclast,94.35173904356314
biblioclast,91.9326198675571
biblioclast,94.14627877904657
biblioclast,103.7284727216638
biblioclast,101.35587515819822
biblioclast,108.59111801772751
biblioclast,84.26112549650973
biblioclast,90.7539123704066
biblioclast,77.75321852729577
biblioclast,107.14592189086667
biblioclast,106.19789923880637
biblioclast,91.86180721135106
biblioclast,102.0196147764663
biblioclast,93.1668005300474
biblioclast,105.47390019942128
biblioclast,96.63759293609867
biblioclast,100.13232827488063
biblioclast,88.12674135015406
biblioclast,100.60617866767184
biblioclast,102.83174993172965
biblioclast,88.92768319990188
biblioclast,101.5212088192272
biblioclast,91.42716296182147
biblioclast,96.03472799410183
biblioclast,91.38234651171935
biblioclast,100.15792628442999
biblioclast,92.59330841317508
biblioclast,96.15491151463969
biblioclast,82.83706508556891
biblioclast,82.18817554206964
biblioclast,105.29843088891158
biblioclast,93.264565743208
fluor-spar,96.8151785464144
fluor-spar,94.19224828017624
fluor-spar,86.65664771471488
fluor-spar,108.51702842424513
fluor-spar,101.43020409159116
fluor-spar,86.83148116712928
fluor-spar,90.34679358392509
fluor-spar,104.61194900794979
fluor-spar,98.87603627466444
fluor-spar,101.77813949377101
fluor-spar,112.91459288684479
fluor-spar,95.94638939332769
fluor-spar,89.51009042342271
fluor-spar,94.37916405128657
fluor-spar,105.19105231041169
fluor-spar,81.33950422760044
fluor-spar,104.69505553787852
fluor-spar,108.0060181208529
fluor-spar,84.35765082097483
fluor-spar,83.02558621897334
fluor-spar,94.31207438120809
fluor-spar,105.70305702299413
fluor-spar,100.36659269875926
fluor-spar,97.62319358283864
fluor-spar,97.56612745924738
fluor-spar,79.74826803894092
fluor-spar,77.72385797495808
fluor-spar,100.07107948276104
fluor-spar,103.04177550100984
fluor-spar,99.38042010187282
fluor-spar,83.98238465101662
fluor-spar,91.55485025274831
fluor-spar,106.15758504764186
fluor-spar,88.54466288953716
fluor-spar,82.06833444903472
fluor-spar,87.04665650243584
fluor-spar,99.4625892157011
fluor-spar,82.96225580416193
fluor-spar,99.28194980606419
fluor-spar,106.59003110267528
fluor-spar,92.57608475641904
fluor-spar,90.92530130515249
fluor-spar,98.62487287657906
fluor-spar,100.28211317575004
fluor-spar,94.5123919158538
fluor-spar,97.07229893365985
fluor-spar,86.27482257185355
fluor-spar,93.07092544724975
fluor-spar,93.75411559552774
fluor-spar,86.76822921468651
fluor-spar,89.53738921509563
fluor-spar,96.87338686791222
fluor-spar,84.9788366719417
fluor-spar,89.1792941233124
fluor-spar,92.1737773066652
fluor-spar,84.18961454005407
fluor-spar,102.84947466037947
fluor-spar,96.73841987415457
fluor-spar,101.56285680061772
fluor-spar,82.4030408162283
fluor-spar,102.42762463008839
fluor-spar,116.51589427468186
fluor-spar,94.75378897587817
fluor-spar,90.91891737032158
fluor-spar,92.55762322538594
fluor-spar,97.81544203533367
fluor-spar,93.78893660155623
fluor-spar,94.34554931203628
fluor-spar,98.27059961657709
fluor-spar,90.05687419597949
fluor-spar,104.77361419107794
fluor-spar,93.83956919541987
fluor-spar,98.55646335370899
fluor-spar,96.88927365564524
fluor-spar,92.08445121970806
fluor-spar,100.23840287917784
fluor-spar,97.70679888451112
fluor-spar,92.36520283831544
fluor-spar,91.50638087506053
fluor-spar,91.22071436920251
fluor-spar,96.0438087369021
fluor-spar,96.00991450115761
fluor-spar,102.63209686290531
fluor-spar,92.10322074131476
fluor-spar,98.509514841628
fluor-spar,107.96804788096367
fluor-spar,83.09148705302711
fluor-spar,100.6500609454256
fluor-spar,95.5820890423066
fluor-spar,101.41492716686369
fluor-spar,85.28188050604624
snowlines,90.3166415290319
snowlines,77.48119056871339
snowlines,98.21498188452567
snowlines,90.66425635726348
snowlines,88.0709715268291
snowlines,96.90258480500464
snowlines,90.46005108859227
snowlines,93.86288362318591
snowlines,102.20769888294639
snowlines,76.77103490634997
snowlines,90.76688122492695
snowlines,88.65990929641218
snowlines,96.2796910579613
snowlines,91.27770892746919
snowlines,88.99131088442368
snowlines,78.0355855145322
snowlines,85.83394282320688
snowlines,91.80884726093248
snowlines,91.37972311390587
snowlines,86.59700619018247
snowlines,88.43034126309423
snowlines,85.46571282259963
snowlines,79.02562807070913
snowlines,88.10606054530116
snowlines,90.58943079203947
snowlines,74.4110682432247
snowlines,79.09969014380152
snowlines,85.30858493225207
snowlines,80.41667678013039
snowlines,83.14720792393337
snowlines,99.0344396616653
snowlines,81.11919051323859
snowlines,84.64751024439677
snowlines,90.80927806591484
snowlines,90.70191180610436
snowlines,79.93834694627077
snowlines,83.75234355983602
snowlines,95.44977455114018
snowlines,92.55858731886958
snowlines,80.37994931060992
snowlines,86.95619051767393
snowlines,91.58531406507713
snowlines,81.33588922126931
snowlines,90.67118237645134
snowlines,96.64130735085688
snowlines,95.3133915745787
snowlines,90.86802013342246
snowlines,87.05750221161425
snowlines,87.77765645288443
snowlines,83.347821244608
snowlines,81.6020905622623
snowlines,96.47028158781514
snowlines,89.4179472702044
snowlines,94.94325781564208
snowlines,97.0856429837549
snowlines,79.56578443854033
snowlines,90.82887531470084
snowlines,96.45572380816367
snowlines,73.84034048399005
snowlines,89.99070761919612
snowlines,80.0644498323714
snowlines,93.22441815771397
snowlines,85.81033600464369
snowlines,76.5585775294165
snowlines,94.77543412561091
snowlines,74.9922699239504
snowlines,81.91767103135908
snowlines,77.65885547885141
snowlines,85.88617153780312
snowlines,81.71193206702557
snowlines,72.95013939797944
snowlines,102.37127592642287
snowlines,92.79501000619871
snowlines,89.1563673328103
snowlines,95.1142435594148
snowlines,83.62093132206441
snowlines,87.40957421259567
snowlines,88.42857152209702
snowlines,85.0190414208438
snowlines,83.58904661595483
snowlines,75.46926421540027
snowlines,95.74844821169387
snowlines,99.79392563306462
snowlines,81.78616772868962
snowlines,81.79733827801212
snowlines,81.5157209468286
snowlines,72.70507640007627
snowlines,83.3441578045512
snowlines,95.09605489325969
snowlines,93.9246763791808
snowlines,83.28333778676188
snowlines,79.84563790503097
