limey,mastiffs
dissection,129.98899174002392
dissection,127.45849554566654
dissection,130.96147708972427
dissection,125.2518494730053
dissection,124.57539489186452
dissection,126.32494607917393
dissection,125.41423864971048
dissection,125.01809808213936
dissection,132.03022880230398
dissection,128.09331188516478
dissection,138.84340424721614
dissection,133.25554110764568
dissection,128.3370904033608
dissection,126.5478366097148
dissection,138.19005093480678
dissection,142.1871144657837
dissection,135.65012199788876
dissection,137.781410509398
dissection,129.28935088939988
dissection,139.14924147766865
dissection,131.2847740136316
dissection,133.2538264779001
dissection,145.72748354002178
dissection,131.09548073523524
dissection,127.00959053908986
dissection,137.6023388156341
dissection,127.11970854500635
dissection,130.98998744710127
dissection,131.51132871663287
dissection,134.4295818739207
dissection,131.01193125726448
dissection,134.76476031873366
dissection,124.76731797632033
dissection,128.9870801897603
dissection,129.94593253592907
dissection,136.39521877603647
dissection,128.73501808828934
dissection,127.62357602365411
dissection,131.6926913977681
dissection,129.31446668074662
dissection,126.76773866440585
dissection,119.5599847048956
dissection,133.11735118660795
dissection,122.30453025854953
dissection,120.7964611512063
dissection,140.8139564469238
dissection,129.71454318941812
dissection,132.54228575803845
dissection,129.5229950610985
dissection,121.7681005328101
dissection,125.18259435700358
dissection,126.29545863446393
dissection,130.4338230850175
dissection,131.36913622563262
dissection,129.91079123357704
dissection,111.84222010854792
dissection,120.40755783637935
dissection,122.42932683271545
dissection,128.5387294629579
dissection,137.47780793076456
dissection,135.99734811557553
dissection,136.82504545624766
dissection,130.75961693741863
dissection,127.67969291358263
dissection,125.26665319656297
dissection,126.15115045993775
dissection,133.70220799648902
dissection,121.61593085549444
dissection,135.42739634018415
dissection,129.60299994696103
dissection,124.13542261661436
dissection,139.54794389178375
dissection,132.4323123646174
dissection,137.0796120205111
dissection,132.5136334496223
dissection,128.68834176012913
dissection,115.08054690874005
dissection,128.573806908478
dissection,132.62721844208266
dissection,135.36041275269926
dissection,125.26033243989791
dissection,125.18731828410006
dissection,141.01134449048863
dissection,130.6754985408654
dissection,122.39703331339501
dissection,129.5293844857281
dissection,127.91709348501445
dissection,136.35727285230615
dissection,127.90508060973917
dissection,131.64709281303652
dissection,134.73284258337546
dissection,127.27696652592456
dissection,123.73355743852576
dissection,124.00984438093323
dissection,125.25231407520327
dissection,134.4528717596447
dissection,126.67026519668323
dissection,121.95418483419327
cytopenias,116.11765162761493
cytopenias,114.26671138855754
cytopenias,102.42039117642287
cytopenias,117.85682035100903
cytopenias,112.22182420549987
cytopenias,124.69571657829457
cytopenias,114.35732612367975
cytopenias,106.79142626502056
cytopenias,118.66300716140766
cytopenias,114.15489588899523
cytopenias,114.29536826845384
cytopenias,116.64737665299599
cytopenias,115.74942743740564
cytopenias,109.55590297715636
cytopenias,109.26869057812222
cytopenias,120.10911670823384
cytopenias,119.33235233532012
cytopenias,112.54484495995086
cytopenias,106.84423252383002
cytopenias,105.82242148811689
cytopenias,107.1117982406266
cytopenias,118.12192537980071
cytopenias,112.07720168318129
cytopenias,108.29827035693172
cytopenias,113.34168734550263
cytopenias,112.36585990423917
cytopenias,116.66869873436264
cytopenias,113.78783487381708
cytopenias,110.7354175977331
cytopenias,116.0389685439491
cytopenias,107.81921426813764
cytopenias,126.32774717988019
cytopenias,109.84832692271371
cytopenias,108.31372102615016
cytopenias,114.73075299826957
cytopenias,117.40785020470861
cytopenias,118.07765738461133
cytopenias,115.33135917744012
cytopenias,119.08654474490244
cytopenias,116.85238087156614
cytopenias,110.70294477427308
cytopenias,109.57749488433022
cytopenias,115.98407782506497
cytopenias,111.59990724359817
cytopenias,118.72746417539823
cytopenias,104.84047545749807
cytopenias,116.73459755866928
cytopenias,119.93878055693966
cytopenias,108.90362053410193
cytopenias,111.33224009020502
cytopenias,107.0616657199024
cytopenias,114.73591871142807
cytopenias,115.25895566427762
cytopenias,109.64146251059748
cytopenias,114.35519411310109
cytopenias,108.29487763740885
cytopenias,110.13517159581131
cytopenias,115.55542755893484
cytopenias,115.05541854253346
cytopenias,106.13542985379752
cytopenias,118.29203279210485
cytopenias,117.66527205852316
cytopenias,117.50705762731289
cytopenias,113.19573349336899
cytopenias,113.66276069702535
cytopenias,120.98952311125039
cytopenias,115.28202563596561
cytopenias,111.00416837741213
cytopenias,112.34614267920395
cytopenias,113.51411868916294
cytopenias,113.74399626208088
cytopenias,112.37302113341802
cytopenias,105.28175315169675
cytopenias,111.00259085625301
cytopenias,112.50641029542025
cytopenias,117.57862534363723
cytopenias,120.25197162551602
cytopenias,106.05815032440707
cytopenias,107.9325019288375
cytopenias,109.29202318235936
cytopenias,121.3387159166091
cytopenias,117.36619087059701
cytopenias,116.49326351304865
cytopenias,116.54125537320537
cytopenias,127.24712035939399
cytopenias,110.82168803855248
cytopenias,116.72567228969541
cytopenias,110.9568431176767
cytopenias,114.9099032790065
cytopenias,117.28906519055428
cytopenias,109.18816849320541
cytopenias,114.58313185775276
cytopenias,116.96050801858513
cytopenias,125.14602818018678
cytopenias,96.94795233256248
cytopenias,119.58399105119707
cytopenias,110.54843368547294
cytopenias,114.49956720871921
cytopenias,111.95507757383416
cytopenias,118.25530886956194
cytopenias,119.65804951582143
cytopenias,111.58879941674118
cytopenias,102.94110033752061
cytopenias,106.52073619634292
augment,117.57495180423979
augment,123.50992585612516
augment,120.28663339898532
augment,110.97205411082747
augment,114.02025463812996
augment,114.05056622845757
augment,112.53488837818239
augment,117.46963500644645
augment,118.68917288923289
augment,121.19553203971255
augment,112.81909899875204
augment,123.0138557592611
augment,110.88834734777969
augment,117.63106895946598
augment,119.38047118110747
augment,124.42275392295704
augment,115.97718779184463
augment,127.41128201562829
augment,125.32159414702511
augment,116.89499378481136
augment,125.78470230415002
augment,134.1493838790991
augment,122.2707904660572
augment,128.1991951332088
augment,116.05443428418418
augment,121.17624481747136
augment,120.76455682655032
augment,123.7472512505847
augment,118.96199227340223
augment,116.6745280030854
augment,123.2349682429836
augment,124.72069868375888
augment,120.15744431389815
augment,117.21098593236606
augment,115.15120355053773
augment,122.90308891536125
augment,118.66345722682357
augment,113.6901140805514
augment,126.30080160697776
augment,129.2423657389678
augment,126.70737019637379
augment,117.34604698912248
augment,119.11442838328854
augment,130.49047112836354
augment,127.61394084354731
augment,108.37490891218995
augment,118.92880755056942
augment,114.01761999753319
augment,118.08055132651225
augment,126.44595470141296
augment,125.43286962992315
augment,111.22793736369056
augment,118.66719489559176
augment,117.03099913563241
augment,119.63871797365593
augment,122.14203302583566
augment,115.46579682094004
augment,127.7957165497029
augment,117.73608977270929
augment,127.18021978947104
augment,115.71095130106214
augment,123.87660508549556
augment,120.44359194462157
augment,107.47743348706608
augment,122.23211222539801
augment,119.36353185442464
augment,118.86880484944724
augment,118.89529964686626
augment,127.37726346220296
augment,127.97741479893403
augment,114.24545336099702
augment,115.81535478752171
augment,117.04550623528505
augment,121.80559945731127
augment,117.89856195789564
augment,119.68140084363422
augment,129.2817091083632
augment,119.86397981524773
augment,124.59146209632644
augment,125.95928371438829
augment,123.06764785931144
augment,122.67379491667721
augment,115.22164383279078
augment,129.54262412136995
augment,115.5678529506358
augment,124.24263744850799
augment,119.58442640493988
augment,125.86871101079751
augment,125.04865498950976
augment,118.36507735418428
augment,127.14146539818036
Judaea,109.069553678572
Judaea,110.57712977885815
Judaea,114.25262292891078
Judaea,112.79463600297953
Judaea,125.05487162220123
Judaea,127.04710340245822
Judaea,134.61107529692228
Judaea,126.73389800825503
Judaea,126.07314960981971
Judaea,119.76368897432194
Judaea,123.6735572610055
Judaea,127.3838271889133
Judaea,117.4801023343428
Judaea,125.82257993552288
Judaea,119.35231501525807
Judaea,116.04719918437803
Judaea,118.12914889749574
Judaea,135.5360322340583
Judaea,121.01795999865944
Judaea,117.65669079852029
Judaea,127.30690045698319
Judaea,119.94307615773958
Judaea,133.0261968967889
Judaea,126.3301186245512
Judaea,134.05693301746135
Judaea,125.95564035360852
Judaea,121.74012778301122
Judaea,122.90506570999874
Judaea,119.37639523462671
Judaea,138.34922837747078
Judaea,121.38450633147411
Judaea,119.44839026736712
Judaea,125.1354625885986
Judaea,116.65903413123179
Judaea,119.95504157270788
Judaea,115.35726559075962
Judaea,121.79396047561043
Judaea,129.12845920467436
Judaea,132.02650622790566
Judaea,121.74232409887817
Judaea,117.11679082934538
Judaea,125.40683977002743
Judaea,118.39385058947319
Judaea,125.24348983907106
Judaea,116.56328578352957
Judaea,125.66265580615637
Judaea,122.92532515078186
Judaea,125.17639391701064
Judaea,126.63059147290846
Judaea,128.19842687188304
Judaea,128.1561480584405
Judaea,119.0235687341894
Judaea,118.60018237980889
Judaea,127.8590215142581
Judaea,121.57293753525123
Judaea,117.29209318825978
Judaea,121.31009710187745
Judaea,133.44157884836474
Judaea,125.57398580183396
Judaea,128.54173128339065
Judaea,118.70814273894165
Judaea,129.81788750730786
Judaea,118.01931516125674
Judaea,126.29528897985728
Judaea,123.1283922931755
Judaea,126.57005692083969
Judaea,126.22931539938291
Judaea,120.41214431303328
Judaea,120.00551738639892
Judaea,129.75058504347837
Judaea,126.03832428333929
Judaea,131.31931203843405
Judaea,113.1198885536068
Judaea,109.42032526222346
Judaea,126.97226003623416
Judaea,116.3917916760308
Judaea,121.93629777747833
