spies,cytopenias
biblioclast,-10.449797438838672
biblioclast,-10.128539501618574
biblioclast,-9.387289212437947
biblioclast,-9.371340811253782
biblioclast,-9.275624989976246
biblioclast,-9.203096054620392
biblioclast,-7.504783396929836
biblioclast,-7.504228306885503
biblioclast,-6.8953576392467895
biblioclast,-5.848108293499782
biblioclast,-5.24010669593885
biblioclast,-4.9930964314743065
biblioclast,-4.267629893409496
biblioclast,-3.603869628331338
biblioclast,-3.5446399554434787
biblioclast,-3.53878045739497
biblioclast,-3.5263977029563485
biblioclast,-3.5173534338077284
biblioclast,-3.3648192637540224
biblioclast,-3.3297410263814475
biblioclast,-3.234412067511118
biblioclast,-3.020999535616542
biblioclast,-2.7331443511696913
biblioclast,-2.6243110952733533
biblioclast,-2.529417144293168
biblioclast,-2.3540717991274334
biblioclast,-2.267907563870393
biblioclast,-2.2439262479013107
biblioclast,-2.1927332344416035
biblioclast,-2.125543327081942
biblioclast,-1.9782021697905519
biblioclast,-1.9734446868061892
biblioclast,-1.9039967092783145
biblioclast,-1.885534729165733
biblioclast,-1.8651036729732433
biblioclast,-1.7931683706442907
biblioclast,-1.7909966654823481
biblioclast,-1.7887076943994038
biblioclast,-1.634854254445552
biblioclast,-1.606184474427495
biblioclast,-1.3372806189634008
biblioclast,-1.104798018619658
biblioclast,-1.0721803655960296
biblioclast,-1.0428118728531548
biblioclast,-1.0405392347152997
biblioclast,-0.9166269097362274
biblioclast,-0.8421982645997242
biblioclast,-0.702608065228766
biblioclast,-0.5710557300949123
biblioclast,-0.5075374459949875
biblioclast,-0.49337958769934737
biblioclast,-0.33660295700311804
biblioclast,-0.2555433183827814
biblioclast,-0.2356389538664672
biblioclast,-0.21450308117870318
biblioclast,-0.1856077760946393
biblioclast,-0.180373159670133
biblioclast,-0.07213455017052918
biblioclast,-0.04294879521562541
biblioclast,-0.013186050841980821
biblioclast,0.13491822173656065
biblioclast,0.33848419270236635
biblioclast,0.3897501411290472
biblioclast,0.47887596973940977
biblioclast,0.5697621151586559
biblioclast,0.6824528334659583
biblioclast,0.7371173747958717
biblioclast,0.7392874735348774
biblioclast,0.8636536320679683
biblioclast,1.0999002487464857
biblioclast,1.1962331396465014
biblioclast,1.3123714179736485
biblioclast,1.4806298364608925
biblioclast,1.6350394103364763
biblioclast,2.006001489062746
biblioclast,2.0712044494142385
biblioclast,2.154133122109151
biblioclast,2.173900070319576
biblioclast,2.343600223708986
biblioclast,2.3710637847611147
biblioclast,2.38099721993744
biblioclast,2.4232416431730255
biblioclast,2.788207165088654
biblioclast,2.793390030477719
biblioclast,2.929969570998824
biblioclast,3.227539757228833
biblioclast,3.597053081710639
biblioclast,3.64716867102778
biblioclast,3.759394327255603
biblioclast,4.7823992880193975
biblioclast,4.796636897113925
biblioclast,5.013991160323338
biblioclast,5.035403446190143
biblioclast,5.136946621488298
biblioclast,5.357515271398904
biblioclast,5.376254349186353
biblioclast,5.534725137458688
biblioclast,5.676847263555931
biblioclast,7.203263021278384
biblioclast,7.259822802220719
biblioclast,9.698155222117
dissection,-25.507524904274995
dissection,-21.444699610306543
dissection,-20.157114928400492
dissection,-15.292198787653287
dissection,-14.200186924525903
dissection,-14.063082343108874
dissection,-13.517297628440621
dissection,-13.204378977538038
dissection,-13.164363676603536
dissection,-12.785106162330173
dissection,-12.587763543351459
dissection,-12.476798858195151
dissection,-12.00759285820389
dissection,-10.11057886536855
dissection,-9.772663767693295
dissection,-7.83929772287274
dissection,-7.146224393822791
dissection,-7.086049597761468
dissection,-6.792459123618432
dissection,-6.7007692166039545
dissection,-6.129725982166434
dissection,-6.023207666826298
dissection,-5.757237375635629
dissection,-5.563970828991465
dissection,-5.528582433675912
dissection,-5.056752494193873
dissection,-4.658902157556591
dissection,-4.5365799067593215
dissection,-4.495545109970495
dissection,-4.380171221125282
dissection,-4.112844125126136
dissection,-4.0138861180212535
dissection,-3.782229120587664
dissection,-3.478990393619752
dissection,-3.456958558430403
dissection,-3.2213334918527443
dissection,-3.029534360131761
dissection,-3.012219685140507
dissection,-2.9317932856121427
dissection,-2.887136966621143
dissection,-2.6330728361006965
dissection,-1.954375934187722
dissection,-1.7335875206228233
dissection,-1.6994374109961243
dissection,-1.5627872207008224
dissection,-1.3264010455096804
dissection,-1.130653900008406
dissection,-1.0489694749578005
dissection,-1.0056719949211188
dissection,-0.8232321235256126
dissection,-0.8177409293849152
dissection,-0.6979302301566784
dissection,-0.6374819390062048
dissection,-0.5165443637252239
dissection,-0.18565570262687972
dissection,-0.12507007582960997
dissection,0.19222998445952075
dissection,0.27354891965427447
dissection,0.3852461394767661
dissection,0.47521910762003866
dissection,0.5944531098407552
dissection,1.1111861294156717
dissection,1.1960962196573095
dissection,1.287123094666527
dissection,1.3070240824175987
dissection,1.4046686882221673
dissection,1.4328125880930453
dissection,1.492851639092585
dissection,1.942971181124787
dissection,2.1844355966545663
dissection,2.2010021869334597
dissection,2.2891781879612587
dissection,2.3534446317097935
dissection,3.0113081275586038
dissection,3.168462003939056
dissection,3.3122309843967397
dissection,3.8605772908721065
dissection,4.261356660323491
dissection,4.489161553060268
dissection,4.841916364452575
dissection,4.921887387316537
dissection,5.317476855487909
dissection,7.330989329721239
dissection,7.991535143207999
dissection,8.040155330214363
dissection,8.105136174030186
dissection,8.212573561502818
dissection,8.28163055648334
dissection,8.344352006810327
dissection,8.663814095430576
dissection,8.768664451700939
dissection,8.832859494994564
dissection,9.22735702082054
dissection,9.454255856964561
dissection,9.46969769708202
dissection,10.205847891820785
dissection,10.2695884390225
dissection,10.356320003617348
dissection,10.973004070113094
dissection,11.278321135918857
dissection,11.650562893412037
dissection,12.538750276571493
dissection,12.96032605582139
dissection,13.44891048553626
dissection,13.534161633125183
dissection,14.910983972952456
dissection,15.827414794328487
dissection,16.689744747873824
dissection,17.314052938411802
effacement,-20.56279786593795
effacement,-17.718609613172028
effacement,-15.427516707399167
effacement,-13.608956373896321
effacement,-13.148749179777429
effacement,-12.450436415380626
effacement,-12.310823902187064
effacement,-12.124742522205256
effacement,-11.636228831742054
effacement,-11.018620709791065
effacement,-10.844207892408985
effacement,-10.514030861307182
effacement,-9.597185823217966
effacement,-9.398622812157658
effacement,-9.38566152224865
effacement,-8.677525896999747
effacement,-8.596991240155575
effacement,-8.582542095148023
effacement,-8.508630796620327
effacement,-7.7699926687071414
effacement,-6.461671853719416
effacement,-6.117554820974045
effacement,-6.0001338002305245
effacement,-5.991763699414164
effacement,-5.860298306517545
effacement,-5.604725975673283
effacement,-5.201887160374755
effacement,-5.060600048611844
effacement,-4.340978952325183
effacement,-4.167618410607472
effacement,-3.6476630305087903
effacement,-3.6407863670146243
effacement,-3.487091968711059
effacement,-3.4779894677248797
effacement,-3.1880032339670303
effacement,-2.9833251337702906
