mastiffs,caramelisation
limey,70.60089814687763
limey,64.91630451982296
limey,57.18513781254822
limey,56.54786320076099
limey,47.440004595495076
limey,54.609656015871806
limey,42.388814967403945
limey,60.884128351186575
limey,56.66070220861725
limey,58.33032850197869
limey,42.932346037394595
limey,73.88078786867615
limey,53.42722824428192
limey,53.72541149186527
limey,50.02540944444064
limey,56.15991235404322
limey,48.879372322067496
limey,71.02192931372336
limey,73.70882428956348
limey,63.91529969207276
limey,62.88306871057593
limey,61.21193118550502
limey,65.53735892331783
limey,40.8899246905373
limey,76.88622061810236
limey,57.580764848483746
limey,54.87957591743479
limey,64.26842984577365
limey,62.69675302068595
limey,51.11536269878258
limey,57.539726018157765
limey,57.579102890714346
limey,61.302945110797445
limey,58.649123665796296
limey,67.33225501290603
limey,65.97297472810554
limey,71.03099129571973
limey,75.16851528157778
limey,58.929620191467606
limey,53.27337261181646
limey,66.38851603274242
limey,56.18768063380302
limey,54.23222842574911
limey,50.994173235883274
limey,53.66876885571649
limey,44.79068484678667
limey,71.50213354568575
limey,59.002774435026964
limey,55.49849831271294
limey,52.770412501884906
limey,75.40003396087036
limey,57.72446767092444
limey,52.7232656770726
limey,59.69401712957438
limey,59.1810464998302
limey,59.146813147699575
limey,72.12423323694738
limey,79.44762043003698
limey,81.37938914996268
limey,68.51256472356361
limey,62.67667044160066
limey,74.77808461035008
limey,63.61340396846268
limey,62.30737460335673
limey,92.20332291500996
limey,56.94062657313195
limey,64.04483562222792
limey,57.84510488449089
limey,75.37114678712189
limey,53.80904648338763
limey,62.35583060129529
limey,57.524452910141875
limey,51.50992918149189
limey,76.4925974714513
limey,52.359214422239276
limey,66.44221781021714
limey,73.6623336084149
limey,55.4244004165564
limey,47.92518033511951
limey,71.2645410444311
limey,60.04537118370301
limey,55.48460792076526
limey,51.238588828227094
limey,82.49058102185967
limey,77.1398914212832
limey,68.3490145252401
limey,56.95800378194578
limey,80.28644786364299
limey,48.96064480758983
limey,54.53138809209503
limey,59.483544363448146
limey,61.21663362009237
limey,55.81212390814415
limey,35.777466085782365
cytopenias,68.00990306168065
cytopenias,66.54323868520603
cytopenias,41.00435293858551
cytopenias,61.50424253282782
cytopenias,44.141549476565366
cytopenias,47.185920954857714
cytopenias,53.761630642182745
cytopenias,93.35111716912668
cytopenias,36.066043739260564
cytopenias,51.96352378034084
cytopenias,62.96145842577311
cytopenias,66.9526572744624
cytopenias,54.23703491277749
cytopenias,53.762244006727265
cytopenias,62.9160959036213
cytopenias,60.903564010420986
cytopenias,51.95817012480072
cytopenias,68.58326607193543
cytopenias,60.02408972514129
cytopenias,75.355390045465
cytopenias,70.62357495611982
cytopenias,79.7375071541914
cytopenias,53.66137307109711
cytopenias,57.76639192851159
cytopenias,60.19108679887354
cytopenias,59.046356203390815
cytopenias,54.98920846213865
cytopenias,50.59099062758132
cytopenias,60.06395811297567
cytopenias,66.34344761260726
cytopenias,44.101605009325084
cytopenias,61.90838150076856
cytopenias,72.63187852270663
cytopenias,74.66347055472646
cytopenias,68.3045899484348
cytopenias,60.78808735051338
cytopenias,69.33287058430625
cytopenias,46.6211232164125
cytopenias,46.358185500229226
cytopenias,55.40137938258302
cytopenias,66.10277213156073
cytopenias,65.7634464740224
cytopenias,65.47750864656672
cytopenias,50.5396445748911
cytopenias,77.97597926789967
cytopenias,57.76251940579762
cytopenias,65.12060613122672
cytopenias,65.63757632719293
cytopenias,53.19022673444115
cytopenias,58.30490939335567
cytopenias,56.42514777575034
cytopenias,68.04065139297305
cytopenias,56.34661674810797
cytopenias,63.0132681555875
cytopenias,69.22691961464065
cytopenias,69.91647988925419
cytopenias,73.32423657686192
cytopenias,57.7389762880701
cytopenias,76.91674254433033
cytopenias,60.83389326074344
cytopenias,67.11739569502083
cytopenias,56.048634998690154
cytopenias,57.10899289670868
cytopenias,59.68315233491958
cytopenias,50.21232432301
cytopenias,50.33279746524418
cytopenias,62.45141564512255
cytopenias,61.01429841845068
cytopenias,78.7709366621556
cytopenias,65.76759199081165
cytopenias,45.6444844314894
cytopenias,77.43079691152263
cytopenias,84.80108851768298
cytopenias,69.5793752441541
cytopenias,51.764113889693895
cytopenias,50.31019979429279
cytopenias,59.18804755966065
cytopenias,76.16070130279945
cytopenias,56.59127473520774
cytopenias,55.13039866937321
cytopenias,70.10494204541614
cytopenias,77.30514119147412
cytopenias,51.509451634492365
cytopenias,80.73114792345058
cytopenias,56.15963934771453
cytopenias,49.99409329044266
cytopenias,75.374854859697
cytopenias,51.78090736504
cytopenias,53.591951468166855
cytopenias,73.71205112418379
cytopenias,48.46668615023844
cytopenias,66.34994377910755
cytopenias,49.658217598198874
filibusters,46.35254415496318
filibusters,62.09175407881065
filibusters,39.62588511243061
filibusters,37.09550096943373
filibusters,44.641395417632026
filibusters,54.82863393400479
filibusters,73.29482962800432
filibusters,54.101562695773126
filibusters,51.301805730769054
filibusters,44.4631439676498
filibusters,61.1486340755997
filibusters,63.52096617139606
filibusters,60.87578766182691
filibusters,69.95193544673474
filibusters,63.527220604337266
filibusters,43.771051787170165
filibusters,67.37518440163215
filibusters,68.70888861668547
filibusters,65.35226703365254
filibusters,58.391882835353464
filibusters,57.91148098287531
filibusters,64.04408258267807
filibusters,63.66991910882899
filibusters,55.103956735008786
filibusters,54.923833970273584
filibusters,77.42317690378778
filibusters,46.49360439738956
filibusters,61.984404188255795
filibusters,56.94146745307238
filibusters,64.26799924424486
filibusters,44.16854970788681
filibusters,50.89091878755989
filibusters,49.278124369873474
filibusters,49.113503048524336
filibusters,56.0439781363082
filibusters,52.0271515478926
filibusters,55.442560833130834
filibusters,64.35247929378795
filibusters,46.72131507834388
filibusters,63.589852499492586
filibusters,65.39292059965926
filibusters,60.375918754357315
filibusters,51.506297736346895
filibusters,44.73201911057156
filibusters,62.82131622844391
filibusters,75.20091387583567
filibusters,46.96414759195912
filibusters,54.16879240294869
filibusters,43.647659388741026
filibusters,56.356523953058634
filibusters,50.00182820731268
filibusters,54.75842701966525
filibusters,46.58296810029669
filibusters,56.79922102372567
filibusters,53.76436731248332
filibusters,56.533983801746906
filibusters,49.775469644208734
filibusters,53.202554061687195
filibusters,61.80691898972909
filibusters,60.61596846283123
filibusters,70.24473000446626
filibusters,52.06735437452005
filibusters,50.198030586235014
filibusters,65.20291304825355
filibusters,55.118089359646696
filibusters,73.19134356211109
filibusters,42.05228171103868
filibusters,61.56750107883351
filibusters,45.93531681693114
filibusters,67.46959716150077
filibusters,51.17958506405724
filibusters,43.5695566624799
filibusters,60.388544399630995
filibusters,60.19206253905524
filibusters,41.31445979675341
filibusters,54.92116814745739
filibusters,40.734433950946865
filibusters,58.944155888108284
filibusters,64.27657452097196
filibusters,47.69641395985929
filibusters,61.52635521277009
filibusters,59.5958852930495
filibusters,47.4312132902116
filibusters,66.74683083332896
filibusters,49.00247149162627
filibusters,61.393989075759585
filibusters,55.907225078675346
filibusters,42.37433524475621
filibusters,44.820250749148286
filibusters,73.67444588345813
filibusters,56.42288562971012
filibusters,53.338365408512864
filibusters,46.84135174010389
filibusters,54.67096714305064
filibusters,56.12424184164958
filibusters,56.7804344637091
bull-tongue,59.00882032640262
bull-tongue,67.534797745319
bull-tongue,64.99414610398337
bull-tongue,58.18901605958366
bull-tongue,63.12902657913142
bull-tongue,28.65745776496913
bull-tongue,53.9525806621408
bull-tongue,63.11404244450749
bull-tongue,37.13645189546493
bull-tongue,52.324261044775724
bull-tongue,59.39099358999999
bull-tongue,60.86873053751761
bull-tongue,52.31888884392778
bull-tongue,69.10806170773596
bull-tongue,50.47901184837245
bull-tongue,56.67710637633186
bull-tongue,61.163741333778745
bull-tongue,80.91218705623676
bull-tongue,33.48217607227269
bull-tongue,54.93825159068155
bull-tongue,56.59124553135002
bull-tongue,46.76343151778363
bull-tongue,62.974085365538656
bull-tongue,54.56285093904035
