dissection,biblioclast
streptothricin,120.97368552805223
streptothricin,123.43114645725693
streptothricin,127.45714255177612
streptothricin,129.97681479033733
streptothricin,124.99643715783697
streptothricin,122.04474082627873
streptothricin,128.41682900793825
streptothricin,126.08342768869083
streptothricin,128.2115372814877
streptothricin,127.96515539968999
streptothricin,119.89823671037718
streptothricin,127.97241421959839
streptothricin,125.01975311037809
streptothricin,127.90991704322383
streptothricin,126.03297930153546
streptothricin,127.83329501910188
streptothricin,127.23503120394994
streptothricin,130.37321436822617
streptothricin,123.22969623164924
streptothricin,124.89485104521422
streptothricin,122.3039777872517
streptothricin,135.5087392288848
streptothricin,126.76031586243826
streptothricin,125.37947143736658
streptothricin,126.30439098097742
streptothricin,127.11833217561563
streptothricin,122.26290451016429
streptothricin,126.83739893242186
streptothricin,128.56813683495872
streptothricin,124.2582715258893
streptothricin,130.74365068289933
streptothricin,127.18694360330593
streptothricin,124.82872966599382
streptothricin,127.53615090798597
streptothricin,127.39036246670332
streptothricin,124.15589273455579
streptothricin,129.72976917116273
streptothricin,122.58933059352512
streptothricin,127.90719643983105
streptothricin,123.15650945391549
streptothricin,126.70747322198747
streptothricin,126.4586823123776
streptothricin,125.50691612785239
streptothricin,130.14186017937618
streptothricin,127.94555565169009
streptothricin,133.6968929041356
streptothricin,125.12010422890023
streptothricin,120.45167335659792
streptothricin,122.06768974980409
streptothricin,125.88716569243573
streptothricin,123.69824376278113
streptothricin,130.24680117184727
streptothricin,128.6529801835968
streptothricin,133.3507724592246
streptothricin,121.63593419566209
streptothricin,123.8425317431466
streptothricin,130.81449895037173
streptothricin,123.49513575144739
streptothricin,127.69020668655232
streptothricin,128.184670203787
streptothricin,127.36779090513879
streptothricin,126.78654383411539
streptothricin,125.8149811982973
streptothricin,123.01708014223686
streptothricin,131.30446532398796
streptothricin,123.56275833806782
streptothricin,120.60519244552502
streptothricin,125.08365378728648
streptothricin,131.8615499210185
streptothricin,121.21863619056596
streptothricin,123.7174478866999
streptothricin,136.52822829933046
streptothricin,130.4692195681722
streptothricin,127.61937614564258
streptothricin,128.80794530593275
streptothricin,120.96671253451905
streptothricin,132.47469932533338
streptothricin,132.8533817427586
streptothricin,130.738595238394
streptothricin,130.41121397129368
streptothricin,129.53043483081748
streptothricin,130.45253942220958
streptothricin,127.31717569105248
streptothricin,118.80882495234766
streptothricin,119.31682875117566
streptothricin,125.11555777040283
streptothricin,132.4042620029242
streptothricin,124.90865515213156
streptothricin,121.82962731079009
streptothricin,131.33929925354744
substitutes,133.30780400758178
substitutes,126.53896598414877
substitutes,123.28783482096904
substitutes,131.41402535681516
substitutes,122.75281535949557
substitutes,124.25511189093483
substitutes,128.1045675829067
substitutes,125.55496454117184
substitutes,136.7122926140453
substitutes,133.73659113182845
substitutes,129.11895417945948
substitutes,132.34993113313257
substitutes,132.67485571791562
substitutes,133.1198895789791
substitutes,128.40796473710884
substitutes,131.67812129460847
substitutes,127.64818314298165
substitutes,133.44825713007302
substitutes,128.3337082231335
substitutes,130.10163005469755
substitutes,121.31564730036071
substitutes,129.3411398448351
substitutes,135.2713045176505
substitutes,141.24911123930434
substitutes,128.2377045129362
substitutes,132.74465824246354
substitutes,132.37588045568341
substitutes,127.26571465773074
substitutes,127.5594793776985
substitutes,128.01993478058822
substitutes,124.9364559155078
substitutes,131.75582577583037
substitutes,130.40171098474707
substitutes,125.46763921999072
substitutes,128.4609062950596
substitutes,132.65666596661575
substitutes,122.0218653280521
substitutes,127.19882403258556
substitutes,128.84958791775728
substitutes,122.62892630000435
substitutes,135.86929502591244
substitutes,126.42361319593951
substitutes,119.6986127260318
substitutes,125.29316937871118
substitutes,120.7668312655856
substitutes,124.34914841075222
substitutes,133.25195550613648
substitutes,126.33042715313901
substitutes,127.55637488197219
substitutes,132.99123472505855
substitutes,129.8156726306814
substitutes,132.16091473888298
substitutes,123.65525672482738
substitutes,125.75052525644446
substitutes,130.13184671861163
substitutes,122.94330742946906
substitutes,123.64256384510841
substitutes,128.94922296575035
substitutes,127.03326231610697
substitutes,124.66364223122304
substitutes,126.31875178012594
substitutes,124.85088679077484
substitutes,125.11059596459198
substitutes,122.07940646996215
substitutes,128.76599305263946
substitutes,129.95442397142392
substitutes,131.05226601686041
substitutes,126.46772790760608
substitutes,131.32759029482642
substitutes,127.0411178815433
substitutes,133.502846490502
substitutes,131.3244235437004
substitutes,127.85376368679658
substitutes,128.60366732874255
substitutes,128.02383476533976
substitutes,126.67731433393877
substitutes,123.10299576506118
substitutes,122.52860804346277
substitutes,132.2135412420769
substitutes,133.4189647522172
substitutes,130.77186740604247
substitutes,127.68581891313525
substitutes,132.7054417748622
substitutes,127.268477133477
substitutes,131.80469079359554
substitutes,129.44464915550398
substitutes,126.53551324053497
substitutes,133.77343115327182
substitutes,132.55916786056594
substitutes,129.43119831892807
substitutes,129.95305746664556
substitutes,131.66250479479538
substitutes,130.81351237240756
substitutes,127.9865280490652
substitutes,125.19836838303978
cytopenias,130.2491380614842
cytopenias,129.41530495303115
cytopenias,135.60389281697536
cytopenias,134.70157934307161
cytopenias,126.01128399840174
cytopenias,126.46479609866948
cytopenias,132.58517917111595
cytopenias,130.34899576059382
cytopenias,122.75248649674066
cytopenias,124.55709932206308
cytopenias,124.22060364199304
cytopenias,121.7602647657094
cytopenias,125.52350493185763
cytopenias,124.45795317723639
cytopenias,131.48842394469335
cytopenias,116.87849888811834
cytopenias,131.47348845585213
cytopenias,123.74302577112338
cytopenias,127.70331437275635
cytopenias,121.24128535734448
cytopenias,123.23743379951114
cytopenias,121.3081999550263
cytopenias,125.5806082939939
cytopenias,126.72799792711656
cytopenias,129.18283119332838
cytopenias,126.1672934943233
cytopenias,125.14174470320579
cytopenias,129.51835253855452
cytopenias,118.60950435992491
cytopenias,129.5347957255607
cytopenias,123.22855343707346
cytopenias,122.56495378111208
cytopenias,121.99491053276233
cytopenias,124.1983003234463
cytopenias,135.1145172568862
cytopenias,128.03946322766376
cytopenias,126.94794141780004
cytopenias,126.08699665585037
cytopenias,122.97916973396926
cytopenias,124.2220266599587
cytopenias,121.89922267458992
cytopenias,124.44472382109802
cytopenias,125.28148422259851
cytopenias,116.97841866377439
cytopenias,125.98794817618827
cytopenias,123.47058069594402
cytopenias,128.26968717612937
cytopenias,123.2620212708742
cytopenias,121.79862776001923
cytopenias,124.32509993136294
cytopenias,125.33298490141202
cytopenias,118.01578279394298
cytopenias,126.76201905251988
cytopenias,125.74586540406685
cytopenias,120.45093957261197
cytopenias,117.1429322262501
cytopenias,117.13192605092506
cytopenias,128.35590522050597
cytopenias,129.40422209313135
cytopenias,126.12597807470108
cytopenias,120.69823578672289
cytopenias,130.41899009528464
cytopenias,126.0042103831215
cytopenias,118.08926992165237
cytopenias,120.74111083921917
cytopenias,127.24039919165386
cytopenias,128.3726568111612
cytopenias,128.9172307950307
cytopenias,128.04689212533862
cytopenias,119.81040568695948
cytopenias,119.59017300001571
cytopenias,133.67742995674016
cytopenias,122.23533708690066
cytopenias,122.69525732013469
cytopenias,125.20642779326137
cytopenias,122.43328308867974
cytopenias,125.40644496575256
cytopenias,126.47217810265414
cytopenias,122.8932387030445
cytopenias,122.54833224259531
cytopenias,128.55120441935395
cytopenias,128.40673962963254
cytopenias,125.92698187087113
cytopenias,112.90264666862326
cytopenias,119.5104754787422
cytopenias,127.14566128351429
cytopenias,128.37932869025067
cytopenias,112.51356008258409
cytopenias,119.22867593076901
cytopenias,124.69993557247913
limey,116.34768918715595
limey,111.55303335937066
limey,116.33991305133652
limey,105.91871003188524
limey,117.9617844362618
