cytopenias,filibusters
biblioclast,-6.577318679337964
biblioclast,-6.254549225690905
biblioclast,-6.019017757807996
biblioclast,-5.111787695312177
biblioclast,-4.810461744087381
biblioclast,-4.715807138033646
biblioclast,-4.632783981865169
biblioclast,-4.578265043504327
biblioclast,-4.137164097261142
biblioclast,-4.126619010737716
biblioclast,-4.085042814425082
biblioclast,-3.80356170380356
biblioclast,-3.563695632745349
biblioclast,-3.5435478013369064
biblioclast,-3.505431361061559
biblioclast,-3.477177057374414
biblioclast,-3.439907139524868
biblioclast,-3.3528205652288916
biblioclast,-3.212071793531094
biblioclast,-2.975943533546367
biblioclast,-2.850035327682604
biblioclast,-2.828466692815072
biblioclast,-2.648756920742971
biblioclast,-2.5867301519284567
biblioclast,-2.37584566042383
biblioclast,-2.248472501073395
biblioclast,-2.2067315422342766
biblioclast,-2.1566547459660224
biblioclast,-2.1305662887296424
biblioclast,-2.1029293439065593
biblioclast,-1.9419249002840855
biblioclast,-1.9259198045019565
biblioclast,-1.9014598600653663
biblioclast,-1.7955177975668317
biblioclast,-1.6602259625301459
biblioclast,-1.3522849003680142
biblioclast,-1.2252737846301995
biblioclast,-1.2119094358207116
biblioclast,-1.0979211497024577
biblioclast,-1.0575544596779003
biblioclast,-1.0211519827899431
biblioclast,-0.9742994123772957
biblioclast,-0.9202285080050402
biblioclast,-0.7587370752493591
biblioclast,-0.6846594686980353
biblioclast,-0.6183436345239219
biblioclast,-0.6010134114898997
biblioclast,-0.588121638999031
biblioclast,-0.40555197208726773
biblioclast,-0.29911441204622913
biblioclast,-0.23370823262836996
biblioclast,-0.14794370027363724
biblioclast,-0.08073994057843775
biblioclast,-0.036677562514682044
biblioclast,0.1004444854703134
biblioclast,0.2769044063638189
biblioclast,0.5073294530678725
biblioclast,0.6637974131038881
biblioclast,0.7042568134947892
biblioclast,0.7237187642148701
biblioclast,0.7712038863896817
biblioclast,0.8095744923537126
biblioclast,0.8105253500720473
biblioclast,0.9121595848900851
biblioclast,0.952589613486928
biblioclast,1.0212223559723337
biblioclast,1.0511782758328223
biblioclast,1.0798030353596668
biblioclast,1.0811210841972054
biblioclast,1.138286239303559
biblioclast,1.2327226441143697
biblioclast,1.3361073974513882
biblioclast,1.3891889903476387
biblioclast,1.4019027658956684
biblioclast,1.4592606169680142
biblioclast,1.5427571028530294
biblioclast,1.5552161593523104
biblioclast,1.575524225706385
biblioclast,1.8019969003262704
biblioclast,1.8143429316556148
biblioclast,1.842524190170833
biblioclast,2.007436779457166
biblioclast,2.11279419001806
biblioclast,2.3690251410539203
biblioclast,2.3885803157454624
biblioclast,2.422581588537432
biblioclast,2.438926906090106
biblioclast,2.583784229204782
biblioclast,2.8211801409981563
biblioclast,2.901182882356897
biblioclast,2.933016355824875
biblioclast,2.9649825126291676
biblioclast,2.999427186092186
biblioclast,3.2078776646384974
biblioclast,3.3186179992857796
biblioclast,3.957007123156871
biblioclast,3.970686295039011
biblioclast,4.364466746635152
biblioclast,4.4921480984866164
biblioclast,4.506604687551727
fluor-spar,-9.830590231699732
fluor-spar,-9.012189899138034
fluor-spar,-8.142538933150917
fluor-spar,-8.136885340484652
fluor-spar,-7.694173266951523
fluor-spar,-7.675406676013392
fluor-spar,-7.189953831437529
fluor-spar,-7.121271552125998
fluor-spar,-6.789894277869868
fluor-spar,-6.614381311876358
fluor-spar,-6.5742938267511315
fluor-spar,-6.135032079131258
fluor-spar,-6.052268005508281
fluor-spar,-5.96236237399124
fluor-spar,-5.922939881565106
