Judaea,azithromycin
limey,55.14192579548353
limey,47.147291827068734
limey,49.1594351139612
limey,51.69970103849946
limey,55.04587377157544
limey,46.184530466928734
limey,46.67423185670895
limey,47.778190404589864
limey,52.29150493603142
limey,45.443135719735366
limey,51.33293005178237
limey,45.86393394828549
limey,50.013407362967094
limey,50.83721989732862
limey,41.68381985229086
limey,44.639722866090544
limey,48.364579616272785
limey,47.53074426157677
limey,52.16087657241803
limey,47.30739788557323
limey,46.897959657925334
limey,54.620653660440524
limey,48.03861244458458
limey,53.34640432506733
limey,51.244114680078475
limey,51.73670431183213
limey,51.24332270307158
limey,48.69630608139114
limey,47.69828857069028
limey,55.15555257132387
limey,45.37287014327592
limey,54.25545512903359
limey,55.06762815571099
limey,45.5944766506483
limey,49.752853673304756
limey,49.584475712033
limey,53.62809310586873
limey,52.38362347783958
limey,51.12441822069926
limey,45.86003422035212
limey,53.88737156130331
limey,51.53776290695223
limey,49.75698725827142
limey,50.56322466769135
limey,55.95206311213108
limey,49.326698046141914
limey,47.155854094244695
limey,51.21191790270639
limey,53.19237673187614
limey,47.09973464359724
limey,50.42083039105967
limey,51.60797843989475
limey,55.76136760660823
limey,45.61661019644979
limey,50.088070619264975
limey,47.687264365083934
limey,47.05603573205479
limey,55.23100832702
limey,54.022307007922876
limey,55.153931174334176
limey,49.43432454616038
limey,53.43725319173198
limey,50.024941298862146
limey,61.10283546930913
limey,49.987126176926516
limey,48.100320479307946
limey,44.767399288496016
limey,50.131026796349
limey,53.43258300526484
limey,49.80613541306219
limey,49.37027324981965
limey,52.40551068569584
limey,49.37216658096917
limey,48.578095886225405
limey,50.47348118853196
limey,53.19703017031928
limey,42.58295295768474
limey,47.58831043380358
limey,51.31518428261668
limey,45.3277837915529
limey,45.156155222341795
limey,56.38422757049984
limey,54.00810964655949
limey,50.739882942681994
limey,44.66463569528193
limey,44.73895930035687
limey,53.337974524365954
limey,51.69287646614203
limey,49.43773644493396
limey,49.38632345956073
limey,57.4061563643012
limey,50.201025433194516
limey,56.1446693388925
limey,56.52712836581219
limey,45.902028321203886
limey,51.51291102846781
limey,55.52071547898488
limey,51.463929304941374
limey,44.14107461316165
limey,47.60692233162443
limey,52.55600777747051
augment,48.769834535290165
augment,38.43396445889984
augment,48.42735264794805
augment,39.26925821272759
augment,42.535630423277524
augment,51.26504712588914
augment,50.1039468494013
augment,47.86996628424749
augment,42.85096424077625
augment,44.50468893598983
augment,43.73154834272202
augment,48.49194575869528
augment,44.74825619463166
augment,49.554157775147466
augment,45.47367542058267
augment,50.00009303463928
augment,47.35528452410791
augment,43.32066365120406
augment,44.002800345843085
augment,45.885994294358554
augment,45.29960635993107
augment,44.973131265291606
augment,44.61523272913503
augment,47.321405900885125
augment,46.50492799030995
augment,41.04269886496271
augment,44.61974098001998
augment,47.74903137298419
augment,39.94009542550431
augment,51.83417371779771
augment,40.25212761974757
augment,48.60830287798096
augment,44.7794290351241
augment,37.939149465361155
augment,49.641790376476976
augment,47.222613844655726
augment,46.27912727423134
augment,46.33070402691852
augment,46.79395417462795
augment,50.86942779561931
augment,46.08198716460255
augment,44.806947857835645
augment,41.67138373656049
augment,46.48249266183975
augment,40.8648030288541
augment,44.688669260704685
augment,43.813705144720906
augment,47.90407620813499
augment,49.061933994110944
augment,39.488506213958885
augment,43.705097283798715
augment,45.385152528687435
augment,51.13576439941146
augment,38.377315095529084
augment,43.7004384577525
augment,40.65717635382023
augment,45.79238325981998
augment,41.44009310838106
augment,49.43146228453569
augment,37.78628115467478
augment,44.02900594596936
augment,44.13658292971394
augment,47.88016456773935
augment,48.84271450731357
augment,42.35880855290965
augment,44.96147108635108
augment,40.73513890400235
augment,44.43731179518036
augment,44.70980037049177
augment,43.672372332527935
augment,44.622050480327346
augment,43.98871327485782
augment,44.674923457302484
augment,42.21687659618095
augment,47.38997621204352
augment,45.84516503930015
augment,42.81710101960755
augment,43.03103482981158
augment,43.14807813624609
augment,47.36586289686138
augment,41.66191506993046
augment,49.10953764853934
augment,42.08734216747857
augment,43.203627163953634
augment,39.03128143882189
augment,47.01306664051161
augment,48.29456119650433
augment,46.921742857105976
augment,49.30899984476034
augment,45.59277441508294
augment,46.614492894767245
augment,46.26110364327596
augment,46.62962577739907
augment,41.68639387136193
