augment,limey
substitutes,-15.585298264766768
substitutes,-14.45071017182024
substitutes,-12.928051300234658
substitutes,-12.230533650683613
substitutes,-11.977942390099168
substitutes,-11.51488592351208
substitutes,-11.409555345646837
substitutes,-11.25390721702248
substitutes,-9.996249973909046
substitutes,-9.426790198821339
substitutes,-9.275104341696132
substitutes,-8.70071776145013
substitutes,-8.230861289478623
substitutes,-7.708377421220403
substitutes,-7.699508267983499
substitutes,-7.676207419893452
substitutes,-7.566912259079224
substitutes,-7.25913302358088
substitutes,-6.85959498140427
substitutes,-6.658740547264746
substitutes,-6.337267853963315
substitutes,-5.9852519101391755
substitutes,-5.9761540563118425
substitutes,-5.186400377396021
substitutes,-5.179136220644129
substitutes,-5.071286323009969
substitutes,-4.809953460049757
substitutes,-4.730195089009282
substitutes,-4.558620399913692
substitutes,-4.506481175664802
substitutes,-4.195635373653135
substitutes,-3.815327024778658
substitutes,-3.3855852625808294
substitutes,-3.3570329882015932
substitutes,-3.28799707534519
substitutes,-2.701107060671134
substitutes,-2.6365659653174176
substitutes,-2.345061615028643
substitutes,-2.228404477791733
substitutes,-1.7469226643520779
substitutes,-1.6846720321633781
substitutes,-1.602139565638127
substitutes,-1.513239833367251
substitutes,-1.3495896601548618
substitutes,-1.329848194835453
substitutes,-1.2812095489864002
substitutes,-1.1154446986427298
substitutes,-1.0732280604194926
substitutes,-1.0007467006394573
substitutes,-0.9617420122789991
substitutes,-0.765795310693163
substitutes,-0.6699099735401323
substitutes,-0.6407273875221885
substitutes,0.020380423314110423
substitutes,0.17451870555633067
substitutes,0.40108562580182017
substitutes,0.6484420078178049
substitutes,0.8049117069611705
substitutes,1.070948846032603
substitutes,1.2359406432795736
substitutes,1.2746731271013212
substitutes,1.4666917519342728
substitutes,2.4754689371351177
substitutes,2.6359622139465784
substitutes,3.3458861470855767
substitutes,3.5252794109672396
substitutes,4.2489150592523846
substitutes,4.2771694166601835
substitutes,4.654125882592286
substitutes,4.9473379518225835
substitutes,4.975337407792158
substitutes,4.978400984527396
substitutes,5.02632124708929
substitutes,5.090335447826029
substitutes,5.57616194463802
substitutes,5.587928337577048
substitutes,5.5972887308989545
substitutes,5.638924024401132
substitutes,6.106777873150506
substitutes,6.200612070320772
substitutes,6.73548612754113
substitutes,6.797239636046973
substitutes,7.3802868753404525
substitutes,8.086887795315917
substitutes,8.531641609752082
substitutes,9.186646855499593
substitutes,9.731284153941763
substitutes,10.787707222132966
substitutes,11.43589243793796
substitutes,12.008891873852464
substitutes,12.843460245345627
substitutes,13.372633312608643
substitutes,13.923558327420974
substitutes,15.88456943418121
substitutes,16.868967685899456
biblioclast,-29.82134105761351
biblioclast,-25.057941317607767
biblioclast,-17.302772289283094
biblioclast,-15.827350288760746
biblioclast,-14.971219880351791
biblioclast,-14.279603823241162
biblioclast,-13.349440122968913
biblioclast,-13.064769718597725
biblioclast,-13.02997673642752
biblioclast,-12.687238215358958
biblioclast,-12.443786422449742
biblioclast,-11.41458771358407
biblioclast,-10.743437918917303
biblioclast,-10.712800494985917
biblioclast,-10.4075323900786
biblioclast,-10.225739919119814
biblioclast,-9.94941413686232
biblioclast,-9.916265086630101
biblioclast,-9.810576850435258
biblioclast,-9.300483245527083
biblioclast,-8.562506136635461
biblioclast,-7.593841103961479
biblioclast,-7.410115503154013
biblioclast,-6.914763478413824
biblioclast,-6.817408702826691
biblioclast,-5.586640069576072
biblioclast,-4.973563026839046
biblioclast,-3.8661309827059496
biblioclast,-3.7177945159748202
biblioclast,-3.599553390913367
biblioclast,-3.128871875898937
biblioclast,-2.942979229563269
biblioclast,-2.7174694318948553
biblioclast,-2.165558885873844
biblioclast,-2.1466299426184654
biblioclast,-2.006597524813311
biblioclast,-1.811355127447611
biblioclast,-1.764855662618992
biblioclast,-1.5783684637281927
biblioclast,-1.339790474771253
biblioclast,-1.0791256793272044
biblioclast,-0.8914679142058544
biblioclast,-0.8588141979165765
biblioclast,-0.10999973774287594
biblioclast,0.47849915223126643
biblioclast,0.9752689515348675
biblioclast,1.181145610662813
biblioclast,1.5315999433071166
biblioclast,1.8534961254966145
biblioclast,2.0915125016903335
biblioclast,2.2173798463079266
biblioclast,2.3388567276098127
biblioclast,2.6094376517656777
biblioclast,2.6459995004371977
biblioclast,2.8256358525379808
biblioclast,3.1061300426586644
biblioclast,3.5306183618745726
biblioclast,3.6059938014086237
biblioclast,3.6408641448173475
biblioclast,4.087785143020033
biblioclast,4.173598277398145
biblioclast,4.828587098675392
biblioclast,4.854444731563829
biblioclast,4.878106966236866
biblioclast,4.9043418529925145
biblioclast,4.934863839938937
biblioclast,5.778247890280371
biblioclast,6.4851570689100555
biblioclast,6.6264062663208
biblioclast,6.925027946913181
biblioclast,6.934350207024175
biblioclast,7.046830163610287
biblioclast,7.363310600336354
biblioclast,7.6618265491345365
biblioclast,7.855297688530081
biblioclast,8.035754999930207
biblioclast,8.081202349455536
biblioclast,9.29142510228089
biblioclast,9.395952758220046
biblioclast,9.583695572795834
biblioclast,9.592329183045301
biblioclast,9.720056996326923
biblioclast,9.963099998410769
biblioclast,10.464796103974939
biblioclast,11.289224472375306
biblioclast,11.792338395003075
biblioclast,12.694662985800688
biblioclast,12.844712753707581
biblioclast,12.881259968368786
biblioclast,13.27780524001621
biblioclast,13.517536515256156
biblioclast,13.60646435626721
biblioclast,13.73832397669374
biblioclast,14.023641219671026
biblioclast,15.265075351210887
biblioclast,15.64837354436381
biblioclast,20.2133413315617
filibusters,-11.74447168889022
filibusters,-9.531641040415915
filibusters,-8.154558112588559
filibusters,-7.8203887211363705
filibusters,-7.669577471773136
filibusters,-7.615922359932908
filibusters,-7.446071340550563
filibusters,-7.395179799808948
filibusters,-6.895809040073715
filibusters,-6.555646857738695
filibusters,-5.168230536872787
filibusters,-5.072958144225115
filibusters,-4.718159357849143
filibusters,-4.462960495132108
filibusters,-4.331989093392686
filibusters,-4.050727778713062
filibusters,-3.808018433475244
filibusters,-3.681373258110651
filibusters,-3.641647908995254
filibusters,-3.524862836052721
filibusters,-3.4965200243422063
filibusters,-3.331542126857995
filibusters,-3.2206194364309058
filibusters,-3.026849449733142
filibusters,-2.791371262634891
filibusters,-2.774810888048893
filibusters,-2.518000522968312
filibusters,-2.441541582037799
filibusters,-2.174569569640799
filibusters,-2.173429277861932
filibusters,-2.049971590865493
filibusters,-1.9887515436684373
filibusters,-1.8473703654498868
filibusters,-1.6056786637814267
filibusters,-1.4607649518494867
filibusters,-1.4342146355344103
filibusters,-1.4275596464844302
filibusters,-1.3975395826968544
filibusters,-1.3408020514239798
filibusters,-1.0471331127193946
filibusters,-1.007375226644225
filibusters,-0.9557982517201091
filibusters,-0.8575074288818154
filibusters,-0.8202377122768797
filibusters,-0.7728060445962889
filibusters,-0.5675446095416992
filibusters,-0.43449268231193316
filibusters,-0.21787721316297326
filibusters,-0.16075432713736884
filibusters,-0.017714439309286758
filibusters,-0.008172910679585095
filibusters,0.1590604172371795
filibusters,0.19016227113518716
