effacement,limey
fluor-spar,-11.211777193462902
fluor-spar,-8.363617230006136
fluor-spar,-7.72075437044202
fluor-spar,-7.546829501259686
fluor-spar,-7.530638336328221
fluor-spar,-7.517219774010911
fluor-spar,-7.229718226740014
fluor-spar,-7.0580769539221775
fluor-spar,-7.015048582432933
fluor-spar,-6.566492193005324
fluor-spar,-5.421769818698546
fluor-spar,-4.750269208611662
fluor-spar,-4.749440820725737
fluor-spar,-4.719708473658959
fluor-spar,-4.654698501241703
fluor-spar,-4.140719686669671
fluor-spar,-4.061207958258865
fluor-spar,-4.002855520158372
fluor-spar,-3.6497717740531
fluor-spar,-3.5047267843418606
fluor-spar,-3.3889282821214874
fluor-spar,-3.3710924410359433
fluor-spar,-3.269220573775195
fluor-spar,-3.148610304889083
fluor-spar,-2.8894542170892197
fluor-spar,-2.881444921452913
fluor-spar,-2.868317220333731
fluor-spar,-2.6679694904113203
fluor-spar,-2.5312542444765587
fluor-spar,-2.4596597759366694
fluor-spar,-2.395139146572947
fluor-spar,-2.283664048740143
fluor-spar,-2.224511192251621
fluor-spar,-1.9828417633732205
fluor-spar,-1.9183434931232726
fluor-spar,-1.8166913716197806
fluor-spar,-1.7393570475930151
fluor-spar,-1.496757617959357
fluor-spar,-1.339404617805264
fluor-spar,-1.3252210918473075
fluor-spar,-1.3145674351734087
fluor-spar,-1.2591839649375736
fluor-spar,-1.2139553987384875
fluor-spar,-1.1466304906016718
fluor-spar,-1.1412644881681757
fluor-spar,-0.9592904933678001
fluor-spar,-0.7626465473590384
fluor-spar,-0.14901323713357562
fluor-spar,-0.13603693158379404
fluor-spar,-0.017194205014912756
fluor-spar,0.013033056660244118
fluor-spar,0.07957369094663554
fluor-spar,0.1632529497554288
fluor-spar,0.26517066519212895
fluor-spar,0.5834373636326141
fluor-spar,0.7001154188222262
fluor-spar,0.7294733976701405
fluor-spar,0.7813791902282778
fluor-spar,0.919375619463779
fluor-spar,1.1157720521968202
fluor-spar,1.1779112792058957
fluor-spar,1.444968061709727
fluor-spar,1.5185318408487234
fluor-spar,1.5517053455015637
fluor-spar,1.7684723758226537
fluor-spar,1.808084703726722
fluor-spar,1.8593254470888583
fluor-spar,2.0376968978016974
fluor-spar,2.178045033439211
fluor-spar,2.204105108338422
fluor-spar,2.281439932402355
fluor-spar,2.3600726670413477
fluor-spar,2.377893178941621
fluor-spar,2.7021509423779997
fluor-spar,2.7294747695792414
fluor-spar,2.8921262989736816
fluor-spar,3.137424120294765
fluor-spar,3.3973663769289084
fluor-spar,3.8205180103685965
fluor-spar,4.135888621703814
fluor-spar,4.141291910783762
fluor-spar,4.16651468360929
fluor-spar,4.1957670105536895
fluor-spar,4.364133989166486
fluor-spar,4.546941748470179
fluor-spar,4.91603152764855
fluor-spar,5.281936706219443
fluor-spar,5.351005934152219
fluor-spar,5.656521468396408
fluor-spar,5.874470011997651
fluor-spar,6.184404690315823
fluor-spar,7.802345471262984
fluor-spar,8.807424825060403
fluor-spar,9.674757965105862
fluor-spar,10.775835833340102
fluor-spar,11.472630349400092
biblioclast,-15.90578192663862
biblioclast,-14.819528892669478
biblioclast,-14.219678258883658
biblioclast,-14.138096226888855
biblioclast,-13.977544856134298
biblioclast,-13.095353280573145
biblioclast,-12.861404344527466
biblioclast,-12.589634347203388
biblioclast,-12.580805897236841
biblioclast,-10.943688762822365
biblioclast,-10.198413749577167
biblioclast,-9.529118238807053
biblioclast,-9.033967717923892
biblioclast,-8.722702763877887
biblioclast,-8.50401922668034
biblioclast,-8.410456729511496
biblioclast,-8.059862243608034
biblioclast,-7.674765680226374
biblioclast,-7.59473100586194
biblioclast,-7.019351300271188
biblioclast,-6.79498110671938
biblioclast,-6.557094873985332
biblioclast,-6.421118497745757
biblioclast,-6.329248727102774
biblioclast,-6.319359913700298
biblioclast,-5.988320696424524
biblioclast,-5.605156532407314
biblioclast,-5.401216133920769
biblioclast,-5.335217660013721
biblioclast,-4.94748464838845
biblioclast,-4.818868480591161
biblioclast,-4.04465115782506
biblioclast,-4.031647859285302
biblioclast,-3.9514401115731848
biblioclast,-3.25849367045667
biblioclast,-2.783406163237963
biblioclast,-2.6099413188279317
biblioclast,-2.0857230553021746
biblioclast,-1.9792907437480205
biblioclast,-1.783496863483831
biblioclast,-1.5102008942742926
biblioclast,-1.0956154410694308
biblioclast,-1.0505876767497078
biblioclast,-0.6353189594482314
biblioclast,-0.02828630452221714
biblioclast,0.054829001665659065
biblioclast,0.3986195018283439
biblioclast,0.614309879311608
biblioclast,0.721691715665872
biblioclast,0.8423823842478334
biblioclast,0.8679071181668945
biblioclast,0.9370919812032676
biblioclast,1.010846321139843
biblioclast,1.0694060536210737
biblioclast,1.19233363450862
biblioclast,1.2365779251141753
biblioclast,1.6446810591390286
biblioclast,1.6524201897723776
biblioclast,2.224223138537405
biblioclast,2.6180382353098905
biblioclast,3.1075205641564123
biblioclast,3.309157865065646
biblioclast,3.354100361374673
biblioclast,3.4299823583263582
biblioclast,3.4964780739877184
biblioclast,3.5217447912446915
biblioclast,3.969844006433481
biblioclast,4.01060775479953
biblioclast,4.028640328466797
biblioclast,4.695616963468609
biblioclast,4.761666940634223
biblioclast,5.320356339408946
biblioclast,5.369755552072823
biblioclast,5.71380214970073
biblioclast,5.851572805658575
biblioclast,5.8692016235529305
biblioclast,6.01723131364607
biblioclast,6.208090315706324
biblioclast,7.366717666438599
biblioclast,8.153751722876677
biblioclast,8.396582833313124
biblioclast,8.769762247208066
biblioclast,10.675546828538351
biblioclast,11.459109270077468
biblioclast,11.621956744613351
biblioclast,12.46431424720222
biblioclast,13.544043030540491
biblioclast,13.589129814676797
biblioclast,13.774370158191061
biblioclast,15.575970937246574
biblioclast,17.458850264280013
bull-tongue,-2.2957852683395914
bull-tongue,-2.2728224441095755
bull-tongue,-2.1371260304607205
bull-tongue,-1.9332215635895345
bull-tongue,-1.9262853004422114
bull-tongue,-1.9217134572785073
bull-tongue,-1.7985627387802348
bull-tongue,-1.781362170759992
bull-tongue,-1.6357720279765646
bull-tongue,-1.6151255948643615
bull-tongue,-1.4188445225257227
bull-tongue,-1.4177645503970027
bull-tongue,-1.3914832416815266
bull-tongue,-1.362315111131627
bull-tongue,-1.3476640544265641
bull-tongue,-1.172717218284368
bull-tongue,-1.1435140269431787
bull-tongue,-1.1075183929138688
bull-tongue,-1.090656329235431
bull-tongue,-1.0447020711076764
bull-tongue,-1.0292118239145789
bull-tongue,-1.0135272894557752
bull-tongue,-0.9782370459119559
bull-tongue,-0.9433836774175112
bull-tongue,-0.92648610299628
bull-tongue,-0.9179099372368191
bull-tongue,-0.8957995315981041
bull-tongue,-0.8781354497004501
bull-tongue,-0.8569166619141643
bull-tongue,-0.8095805203498844
bull-tongue,-0.7751378196672406
bull-tongue,-0.7741759258790584
bull-tongue,-0.7650178488347981
bull-tongue,-0.741917867698629
bull-tongue,-0.7201696432358803
bull-tongue,-0.6883111314690957
bull-tongue,-0.6535046329298971
bull-tongue,-0.6240723196991258
bull-tongue,-0.5680518452649935
bull-tongue,-0.5046502793154027
bull-tongue,-0.4974615825619153
bull-tongue,-0.46216999220642774
bull-tongue,-0.45987382553177797
bull-tongue,-0.44645734072890203
bull-tongue,-0.4310931118131907
bull-tongue,-0.42231968135906145
bull-tongue,-0.4143424935209883
bull-tongue,-0.35722486509344575
bull-tongue,-0.29787408960644157
bull-tongue,-0.29747561857279425
bull-tongue,-0.251868823519735
bull-tongue,-0.22331226799466625
bull-tongue,-0.19815118533130124
bull-tongue,-0.19468084976517333
bull-tongue,-0.1805972641824768
bull-tongue,-0.17677514863202864
bull-tongue,-0.1612127502193644
bull-tongue,-0.15299361412527768
bull-tongue,-0.13411769816593147
bull-tongue,0.02991894670258127
bull-tongue,0.03222854891006553
bull-tongue,0.0990296030285872
bull-tongue,0.10744664417584804
bull-tongue,0.11795537217442509
bull-tongue,0.12052050022606715
