x_augment,y_augment,x_fluor-spar,y_fluor-spar,x_spies,y_spies
0.918,25.991,-1.333,-6.017711546036351,-4.308,15.923682465106237
-0.394,-7.272,3.288,14.2786868040723,-4.657,31.181925766739617
-0.053,-11.215,1.52,-1.4130131473600236,-0.391,-7.3932800780019825
0.862,-15.197,0.953,-1.0075445030750148,-8.314,-4.619367337495599
5.528,-10.992,1.87,0.12088726245261405,1.007,-5.130504772021814
-2.203,12.796,6.278,-8.861755536466918,-1.906,16.179631019388978
1.917,-24.106,5.682,11.207170325946214,1.384,-14.512906984315944
-9.104,-6.226,-4.173,-9.333119745740264,-5.677,-0.12837688999439045
0.022,21.599,1.069,42.56815085840507,1.359,-7.747354667794925
-13.233,43.052,-14.897,0.14020228061719298,10.189,20.71984171115554
0.027,16.672,0.007,19.25191153402244,1.713,-11.056277208448611
1.159,-13.749,9.823,-4.1342078897710515,-4.847,69.15633555957221
-1.802,18.811,-4.942,-32.711699512676645,0.008,10.849042242522508
1.65,3.365,11.37,-9.44522869151952,-0.783,29.280870110889232
-8.509,-2.373,3.055,4.779123153471776,-8.875,0.8019756810099672
1.818,1.735,5.406,8.096577207127433,-0.189,34.37704357428884
1.792,-11.472,5.022,12.614414438006644,-19.697,51.448539656008236
-7.318,18.358,5.826,-10.785008905618277,2.352,8.846431114518646
-5.815,57.872,0.659,1.0625914674987347,-0.054,-8.708440452718875
-2.554,-39.105,3.204,-2.588702193076318,-1.407,5.330404337848894
-1.101,14.656,-0.089,15.194859123863651,-2.467,-3.9790918603586647
19.403,-32.025,1.683,-1.4394695898195975,1.329,16.234166516433223
-14.408,14.133,-5.76,7.25834315167485,-6.81,-1.0268234061008172
0.215,-26.451,0.116,-0.10163740099669916,4.254,1.9122857460901068
-3.502,10.943,12.201,-4.599170578437289,-0.011,-31.043755506164608
10.064,-25.018,-0.219,-1.357962315551572,2.766,8.790008555009265
-0.068,5.084,-4.431,10.724386704754687,5.887,17.557664624368552
-0.563,3.119,1.268,1.9009244139742163,-5.025,15.287444129394775
-12.941,37.066,-0.754,-4.387679137102527,-1.392,37.16572043256095
5.324,20.338,-1.443,5.646287978827915,0.39,33.3228042310269
-2.65,14.739,-23.411,19.272534625421528,-2.473,4.057463896876135
1.108,33.799,0.421,-9.39009049655709,0.384,42.66099317867749
2.761,13.969,2.725,-10.151783248298237,0.748,2.0188734033194042
-4.505,3.358,-6.139,-23.40689519811316,-2.645,21.857961014392476
-0.029,-30.483,5.403,-15.033068702453114,-4.443,-4.536002374199056
-4.711,43.486,0.025,2.407446244169278,-11.301,-10.81976730097968
-0.236,21.776,0.587,-7.87755046239815,1.916,-11.846243119298965
0.489,-13.568,6.048,-9.435624677622803,-0.376,30.158448139188373
1.179,12.404,-1.86,-12.370649674212759,-6.262,2.5149048595844015
3.719,4.134,-6.582,-27.275919772141986,2.829,42.383613600142596
1.616,-8.639,0.819,17.19605302923416,6.958,11.625588114532514
-2.293,15.888,-0.025,-4.3344103396799865,1.981,17.80135837368681
5.263,9.23,-1.172,25.13814762940485,-0.245,2.3216125966497483
6.483,-19.894,2.269,4.597435441879789,7.788,29.93973783497445
-0.388,-15.505,-1.375,1.8523171068535336,-0.806,-18.763115872083688
-0.769,-7.994,-4.043,9.278718050333737,-7.289,32.6620851354359
9.094,34.616,-1.481,-4.175854173371468,3.2,18.58181457139588
-0.608,-15.534,-1.185,-2.5127579713868236,3.927,-17.88087211542004
-3.887,27.988,1.814,7.248879752501848,-6.344,14.373897058273233
-9.774,-22.673,4.486,-26.88000656905199,-2.882,-10.773933036585447
-2.424,21.051,-20.858,3.679240607210623,-12.561,6.527184621169057
-2.261,3.879,-2.88,1.171049654778672,3.398,5.407641521304926
4.614,17.372,0.342,0.8633008746792612,-0.231,22.36029345104909
0.109,27.108,1.903,-1.9645400607889432,1.114,9.876795385307442
-0.085,-7.341,-4.592,-3.7747053008607194,0.316,35.71591916178549
-1.412,-46.756,0.154,-12.010635389035007,-5.732,-18.2509776474051
-6.914,-4.57,1.971,-22.266623500683014,8.078,31.647129371808834
17.894,43.22,10.883,-7.408382499150043,-0.503,-9.718915319153949
1.551,2.052,-1.057,-9.308866528862728,-1.866,-18.71000308854534
0.961,27.384,-4.395,2.1646998671429087,-0.093,-6.585072417545108
8.418,-19.129,-5.439,15.717200825721411,1.186,6.0630401074568825
-1.525,18.474,-8.386,-8.96254852726164,0.801,-45.45030126702354
1.404,-2.714,3.326,13.347744410641443,0.839,19.82513245734959
-0.952,-0.732,-6.041,-4.320778647462811,3.179,21.488309158988166
19.275,16.743,-4.339,-1.2484101460099417,-5.506,-14.93035430018064
-1.128,-8.924,-3.962,-4.088997817642676,2.019,5.09388087450837
0.048,27.321,-10.231,-29.15343235948872,15.539,5.454555464172374
-3.896,29.403,-11.953,22.9566536729968,-3.897,2.7466003926769798
11.159,7.325,4.203,6.001677065761863,3.301,40.597014815041206
