limey,cytopenias
perennibranch,-1.9076736550294662
perennibranch,-1.7584317745643838
perennibranch,-1.7117066484037455
perennibranch,-1.444852420000012
perennibranch,-1.278290466165284
perennibranch,-1.2553561670998934
perennibranch,-1.2238850643370491
perennibranch,-1.1855408324600267
perennibranch,-1.1567463003236795
perennibranch,-1.1548321287891683
perennibranch,-1.1206186861678877
perennibranch,-1.0815460913109087
perennibranch,-0.8720003279320785
perennibranch,-0.8125239767606157
perennibranch,-0.7598684901256008
perennibranch,-0.7476830603057134
perennibranch,-0.6717126210390385
perennibranch,-0.6619699353919167
perennibranch,-0.6532799925831018
perennibranch,-0.6210930693595501
perennibranch,-0.5984325900769947
perennibranch,-0.5592417536464294
perennibranch,-0.551130867037512
perennibranch,-0.49695406653066193
perennibranch,-0.49129979663778395
perennibranch,-0.48998539016135345
perennibranch,-0.43015773698097964
perennibranch,-0.4294821132269153
perennibranch,-0.41653187304825623
perennibranch,-0.3711857086174611
perennibranch,-0.3599759919945511
perennibranch,-0.35556375457770606
perennibranch,-0.3478917437213166
perennibranch,-0.3308867700248252
perennibranch,-0.29251475269753285
perennibranch,-0.2627782292636192
perennibranch,-0.2575105377652084
perennibranch,-0.25621987773512495
perennibranch,-0.23739208783467022
perennibranch,-0.2232590114753154
perennibranch,-0.20776694358083847
perennibranch,-0.19676183254611446
perennibranch,-0.12927665554597545
perennibranch,-0.11993846601463638
perennibranch,-0.11449690888938087
perennibranch,-0.08887142434572388
perennibranch,-0.07903912260108469
perennibranch,-0.06334676683890202
perennibranch,0.016667182054021117
perennibranch,0.03375774270509727
perennibranch,0.08442449107816376
perennibranch,0.08867571568900294
perennibranch,0.10563175397149335
perennibranch,0.11686467346106262
perennibranch,0.15736669678304116
perennibranch,0.1630157143724946
perennibranch,0.17428195634910326
perennibranch,0.19091790447933174
perennibranch,0.21734666976629707
perennibranch,0.22644345385203077
perennibranch,0.25532729295319717
perennibranch,0.2710741352277122
perennibranch,0.3215376082814433
perennibranch,0.43930724567085666
perennibranch,0.51486100726804
perennibranch,0.5172292633650186
perennibranch,0.5828104106140676
perennibranch,0.5848582732123607
perennibranch,0.5887285077650767
perennibranch,0.5922808011980741
perennibranch,0.662335723607514
perennibranch,0.6756531682611194
perennibranch,0.6867279340627793
