substitutes,fluor-spar
dissection,92.34209018548069
dissection,94.68630653998888
dissection,98.64417200875388
dissection,95.45447560030476
dissection,91.54907527342164
dissection,98.45029302730238
dissection,98.1897250604794
dissection,92.09077827331515
dissection,98.91056967294108
dissection,91.97500508474826
dissection,96.52710757521164
dissection,98.0347127853225
dissection,92.11777744881145
dissection,91.67301598902766
dissection,98.88349114348615
dissection,95.43343497805766
dissection,97.78232996743783
dissection,99.17751851926056
dissection,98.66544893144274
dissection,101.77892565263198
dissection,95.33536447502385
dissection,94.72240945874725
dissection,95.52497689930814
dissection,95.83447197633674
dissection,93.85713458128947
dissection,93.63336740884165
dissection,94.92716529813923
dissection,94.4509789457161
dissection,92.74961189053906
dissection,96.69247602402034
dissection,99.33436265917015
dissection,99.78565604739794
dissection,92.97202951075988
dissection,94.76862670449123
dissection,98.52819592531094
dissection,96.61809921883224
dissection,95.6690459599323
dissection,89.86233315512803
dissection,94.9807514712838
dissection,91.91348118928994
dissection,95.17460419097442
dissection,98.28327016743064
dissection,95.80515510995687
dissection,92.25854278035358
dissection,97.14116522997588
dissection,88.16404122047211
dissection,98.85345025062375
dissection,95.82828932169657
dissection,98.52942462030073
dissection,94.13473820566159
dissection,89.68214008115855
dissection,90.5449736650727
dissection,94.24627638851257
dissection,93.53876844990769
dissection,98.4481253787678
dissection,93.25479485150039
dissection,98.79820010872737
dissection,93.8233970572133
dissection,95.55643245920719
dissection,92.00576837765286
dissection,95.78807954699441
dissection,88.25524146014337
dissection,97.57833614098497
dissection,93.3803483809151
dissection,97.87062956022594
dissection,91.95661237111747
dissection,98.41542310271747
dissection,96.83112534672247
dissection,98.36769418106701
dissection,90.5688543471698
dissection,97.80434976423345
dissection,96.93526429029419
dissection,92.83866297791286
dissection,99.16349567379937
dissection,97.68253632936377
dissection,96.91464884636365
dissection,94.1310478893529
dissection,95.47006883876162
dissection,95.14980849427583
dissection,93.40034956335673
dissection,93.16062903755845
dissection,93.47701091658259
dissection,99.83519456072393
dissection,92.70291818262552
dissection,95.26588822777993
dissection,94.89674683603224
dissection,96.95368893837401
dissection,97.60768460576709
dissection,92.59332693282782
dissection,95.91430767191774
dissection,98.44766881523363
dissection,96.32923764839377
dissection,99.2566810448986
dissection,97.04190838796652
dissection,94.66966785781513
dissection,97.40106661925572
dissection,97.62328486947607
dissection,94.40605557317976
dissection,94.32167411838965
dissection,97.891905191605
augment,85.23914612596369
augment,84.41942620605505
augment,91.95773637450766
augment,88.53255413454436
augment,83.8236493437319
augment,86.01105421503549
augment,88.05910691695166
augment,81.86096828370694
augment,85.69251880669843
augment,85.5819517750176
augment,87.65236421416084
augment,82.95091395594642
augment,88.08703068722527
augment,86.20843440037807
augment,84.10452668080352
augment,85.6041622709097
augment,87.3699955403331
augment,86.32568112137902
augment,85.38815335845759
augment,79.34562270918993
augment,78.0192579929749
augment,90.5917733251669
augment,82.11955703069009
augment,88.16670361955518
augment,87.02688885043125
augment,84.22848921589038
augment,86.9859978029166
augment,81.15956587008337
augment,83.81525275950769
augment,80.35628150694937
augment,84.3187380125051
augment,88.00910526127028
augment,89.42584376556685
augment,80.59748790090414
augment,87.78476920226996
augment,83.89318151193018
augment,86.63531233260314
augment,84.88418388793362
augment,84.6414365966805
augment,86.22040974985225
augment,86.27651166991114
augment,91.51481013025922
augment,84.40722998320253
augment,89.76202954550496
augment,81.31882912978179
augment,87.74002919229413
augment,80.27874759859317
augment,87.00478264885008
augment,85.95812371928282
augment,81.45588319516023
augment,85.07184696948859
augment,86.58780491467225
augment,82.30382888144509
augment,81.96422336435757
augment,88.49702204929031
augment,84.10159115291354
augment,78.88228028192236
augment,81.44897924117382
augment,84.64725136968956
augment,82.69204183183699
augment,87.42371049710846
augment,89.10793929418243
augment,83.1617270421381
augment,86.42236264883161
augment,80.30841389754139
augment,88.01600937635394
augment,82.32378883425864
augment,79.06508817388068
augment,91.07583524616122
augment,86.09847485569959
augment,86.57503083912397
augment,85.19305992615172
augment,81.49114393079734
augment,84.84695806376675
augment,83.17921291794143
augment,84.46001770088252
