dissection,filibusters
augment,64.4241865459535
augment,62.047840513940024
augment,68.24933404052247
augment,68.45453631334898
augment,51.87339818103139
augment,65.70862591669757
augment,64.84136830577962
augment,57.19583319704672
augment,65.65203075258091
augment,51.78079896692887
augment,82.66456623008698
augment,63.908537572435485
augment,76.9696699663525
augment,65.37913688395112
augment,53.17418039314268
augment,53.541255089341895
augment,69.51660641458658
augment,65.88474959615776
augment,70.36207873929517
augment,66.28694490757341
augment,71.80222273221845
augment,66.48199925509792
augment,55.38364186307728
augment,58.14719889680289
augment,55.91855389760538
augment,73.8522939656813
augment,68.64055152315085
augment,80.0738843159178
augment,62.48954429054794
augment,70.22299653149915
augment,63.10148784401037
augment,70.07406475967527
augment,60.890848364282824
augment,70.1655375210053
augment,65.73787041581197
augment,70.22260320279179
augment,48.8802476919676
augment,68.22356168401703
augment,60.81700042824436
augment,60.71096136099402
augment,54.932385831493704
augment,51.781232470620054
augment,53.79365331969625
augment,52.78495382589538
augment,59.07494488621563
augment,55.33980281191178
augment,66.03344115135154
augment,77.47738536316712
augment,58.35889564723957
augment,59.005648534287026
augment,64.5761831426512
augment,68.04984169323454
augment,50.03624725552474
augment,62.79771726904693
augment,72.1328808574859
augment,62.170586649550216
augment,65.57661705414145
augment,66.99541492672867
augment,62.06714256061031
augment,73.0199731969025
augment,61.40885637885203
augment,71.03384316384461
augment,67.91117859551213
augment,63.40268929629671
augment,57.472090342176045
augment,66.69737812320245
augment,53.53946118207464
augment,66.19036431919793
augment,56.400400909006756
augment,67.3110167166029
augment,63.482931780691516
augment,59.30601321225015
augment,58.497004698237696
augment,65.80584038743058
augment,69.620520640924
augment,61.11627197071756
augment,69.63094191548822
augment,71.89788985878553
augment,59.565868405870084
augment,67.89535257366855
augment,68.63374556855207
augment,48.7758815643527
augment,51.504049323115
augment,67.58208725355604
augment,57.43426327653801
augment,71.25028661399621
augment,67.50675932623443
augment,62.16086042733264
augment,71.73645580825567
augment,72.96731199548412
augment,69.69192568346665
augment,63.38284839093956
augment,60.91875990923028
augment,69.3073557931021
augment,68.37742391065196
augment,56.381141315557414
augment,58.494560170558174
augment,68.26336933141499
augment,42.58811278732942
augment,68.82124180070716
augment,61.32189283619923
augment,51.158714898989786
augment,66.42096712619505
augment,68.46610007701226
augment,65.78963310585426
augment,57.27614001666876
fluor-spar,56.850103999319316
fluor-spar,63.72025320776823
fluor-spar,57.238577883375385
fluor-spar,57.89595975920116
fluor-spar,48.599654469305285
fluor-spar,62.412786618367676
fluor-spar,59.20873785951868
fluor-spar,69.04404838953397
fluor-spar,63.60921796185113
