cytopenias,substitutes
snowlines,-26.44298250426907
snowlines,-20.360478979200586
snowlines,-17.133035633676133
snowlines,-16.19952032573262
snowlines,-15.436029912786644
snowlines,-14.940691884542405
snowlines,-14.857502597417186
snowlines,-13.805459238280688
snowlines,-13.607015274746763
snowlines,-13.008038324399077
snowlines,-12.866227815259068
snowlines,-12.495144121762943
snowlines,-11.560052970035924
snowlines,-11.449526734848954
snowlines,-11.162619356460862
snowlines,-10.007978413783885
snowlines,-9.962206423671534
snowlines,-8.427970356010034
snowlines,-8.306178142916679
snowlines,-7.572287207256163
snowlines,-7.194261513204794
snowlines,-7.127683151891638
snowlines,-6.856307804668519
snowlines,-6.465392251361332
snowlines,-5.085097936083057
snowlines,-4.79710251774616
snowlines,-4.458133178330308
snowlines,-4.363889659991769
snowlines,-4.297256535905412
snowlines,-4.245970024035968
snowlines,-4.116560081208264
snowlines,-3.8381840874135857
snowlines,-3.250744785022916
snowlines,-2.8594549477032327
snowlines,-2.803862033781071
snowlines,-2.101901910046943
snowlines,-2.0773850566094727
snowlines,-1.8448735707130084
snowlines,-1.78325013340014
snowlines,-1.7546856426186934
snowlines,-1.7143044287407836
snowlines,-1.700668157503586
snowlines,-1.5639711592469272
snowlines,-1.535138090323844
snowlines,-1.1580695791766336
snowlines,-1.0041242554324648
snowlines,-0.9500633996145839
snowlines,-0.8041540930502826
snowlines,-0.5333573513062764
snowlines,-0.30721900471271824
snowlines,-0.29392952882425144
snowlines,-0.2674030972989323
snowlines,-0.11515293195027744
snowlines,0.07239398658876409
snowlines,1.134960947354731
snowlines,1.5501203396293877
snowlines,2.2891915353064927
snowlines,2.3024831842868925
snowlines,2.378497848090808
snowlines,2.52857338018212
snowlines,2.531928882701935
snowlines,2.6287459640340938
snowlines,2.8968815949046594
snowlines,3.7434200697665347
snowlines,4.917830025382134
snowlines,5.289606788666808
snowlines,5.420406852783966
snowlines,5.723338700513263
snowlines,5.918453398798895
snowlines,5.996699723111414
snowlines,6.5918213767337095
snowlines,7.317156428088474
snowlines,7.9280661293103805
snowlines,8.32303383518022
snowlines,8.589958702508321
snowlines,8.609864581522809
snowlines,9.095441057891907
snowlines,9.423351259684782
snowlines,9.599400465732455
snowlines,9.773670268006287
snowlines,9.843183316988885
snowlines,13.150690611757604
snowlines,13.845874987273177
snowlines,14.073056538574843
snowlines,14.094270773482037
snowlines,14.267290253293657
snowlines,14.301957427801764
snowlines,14.691797254900921
snowlines,14.737293553928621
snowlines,14.826548589904014
snowlines,15.217060168028057
snowlines,15.221017973849841
snowlines,15.3813021597277
snowlines,16.680042432636363
snowlines,21.69805874059261
snowlines,28.993117747647286
effacement,-10.82260138296872
effacement,-10.116538320580617
effacement,-9.894313882249905
effacement,-8.0625169084923
effacement,-7.933613343476494
effacement,-7.9252950703790725
effacement,-7.813058646331275
effacement,-7.393592908062196
effacement,-6.882985037978396
effacement,-6.830011932373053
effacement,-6.795946798990286
effacement,-6.68938790417166
effacement,-6.545709693418971
effacement,-5.439197452440443
