fluor-spar,snowlines
bull-tongue,31.766404578332477
bull-tongue,38.13384941867439
bull-tongue,37.63922486586654
bull-tongue,31.940429697768128
bull-tongue,34.77073236551631
bull-tongue,34.46633927310199
bull-tongue,38.793123634031964
bull-tongue,40.341197657910875
bull-tongue,28.582111017576583
bull-tongue,37.310114996195075
bull-tongue,33.68053841181235
bull-tongue,33.17902010018455
bull-tongue,36.82991752873095
bull-tongue,38.18872276776737
bull-tongue,38.0881003887318
bull-tongue,28.975567194798025
bull-tongue,34.87578396010682
bull-tongue,31.700827432301516
bull-tongue,33.30934959203585
bull-tongue,32.947143532706036
bull-tongue,32.74144766353555
bull-tongue,36.78563468490812
bull-tongue,38.70719463969822
bull-tongue,39.41985478845431
bull-tongue,34.51314331451231
bull-tongue,35.32986237955039
bull-tongue,35.78825312332319
bull-tongue,40.33457886494126
bull-tongue,35.903061987731384
bull-tongue,38.325421596433976
bull-tongue,34.59503637126111
bull-tongue,33.21436099664564
bull-tongue,39.41456513141629
bull-tongue,38.55190808039319
bull-tongue,35.14416527318206
bull-tongue,38.752753071796846
bull-tongue,32.86972839320582
bull-tongue,38.8187988932509
bull-tongue,39.51367886054621
bull-tongue,35.40016250110221
bull-tongue,42.173904222150504
bull-tongue,37.25414187153924
bull-tongue,36.03446363945448
bull-tongue,29.710855343561665
bull-tongue,32.801985199954714
bull-tongue,30.16151699269708
bull-tongue,31.540135487925372
bull-tongue,40.8182479930171
bull-tongue,41.187388052868215
bull-tongue,36.585213915211824
bull-tongue,35.235719976718045
bull-tongue,39.508784165206436
bull-tongue,32.85186166454218
bull-tongue,37.4124975842357
bull-tongue,35.30981685967009
bull-tongue,33.72212757789621
bull-tongue,37.21433634546349
bull-tongue,35.56074063872292
bull-tongue,34.448542049169205
bull-tongue,36.79086094015756
bull-tongue,33.81249099088432
bull-tongue,36.168479215300096
bull-tongue,38.966236170546296
bull-tongue,33.764552011607506
bull-tongue,38.079287362358286
bull-tongue,33.222091873854126
bull-tongue,39.62786490112673
bull-tongue,35.39804497140143
bull-tongue,36.580502053675815
bull-tongue,39.06161808502328
bull-tongue,37.810361471705384
bull-tongue,35.63061717842483
bull-tongue,33.557709918530556
bull-tongue,33.59809626332535
bull-tongue,26.491980440015272
bull-tongue,38.10039301710723
bull-tongue,35.54299514870023
bull-tongue,39.73563244160943
bull-tongue,42.00609781179267
bull-tongue,37.123987938432556
bull-tongue,32.50349023893712
bull-tongue,37.08634469603305
bull-tongue,35.673525818194165
bull-tongue,38.76384743506424
bull-tongue,29.07834633295566
bull-tongue,35.96433525567062
bull-tongue,35.445380822040086
bull-tongue,34.36320940543252
bull-tongue,34.25472778487739
bull-tongue,38.10077287060354
bull-tongue,31.78302596649993
bull-tongue,34.786515907814234
bull-tongue,35.680958872937346
bull-tongue,30.342787828947753
bull-tongue,31.833120774971793
bull-tongue,33.18529924179883
bull-tongue,30.252188284769975
bull-tongue,36.68170893684428
bull-tongue,34.36574939029203
bull-tongue,26.10992859640354
bull-tongue,33.39091235128462
bull-tongue,40.28158356296518
bull-tongue,33.74792071315643
bull-tongue,28.726113159676707
bull-tongue,43.845766203380464
dissection,37.551256194740475
dissection,38.088699080396744
dissection,34.226407997421596
dissection,35.372811819802216
dissection,29.6497847619126
dissection,32.6616800227912
dissection,39.944985004660005
dissection,37.905444141602594
dissection,33.58902000291177
dissection,36.33541585046737
dissection,30.755048461008236
dissection,30.209432111003423
dissection,38.54529196705795
dissection,41.75274164399399
dissection,38.00904192885654
dissection,34.0332912666243
dissection,37.308113067277034
dissection,38.553550006066125
dissection,35.97862931433126
dissection,38.359896948722934
dissection,34.81714945701061
