perennibranch,azithromycin
snowlines,-9.07267188063399
snowlines,-7.704080413237419
snowlines,-7.149750256327716
snowlines,-6.805380972257234
snowlines,-6.361215371418926
snowlines,-6.025670863962457
snowlines,-5.917202356136162
snowlines,-5.044216369933846
snowlines,-4.965001755857306
snowlines,-4.793756384886083
snowlines,-4.323088305057199
snowlines,-4.320859961285184
snowlines,-4.133353053042342
snowlines,-4.11550372978779
snowlines,-3.4894758742712217
snowlines,-3.418951263472915
snowlines,-3.2240523618591164
snowlines,-3.128232898796797
snowlines,-3.0570464742096304
snowlines,-3.016797007029232
snowlines,-2.823242190928885
snowlines,-2.8214667305792127
snowlines,-2.6942385718513666
snowlines,-2.687764899013731
snowlines,-2.464331688973511
snowlines,-2.2603143806562245
snowlines,-2.1611670917663277
snowlines,-2.011513805227408
snowlines,-1.9164852209386092
snowlines,-1.8300046512359291
snowlines,-1.7020231789256068
snowlines,-1.6976623182187205
snowlines,-1.5467829372251356
snowlines,-1.5348660054265275
snowlines,-1.5162382993305417
snowlines,-1.3432170334776223
snowlines,-1.2910911863811738
snowlines,-1.0655193364787194
snowlines,-1.0072779582271492
snowlines,-0.9939559741580368
snowlines,-0.9317313838493566
snowlines,-0.8760169014055934
snowlines,-0.8207946030564995
snowlines,-0.8150043703884016
snowlines,-0.6944034929435421
snowlines,-0.6181975940250508
snowlines,-0.5811324001023132
snowlines,-0.5012103554119759
snowlines,-0.44434945885106536
snowlines,-0.4356118538505217
snowlines,-0.39911219603328796
snowlines,-0.31795260709134915
snowlines,-0.19087426257098566
snowlines,-0.14268305603998963
snowlines,-0.12971857754644953
snowlines,-0.07730585119417045
snowlines,0.0030162334083966152
snowlines,0.010174350676889043
snowlines,0.19965833377209993
snowlines,0.3001456447505807
snowlines,0.3074670791872191
snowlines,0.4205821440759912
snowlines,0.66982347697487
snowlines,0.9302303522697091
snowlines,0.9934832947599352
snowlines,1.0078905684964918
snowlines,1.0273317252694327
snowlines,1.1130943606586579
snowlines,1.287126704079569
snowlines,1.5171554607653186
snowlines,1.6031443066367226
snowlines,1.6528835710770728
snowlines,1.724153812678378
snowlines,1.8831030344373165
snowlines,1.9070325029248885
snowlines,1.9298300513057267
snowlines,1.996744107049826
snowlines,2.0129486166043256
snowlines,2.194172132084212
snowlines,2.213384188637446
snowlines,2.282289009770078
snowlines,2.2835153325428803
snowlines,2.3205626113262063
snowlines,2.370048115864213
snowlines,2.4158141456808733
snowlines,2.4224464734491944
snowlines,2.4704913485474695
snowlines,2.48054381885235
snowlines,2.4849870247316046
snowlines,2.8480683615348292
snowlines,3.294263475584048
snowlines,3.392531666232963
snowlines,3.7390360813689387
snowlines,3.7793236708279245
snowlines,4.589998018620412
snowlines,4.651175050988795
snowlines,5.0058010262139
snowlines,5.100633402626129
snowlines,5.119110503065873
snowlines,5.165708269790009
snowlines,5.340272407662487
snowlines,5.350320635907898
snowlines,5.9132592378313085
snowlines,6.034777339591034
snowlines,6.153498261343295
snowlines,6.178117411352167
snowlines,10.685615380068604
cytopenias,-7.138141207304465
cytopenias,-6.818075213519782
cytopenias,-6.668652071645297
cytopenias,-5.942291435428635
cytopenias,-5.807043014372962
cytopenias,-5.525363292073439
cytopenias,-5.450893710504877
cytopenias,-4.928778310072152
cytopenias,-4.895556052967372
cytopenias,-4.536521428075829
cytopenias,-4.446095057374077
cytopenias,-4.3117999240174605
cytopenias,-4.280579167729467
cytopenias,-4.032875681688005
cytopenias,-3.735641672169352
cytopenias,-3.6460661800305405
cytopenias,-3.5555459699042675
cytopenias,-3.301780839422305
cytopenias,-3.187754454504599
cytopenias,-3.12525518370162
cytopenias,-3.0527011578138095
cytopenias,-3.024015025715674
cytopenias,-2.935801569913625
cytopenias,-2.9166786096884647
cytopenias,-2.8681353330712387
cytopenias,-2.8616910474519766
cytopenias,-2.8535705023752453
cytopenias,-2.80166497279978
cytopenias,-2.7288427352764986
cytopenias,-2.5979894547695754
cytopenias,-2.4802760600391482
cytopenias,-2.2876853500366994
cytopenias,-2.1024750464201696
cytopenias,-1.9946833230953847
cytopenias,-1.8770644303977284
cytopenias,-1.7209818534054946
cytopenias,-1.6288390454792305
cytopenias,-1.5735864298599607
cytopenias,-1.520900481817966
cytopenias,-1.4592426316729037
cytopenias,-1.337526099180177
cytopenias,-1.3003196984218612
cytopenias,-1.273886923686117
cytopenias,-1.2187709617583995
cytopenias,-1.096859546351673
cytopenias,-0.991351237275709
cytopenias,-0.9410704271267756
cytopenias,-0.8261972353429795
cytopenias,-0.6144789642322633
cytopenias,-0.561673309533411
cytopenias,-0.3926928044802835
cytopenias,-0.17100591658212902
cytopenias,-0.1211326570276163
cytopenias,-0.11749227838793125
cytopenias,-0.07763767265081077
cytopenias,0.0004883188427326041
cytopenias,0.3457252916971188
cytopenias,0.41852278102331947
cytopenias,0.5004221582857302
cytopenias,0.7857727162834952
cytopenias,0.7999717926431917
cytopenias,0.8152040687978294
cytopenias,0.9479471050910167
cytopenias,1.110667794209426
cytopenias,1.2787164124824935
cytopenias,1.3462139843695897
cytopenias,1.3833272522084579
cytopenias,1.4325491134552903
cytopenias,1.8097775404319236
cytopenias,1.814296445988354
cytopenias,1.846854790818909
cytopenias,2.547091216609156
cytopenias,2.7499688922461534
cytopenias,2.846990330566179
cytopenias,2.8592245172153135
cytopenias,2.8595805896734596
cytopenias,2.8726534638613557
cytopenias,3.0459758360112414
cytopenias,3.1058052851311473
cytopenias,3.3443371315279697
cytopenias,3.3511266263863577
cytopenias,3.763770053474123
cytopenias,3.858417857103585
cytopenias,3.8778335133702226
cytopenias,3.9122775743802625
cytopenias,3.934484790083884
cytopenias,3.9951128831883977
cytopenias,4.015453482816916
cytopenias,4.026526512506733
cytopenias,4.108304256627945
cytopenias,4.1970616047792495
cytopenias,4.2440959368683435
cytopenias,4.344172665797826
cytopenias,4.49785010379859
cytopenias,5.110721148493848
cytopenias,5.2454130199116955
cytopenias,5.428918888720279
cytopenias,5.686897304574116
cytopenias,6.22783329826177
cytopenias,6.514308007566633
cytopenias,7.1371866847809375
cytopenias,7.323913120487817
cytopenias,7.618805407532341
cytopenias,7.621424327455648
cytopenias,8.246174112662269
cytopenias,9.31093009080958
caramelisation,-17.3066251615147
caramelisation,-14.813132715286851
caramelisation,-14.422804021766343
caramelisation,-12.280226119092447
caramelisation,-11.66441069227073
caramelisation,-10.273690048567463
caramelisation,-10.208823422240535
caramelisation,-9.56111304337271
caramelisation,-9.444592508879873
caramelisation,-9.376821275412613
caramelisation,-9.358149433465583
caramelisation,-9.327405755634617
caramelisation,-8.652680475587788
caramelisation,-8.273858697799286
caramelisation,-7.847171567716172
caramelisation,-7.716298202820863
caramelisation,-7.20821894253967
caramelisation,-6.761139553416809
caramelisation,-6.5276917630895355
caramelisation,-6.193681413075615
caramelisation,-6.045473276852582
caramelisation,-5.643991931050636
caramelisation,-5.643819250759835
caramelisation,-5.501222965202119
caramelisation,-5.242859482629203
caramelisation,-4.954248659045232
caramelisation,-4.893435144310265
caramelisation,-4.582143743094013
caramelisation,-4.094495438364262
caramelisation,-3.7229060235427482
caramelisation,-3.678172405725604
caramelisation,-2.7561712461490573
caramelisation,-2.438051670880719
caramelisation,-2.274064916312261
