caramelisation,streptothricin
lungers,41.57328204793639
lungers,32.558784489251934
lungers,40.526991774233686
lungers,35.93409903296678
lungers,36.09011631163644
lungers,36.89006261304863
lungers,35.06826204403745
lungers,33.53515045110416
lungers,36.24126053420731
lungers,36.193233271106884
lungers,37.278961525293354
lungers,34.38829221568583
lungers,37.08486853007307
lungers,33.30369179353727
lungers,39.04058238925565
lungers,35.07165327526713
lungers,32.48942016946639
lungers,38.2520432407793
lungers,35.41453738182369
lungers,37.93580401077457
lungers,34.364146478300555
lungers,37.66116674345581
lungers,38.217603152385124
lungers,37.71729781419698
lungers,34.41808147518777
lungers,32.45917664584409
lungers,31.0756040536427
lungers,31.09944597383295
lungers,35.05800212626579
lungers,39.33357923912322
lungers,34.893302635667354
lungers,35.08047481341406
lungers,38.11361728910184
lungers,34.1365151709685
lungers,30.473454172456428
lungers,33.43568039419816
lungers,38.46349106108599
lungers,36.647055308082
lungers,35.05072760615457
lungers,37.743184767987096
lungers,34.27317551442222
lungers,32.80029670474952
lungers,36.2490372827673
lungers,37.12405114411118
lungers,34.745595733411875
lungers,35.52970992887304
lungers,37.20140060028013
lungers,32.95978215511172
lungers,35.13634580924044
lungers,30.067632106528933
lungers,37.082317711195195
lungers,36.833686320677046
lungers,37.203712796412866
lungers,39.75392836720415
lungers,33.897572573707436
lungers,31.4158359076579
lungers,38.20435248954467
lungers,33.25658139883218
lungers,36.549212107991664
lungers,35.983232479362066
lungers,40.51587261387506
lungers,39.44467611553737
lungers,37.49762842878887
lungers,35.26963821288643
lungers,34.227348521456044
lungers,35.279995659426866
lungers,35.27066087275268
lungers,32.58635193929173
lungers,36.53731008060988
lungers,37.9820556636078
lungers,39.72079374065878
lungers,38.219245855372776
lungers,37.82672029211744
lungers,32.652376965574646
lungers,33.14508667587514
lungers,36.83550730952069
lungers,37.29174760089672
lungers,35.4831033249866
lungers,35.48163294044755
lungers,32.970564813689215
lungers,34.188881889264216
lungers,34.54064819577092
lungers,33.333343543708274
lungers,37.671932435071575
lungers,35.928930805597886
lungers,36.369017686005186
lungers,34.9658780109744
lungers,36.81417576081183
lungers,40.32082348095503
lungers,31.72860471077097
lungers,35.809186581857105
lungers,33.482790308996115
cytopenias,33.02864346341879
cytopenias,28.6608506891148
cytopenias,33.59264916920167
cytopenias,29.906123688347666
cytopenias,32.220924926455965
cytopenias,29.020672798397037
cytopenias,29.344099641541685
cytopenias,34.124601405078025
cytopenias,33.522401164961295
cytopenias,33.89335219057598
cytopenias,29.77121894407734
cytopenias,33.67877168126844
cytopenias,30.73682630512817
cytopenias,30.801571826895163
cytopenias,31.659200283079713
cytopenias,34.18459682275043
cytopenias,34.28818919901935
cytopenias,32.649470496623344
cytopenias,34.87850050538978
cytopenias,37.14952236031526
cytopenias,39.996661776974825
cytopenias,26.89049489244647
cytopenias,26.96497941055166
cytopenias,34.73499503448356
cytopenias,27.408909852261125
cytopenias,33.674719258806135
cytopenias,33.459427240253916
cytopenias,35.80208400158417
cytopenias,34.2344656591371
cytopenias,33.38449169677892
cytopenias,28.1496704648296
cytopenias,34.02436450069365
cytopenias,34.33741520657982
cytopenias,35.458977932661014
cytopenias,36.21579742838046
cytopenias,31.973523721147
cytopenias,35.47519503866109
cytopenias,38.59422232514231
cytopenias,35.2128603344654
cytopenias,32.2584951046105
cytopenias,31.86948587221708
cytopenias,29.752102780383808
cytopenias,31.348774966653032
cytopenias,34.201718460194726
cytopenias,35.980835380644706
cytopenias,35.27421978758627
cytopenias,34.340744492642166
cytopenias,34.85358728450528
cytopenias,36.20221717373624
cytopenias,33.431311620546026
cytopenias,32.646953998773576
cytopenias,30.255769199976204
cytopenias,36.02297925711947
cytopenias,35.550074528215795
cytopenias,32.26810299996708
cytopenias,37.94120859474458
cytopenias,34.4989051221248
cytopenias,34.4344529805809
cytopenias,33.13626498793478
cytopenias,37.415863850546046
cytopenias,34.694914578823806
cytopenias,36.68395809372335
cytopenias,35.19272283995628
cytopenias,33.13066087418642
cytopenias,36.079213121901276
cytopenias,34.58405694437484
cytopenias,29.85521190610968
cytopenias,33.7956313862728
cytopenias,36.05060355840902
cytopenias,35.8936229448245
cytopenias,32.47698636370461
cytopenias,27.146927555241255
cytopenias,27.60119150065313
cytopenias,38.831881440710035
cytopenias,30.18790732590578
cytopenias,35.341682277694154
cytopenias,31.95050626163258
cytopenias,40.18838512455558
cytopenias,36.16728800280764
cytopenias,33.88975682300309
cytopenias,35.71286171742665
cytopenias,33.740647621709044
cytopenias,32.2094869534101
cytopenias,28.68948747098531
cytopenias,34.474832330747574
cytopenias,32.61161196962078
cytopenias,34.45103414071847
cytopenias,30.955040542876127
cytopenias,33.19001027206314
cytopenias,36.84301926674142
cytopenias,30.658710156387077
cytopenias,29.34802604773452
cytopenias,30.589413007671958
cytopenias,34.453642725648415
cytopenias,36.13425587044222
cytopenias,36.06309609364775
cytopenias,33.719243867658996
cytopenias,30.177350565166176
cytopenias,30.361517148574865
cytopenias,29.461872023180806
cytopenias,30.950763964727592
cytopenias,35.550171371545154
cytopenias,31.41775205494382
cytopenias,31.204790332160186
augment,29.476487470651566
augment,22.936704178138488
augment,29.31698654541874
augment,30.316416649160452
augment,28.722010599527728
augment,28.125894288254134
augment,28.56763098558956
augment,34.12633154329633
augment,29.64706631073754
augment,25.04693125446859
augment,30.833549911936924
augment,24.990936750379923
augment,26.072386052489637
augment,29.96697246509344
augment,38.85662366191908
augment,30.107525120887022
augment,26.538197330775503
augment,31.856124504337345
augment,29.17526470824298
