substitutes,Judaea
biblioclast,34.97085709603995
biblioclast,29.30917834816691
biblioclast,48.302619968677675
biblioclast,35.717305119571634
biblioclast,31.501787192808656
biblioclast,36.00772654505165
biblioclast,34.397052225919694
biblioclast,40.621085044456755
biblioclast,40.002112146357774
biblioclast,29.081278715336893
biblioclast,52.429795200439614
biblioclast,21.54935501597543
biblioclast,40.89556649966965
biblioclast,39.645128738958675
biblioclast,30.588247635522446
biblioclast,17.727735503817115
biblioclast,29.18967796143026
biblioclast,34.31586509325702
biblioclast,28.892764524058162
biblioclast,25.621920959681727
biblioclast,15.55566724053837
biblioclast,43.81106093540126
biblioclast,44.04305383965651
biblioclast,39.21524331012862
biblioclast,28.428311096803494
biblioclast,27.4535297613094
biblioclast,40.394183680631194
biblioclast,47.904467888943934
biblioclast,25.688915412147256
biblioclast,27.567744362943053
biblioclast,31.081008097263542
biblioclast,33.70430855781958
biblioclast,35.65851052338761
biblioclast,36.046214091643726
biblioclast,50.273746505166756
biblioclast,33.083912352172504
biblioclast,25.43088332379437
biblioclast,32.82092712214131
biblioclast,38.347068934882316
biblioclast,47.83916822788727
biblioclast,33.24688061214827
biblioclast,34.9485972608371
biblioclast,49.18145011581044
biblioclast,29.555070080465992
biblioclast,37.96667966250153
biblioclast,30.125334959271093
biblioclast,37.329639133477805
biblioclast,15.07019082152134
biblioclast,27.06683989797465
biblioclast,33.06414090456227
biblioclast,28.790569629766974
biblioclast,31.57797292203213
biblioclast,32.51755208040181
biblioclast,32.98943086615799
biblioclast,32.771614587848376
biblioclast,28.92836858564474
biblioclast,23.58326491394309
biblioclast,37.92773655297959
biblioclast,31.0459242024951
biblioclast,22.62204005579637
biblioclast,52.20529284798994
biblioclast,14.287002529995192
biblioclast,29.88528795023582
biblioclast,34.447644808418744
biblioclast,37.39145153340088
biblioclast,38.34809098027877
biblioclast,32.794075037716965
biblioclast,15.991150968583938
biblioclast,39.488988113606624
biblioclast,36.73449860854842
biblioclast,34.415012885750464
biblioclast,30.78818887102882
biblioclast,28.303979006022765
biblioclast,32.527917525940914
biblioclast,33.91277225415584
biblioclast,23.211877433125125
biblioclast,31.447671060092283
biblioclast,32.18716478114323
biblioclast,25.251935697732215
biblioclast,44.74167795271541
biblioclast,35.377559170091274
biblioclast,35.18925493636964
biblioclast,35.98098941305504
biblioclast,32.10152963445699
biblioclast,31.18355860041444
biblioclast,25.343872094208105
biblioclast,38.79428941145849
biblioclast,29.524931878970243
biblioclast,25.9832957022804
biblioclast,24.814377454348552
biblioclast,32.28396139580396
biblioclast,22.607706548823284
biblioclast,33.31063599118649
biblioclast,34.33549873001023
biblioclast,32.765730493226854
biblioclast,22.374087576478914
biblioclast,40.25102456968975
biblioclast,47.463759944626105
biblioclast,24.03157527430335
biblioclast,20.047090590849066
biblioclast,28.07700734043688
biblioclast,44.97609657862183
biblioclast,34.81449755751318
biblioclast,31.176987588210828
biblioclast,29.86498748124455
biblioclast,34.5244334430646
dissection,36.88088199514718
dissection,42.73778785769764
dissection,44.85771804291387
dissection,30.356347932591966
dissection,41.101740424676656
dissection,34.60724720735645
dissection,44.15768567991529
dissection,37.038058699300954
dissection,40.28493669771235
dissection,15.671314961426003
dissection,25.325424574113214
dissection,41.93358097245006
dissection,34.23771713672497
dissection,41.341570255004456
dissection,32.38896554464163
dissection,29.800192843202428
dissection,32.12502793783879
dissection,35.601539730350396
dissection,28.43063296713764
dissection,30.49070124185633
dissection,44.24978601870915
dissection,49.639693537170714
dissection,43.88103860393285
dissection,44.540752714828486
dissection,34.73073593385035
dissection,38.78024899373264
dissection,38.025228658584446
dissection,48.5261511042498
dissection,28.23843604856105
dissection,33.757246168590555
dissection,40.2880329861861
dissection,26.500414119695115
dissection,50.665565614601206
dissection,28.551214771224082
dissection,37.030703518796805
dissection,39.50897143538989
dissection,30.148719069870875
dissection,24.20330205999325
dissection,39.789213792851385
dissection,38.622804403626006
dissection,29.1202753253611
dissection,38.286395872517446
dissection,39.404342845955824
dissection,35.53567861983814
dissection,30.08002255162742
dissection,38.50954246668699
dissection,35.92440570832203
dissection,38.45201341405995
dissection,18.401976667220296
dissection,29.16281044756722
dissection,25.72326457361458
dissection,45.0444611370697
dissection,32.553246458539796
dissection,37.225562366895026
dissection,44.41763496489121
dissection,35.32604282131973
dissection,39.58665778434381
dissection,30.13730760502809
dissection,30.15105223158496
dissection,32.32943200489965
dissection,34.27362621282602
dissection,47.782972310402556
dissection,41.550406038123256
dissection,33.1927448330135
dissection,43.0326292394995
dissection,33.69563520442018
dissection,46.68989064555355
dissection,42.236143106855366
dissection,39.924852909723214
dissection,33.47610811116789
dissection,27.749345014063042
dissection,34.399888166023096
dissection,45.54474856611503
dissection,41.48949717712267
dissection,43.34646031116246
dissection,32.296484422985785
dissection,33.458944077446965
dissection,41.092142455945314
dissection,29.260021021040266
dissection,22.8993179320862
dissection,39.134042150365666
dissection,36.99467172283357
dissection,48.28583118742007
dissection,29.545192043438803
dissection,34.91850840073147
dissection,42.53907932338938
dissection,40.47807918950254
dissection,40.62145894804532
dissection,35.7997465430788
dissection,43.07591697969017
dissection,45.40409330122337
dissection,41.93527944428048
dissection,46.058528926755045
dissection,44.23759899665616
dissection,28.887022528979415
dissection,29.12110852582662
dissection,29.36581802823272
dissection,31.54938847860857
dissection,30.221068263151043
dissection,28.90531169666945
dissection,43.00612424580817
dissection,44.62658182779587
dissection,40.03922637921906
dissection,52.24667898974565
effacement,25.539023304603695
effacement,20.056245104384555
effacement,31.29847872495213
effacement,9.3077840694183
effacement,31.90223284700555
effacement,22.209306522121274
effacement,31.062086848891347
effacement,21.5544340406384
effacement,23.212529340227032
effacement,30.808844361223475
effacement,32.008648544189434
effacement,33.99954654590268
effacement,24.67219511623622
effacement,26.586480169465972
effacement,33.09286042923011
effacement,36.02109736038779
effacement,30.305216381769238
effacement,31.2101203528119
effacement,20.02907596991001
effacement,22.98261231536192
effacement,27.698983289360328
effacement,42.39773785654413
effacement,14.508739477595372
effacement,28.68337596107289
effacement,27.173106729402754
effacement,15.63736331841177
effacement,35.73638230826143
effacement,17.213176660937215
effacement,31.17987093597316
effacement,33.765021407390265
effacement,33.934929933377965
effacement,29.302106481840813
effacement,16.741658263956396
effacement,29.075274551933703
effacement,24.6704208811532
effacement,26.671588565517908
effacement,37.16989954932919
effacement,19.399277494434465
effacement,14.427025846225712
effacement,17.265622836326386
effacement,6.3751981533456075
effacement,23.96594549873375
effacement,18.208401266421834
effacement,19.902049323789125
effacement,21.26309486020017
effacement,23.140617434369645
effacement,28.66812129758174
effacement,18.92756571573826
effacement,26.521729543797985
effacement,37.32661023299482
effacement,18.701976126681163
effacement,11.66475416904586
effacement,24.68235137091082
effacement,32.33269352292414
effacement,23.03092679193443
effacement,31.8441342209035
effacement,26.810672587057415
effacement,33.03432954989739
effacement,34.98287842228794
effacement,18.757350397626126
effacement,11.03244723513619
effacement,42.45166468791727
effacement,20.32866685262606
effacement,18.048036122724852
effacement,26.71230955790456
effacement,20.545379851869686
effacement,14.485004079954553
effacement,43.33598605925576
effacement,14.724627835744547
effacement,18.88631220424095
effacement,34.15962666299791
effacement,28.443706732386712
effacement,29.232511493794597
effacement,21.71934232307509
effacement,21.176825039729202
effacement,19.6750137902835
effacement,15.584340484987035
effacement,23.387813891393456
effacement,29.288581706824445
effacement,30.809938871476806
effacement,35.85216486852512
effacement,26.888249655421728
effacement,27.62777286609309
effacement,34.021945566368174
effacement,26.651436628217823
effacement,46.38079982668084
effacement,28.83528109271822
effacement,8.121946162440423
effacement,22.33552686848671
effacement,31.453451961705795
effacement,20.594111994117668
effacement,27.966187285623374
effacement,21.972549135918296
effacement,33.14955417005793
effacement,32.77086228193219
cytopenias,33.696465951293476
cytopenias,27.041707990491734
cytopenias,24.07187273657703
cytopenias,36.29072876022907
cytopenias,29.491297373861205
cytopenias,35.91087944172595
cytopenias,24.172486020522616
cytopenias,37.80512282508386
cytopenias,25.231442414815213
cytopenias,28.879806741216854
cytopenias,18.48489478091441
cytopenias,35.31540721715619
cytopenias,24.59694914639474
cytopenias,31.108964008376002
cytopenias,25.968578030930374
cytopenias,31.623561046380008
cytopenias,26.939450177320644
cytopenias,37.781012807791456
cytopenias,20.0139394005527
cytopenias,29.737502855124053
cytopenias,17.028416370189767
cytopenias,25.489318970351693
cytopenias,39.41210524923035
cytopenias,25.907310027722193
cytopenias,32.871872338007904
cytopenias,31.02565223807604
