value,label
192.01999999999998,mastiffs
253.48000000000002,mastiffs
225.5,mastiffs
197.13,mastiffs
188.09,mastiffs
220.35000000000002,mastiffs
206.45000000000002,mastiffs
205.43,mastiffs
189.08,mastiffs
206.78,mastiffs
216.04,mastiffs
242.66,mastiffs
173.42,mastiffs
183.92,mastiffs
207.45,mastiffs
201.54,mastiffs
184.79999999999998,mastiffs
226.22,mastiffs
204.8,mastiffs
152.82,mastiffs
225.19,mastiffs
207.56,mastiffs
208.05,mastiffs
215.42000000000002,mastiffs
182.79000000000002,mastiffs
179.17,mastiffs
257.15,mastiffs
185.17999999999998,mastiffs
183.36,mastiffs
215.04,mastiffs
207.26999999999998,mastiffs
196.57999999999998,mastiffs
217.28,mastiffs
183.89999999999998,mastiffs
208.76,mastiffs
202.98,mastiffs
238.17000000000002,mastiffs
195.3,mastiffs
221.76000000000002,mastiffs
253.82,mastiffs
207.37,mastiffs
188.91,mastiffs
205.4,mastiffs
213.14000000000001,mastiffs
241.14,mastiffs
210.42000000000002,mastiffs
195.41,mastiffs
232.37,mastiffs
195.54,mastiffs
236.11,mastiffs
184.66,mastiffs
217.96,mastiffs
198.64,mastiffs
259.67,mastiffs
185.05,mastiffs
215.75,mastiffs
195.79,mastiffs
200.57,mastiffs
185.0,mastiffs
227.85000000000002,mastiffs
229.71,mastiffs
207.03,mastiffs
156.37,mastiffs
201.96,mastiffs
210.19,mastiffs
206.78,mastiffs
213.51999999999998,mastiffs
207.8,mastiffs
221.3,mastiffs
208.42000000000002,mastiffs
223.93,mastiffs
199.44,mastiffs
156.6,mastiffs
220.92000000000002,mastiffs
213.63,mastiffs
197.57000000000002,mastiffs
183.14000000000001,mastiffs
218.20000000000002,mastiffs
207.2,mastiffs
230.69,mastiffs
218.04999999999998,mastiffs
217.85000000000002,mastiffs
191.3,mastiffs
228.19,mastiffs
204.85,mastiffs
207.53,mastiffs
215.01999999999998,mastiffs
175.04,mastiffs
193.91,mastiffs
204.39,mastiffs
193.28,mastiffs
200.60999999999999,mastiffs
199.11,mastiffs
270.0,mastiffs
159.89,mastiffs
170.64000000000001,mastiffs
200.97,mastiffs
195.51,mastiffs
192.99,mastiffs
205.92,mastiffs
237.05,mastiffs
234.19,mastiffs
213.06,mastiffs
220.69,mastiffs
241.94,mastiffs
190.39,mastiffs
225.23000000000002,mastiffs
200.16,mastiffs
263.31,mastiffs
190.25,mastiffs
225.75,mastiffs
211.38,mastiffs
174.19,mastiffs
175.23000000000002,mastiffs
215.56,mastiffs
264.64,mastiffs
225.16,mastiffs
189.76,mastiffs
206.76,mastiffs
214.7,mastiffs
246.04000000000002,mastiffs
167.42,mastiffs
210.16,mastiffs
233.2,mastiffs
103.6,filibusters
98.61,filibusters
87.11,filibusters
82.66000000000001,filibusters
129.27,filibusters
74.88,filibusters
106.05,filibusters
99.33,filibusters
105.05,filibusters
101.50999999999999,filibusters
95.28,filibusters
121.1,filibusters
105.72999999999999,filibusters
118.14,filibusters
105.88000000000001,filibusters
102.00999999999999,filibusters
110.85,filibusters
120.14,filibusters
90.24,filibusters
108.80000000000001,filibusters
137.06,filibusters
101.52000000000001,filibusters
93.27000000000001,filibusters
121.93,filibusters
121.53999999999999,filibusters
118.58000000000001,filibusters
137.44,filibusters
118.28,filibusters
130.41,filibusters
115.31,filibusters
114.46,filibusters
94.57000000000001,filibusters
113.65,filibusters
93.2,filibusters
102.9,filibusters
130.16,filibusters
111.1,filibusters
109.13,filibusters
99.99000000000001,filibusters
128.35999999999999,filibusters
129.64,filibusters
104.47,filibusters
79.80000000000001,filibusters
117.94000000000001,filibusters
105.45,filibusters
113.47,filibusters
81.47,filibusters
126.98,filibusters
95.69,filibusters
142.91,filibusters
93.78,filibusters
133.4,filibusters
110.98,filibusters
105.24,filibusters
112.56,filibusters
119.37,filibusters
115.76,filibusters
121.17,filibusters
103.98,filibusters
122.24,filibusters
