mastiffs\augment,snowlines,rhomboids,caramelisation,effacement,cytopenias,biblioclast
-7,101.65445204449283,82.40232138422776,101.06336541209882,101.23006584565296,91.31354560186895,84.09120324254184
-6,101.71195404378712,98.56636620870822,102.20578770779733,89.45876949137455,89.37726014063121,109.12341832579276
-5,95.38800091377334,95.4419981161129,108.1029219661268,99.52064161093782,104.65250508667822,80.88300582877089
-4,103.51280612211347,89.90005634564922,104.30564286129,98.8278390528784,91.1900868441948,91.14758079228781
-3,94.84412796818216,83.73224532366268,120.4164194051641,98.70290861895023,98.97349265340222,97.19321083735865
-2,97.87555888670805,85.72718701734237,113.3468260062682,98.21495133702814,101.7955928037486,99.5921896873211
-1,113.06627458370366,84.83082310926926,113.56656947666681,90.46813847891758,73.51706063323556,87.0025052280039
0,99.49342988638968,84.36317381804403,106.09439282237167,96.00830349571338,109.11059641200296,94.40077258327341
1,98.30236815757291,78.31006776487834,97.72985553477484,80.39241780158596,95.39377767729285,91.12750962269943
2,89.97897568721223,88.90388596102402,98.77061239609384,98.72217818752823,105.71564811226291,88.79752728470238
