bull-tongue,augment
mastiffs,42.53952737859663
mastiffs,25.349458061147118
mastiffs,35.726083928080676
mastiffs,23.55947673513712
mastiffs,42.54225591408049
mastiffs,28.210583729979433
mastiffs,42.56589279191019
mastiffs,33.5404251932632
mastiffs,28.962601400631932
mastiffs,26.493277168179166
mastiffs,35.6464126771002
mastiffs,26.70410286434761
mastiffs,36.95094093342428
mastiffs,22.49635733865059
mastiffs,38.55623759322873
mastiffs,42.15532271611979
mastiffs,39.950811976499224
mastiffs,26.26688388211656
mastiffs,49.88006553186678
mastiffs,30.83986955247107
mastiffs,30.70361812251337
mastiffs,43.518420197326506
mastiffs,40.06181569424288
mastiffs,27.50192244260877
mastiffs,31.851449970581562
mastiffs,39.09818735334947
mastiffs,29.183938961210874
mastiffs,40.700363334700235
mastiffs,28.747273304291394
mastiffs,31.44370481601649
mastiffs,31.60069356153156
mastiffs,41.2671806907347
mastiffs,26.11285515147535
mastiffs,35.083036015116434
mastiffs,36.23132518837304
mastiffs,31.763368342127574
mastiffs,32.16206904966004
mastiffs,27.298920269256044
mastiffs,40.66102294592114
mastiffs,41.15712013356557
mastiffs,31.493501314288324
mastiffs,45.21840712887732
mastiffs,30.303378449740777
mastiffs,41.78276843537604
mastiffs,34.789952382504474
mastiffs,41.423297468949066
mastiffs,44.27111702021407
mastiffs,39.01450909410485
mastiffs,37.11698224964661
mastiffs,40.21482286617863
mastiffs,30.45719902502575
mastiffs,42.14761019054264
mastiffs,32.65283030242944
mastiffs,37.78069424191167
mastiffs,37.25589741801904
mastiffs,40.64110346668294
mastiffs,32.96398304073218
mastiffs,41.35445775055201
mastiffs,40.31331124284628
mastiffs,32.56873346799605
mastiffs,27.282167173592807
mastiffs,32.92603098283691
mastiffs,43.81801529049036
mastiffs,37.086515846937765
mastiffs,30.5487014221229
mastiffs,37.177543168261415
mastiffs,39.012057686928934
mastiffs,35.35957898594016
mastiffs,41.69431510842867
mastiffs,23.138172215116633
mastiffs,33.96687446260872
mastiffs,33.33541607250017
mastiffs,28.355624927443387
mastiffs,52.18425062700966
mastiffs,28.91850932549336
mastiffs,26.81127554524977
mastiffs,44.52470617942766
mastiffs,37.90707949038015
mastiffs,30.50961255721871
mastiffs,23.18039686807292
mastiffs,35.477699660755455
mastiffs,42.33283467312683
mastiffs,31.706631388585894
mastiffs,38.48437722050647
mastiffs,40.81388208041789
mastiffs,42.290903145003654
mastiffs,29.79141831145153
mastiffs,35.7977174982463
mastiffs,32.78382686089843
mastiffs,40.77817756666452
mastiffs,32.14783699412921
mastiffs,38.99208866144905
mastiffs,43.65898414786305
mastiffs,45.16724808258772
mastiffs,34.517589219446826
mastiffs,38.77095313275957
mastiffs,38.52913901543677
mastiffs,31.60641589788238
mastiffs,33.96506532467576
mastiffs,33.788187337803365
fluor-spar,50.643834179366536
fluor-spar,60.00576599868376
fluor-spar,46.518323663617714
fluor-spar,41.13083036764243
fluor-spar,53.76414390208301
fluor-spar,39.458568915739214
fluor-spar,49.11753849469527
fluor-spar,46.988103160751336
fluor-spar,49.19298510002098
fluor-spar,41.517878785517404
fluor-spar,46.17425476045641
fluor-spar,42.05644158678799
fluor-spar,56.0490414309332
fluor-spar,44.59688277436711
fluor-spar,37.4717226925773
fluor-spar,51.41712284854787
fluor-spar,56.56430124787008
fluor-spar,50.757269904619235
fluor-spar,44.177835614939546
fluor-spar,42.303941946919196
fluor-spar,41.49517943139038
fluor-spar,48.01985829935696
fluor-spar,45.83505395284539
fluor-spar,38.88300443730972
fluor-spar,40.08679408508011
fluor-spar,52.481925846882575
fluor-spar,47.02709005989322
fluor-spar,54.08346312982886
fluor-spar,54.01434156933421
fluor-spar,56.34811629331245
fluor-spar,43.24467748282829
fluor-spar,40.89913632053974
fluor-spar,45.727254283662006
fluor-spar,50.13967075251054
fluor-spar,44.0414791200971
fluor-spar,48.68817444283011
fluor-spar,64.10926221322731
fluor-spar,35.27114823474974
fluor-spar,49.454215248314995
fluor-spar,39.955583677800924
fluor-spar,53.03279584123314
fluor-spar,49.434232293265566
fluor-spar,50.92902357006253
fluor-spar,44.44256354624662
fluor-spar,59.460878679165205
fluor-spar,53.07422975882455
fluor-spar,38.87262110766993
fluor-spar,51.08215132896182
fluor-spar,43.20849952774928
fluor-spar,51.20157816926069
fluor-spar,50.37145325798706
fluor-spar,51.021258940323854
fluor-spar,45.79603169032606
fluor-spar,54.36273070865262
fluor-spar,47.219467919277704
fluor-spar,43.481189727616396
fluor-spar,41.61722820195656
fluor-spar,44.66459389653246
fluor-spar,46.729437439631
fluor-spar,44.34060043629072
fluor-spar,50.67227035392212
fluor-spar,41.33620748260476
fluor-spar,52.52319008898824
fluor-spar,51.60762362138723
fluor-spar,42.36174954189146
fluor-spar,43.557839859441415
fluor-spar,36.18034293257776
fluor-spar,42.65281769864592
fluor-spar,37.08050825786398
fluor-spar,48.67616554094674
fluor-spar,42.18482461994341
fluor-spar,48.235782414278106
fluor-spar,51.52058316772364
fluor-spar,46.318704125365294
fluor-spar,53.43229040689871
fluor-spar,34.66245839487041
fluor-spar,51.10907992009517
fluor-spar,37.69306899262513
fluor-spar,60.61927234869495
fluor-spar,61.33751590614577
fluor-spar,45.90289812623963
fluor-spar,39.92932196520982
fluor-spar,40.75392583284998
fluor-spar,39.58536070910811
fluor-spar,60.83432314479748
fluor-spar,45.94850455521546
fluor-spar,55.54928919305233
fluor-spar,49.8964578809671
fluor-spar,44.4593737932609
fluor-spar,47.37965034057062
fluor-spar,56.05676637581877
