augment,Judaea
mastiffs,81.70702407635491
mastiffs,83.51795536753062
mastiffs,83.82157823149647
mastiffs,75.39583999570198
mastiffs,89.55589805841032
mastiffs,84.9977558044707
mastiffs,85.8708791387595
mastiffs,83.15862558274745
mastiffs,77.42453443112414
mastiffs,87.32722709898364
mastiffs,79.1621927454056
mastiffs,81.99892368123568
mastiffs,82.57083222453294
mastiffs,65.58169928646204
mastiffs,74.04195743560898
mastiffs,88.39544028319617
mastiffs,79.48163833347584
mastiffs,95.5119116617848
mastiffs,87.77980046578007
mastiffs,81.01154514440779
mastiffs,96.47240121414552
mastiffs,88.53645185375902
mastiffs,92.68061980629037
mastiffs,92.65242641210885
mastiffs,85.74500276082883
mastiffs,86.55059178262056
mastiffs,82.44194394444823
mastiffs,97.03535857416085
mastiffs,79.0399011677065
mastiffs,74.27008877954485
mastiffs,91.84753698811906
mastiffs,91.28557327054396
mastiffs,81.7912318050542
mastiffs,81.74081700233839
mastiffs,82.09449204578968
mastiffs,81.94534918819046
mastiffs,85.02718647133237
mastiffs,78.56543863618448
mastiffs,86.20465942639653
mastiffs,86.61593139284774
mastiffs,82.18303709672622
mastiffs,92.86667774197252
mastiffs,89.72426733568497
mastiffs,82.3114696197181
mastiffs,83.84863790679498
mastiffs,85.5328845249922
mastiffs,88.37881639882501
mastiffs,88.2894369869389
mastiffs,78.96315606657177
mastiffs,95.88894747071873
mastiffs,78.27238466087253
mastiffs,94.17636443816095
mastiffs,86.80881855269135
mastiffs,78.91100850556514
mastiffs,91.04295076421461
mastiffs,85.41131698711375
mastiffs,85.7664454984193
mastiffs,95.3878069042788
mastiffs,83.62105958346613
mastiffs,94.76772515062777
mastiffs,92.919682400952
mastiffs,87.1027130119584
mastiffs,88.99840504902055
mastiffs,92.83697588103738
mastiffs,94.51542701528771
mastiffs,88.9441892304239
mastiffs,73.72810948374402
mastiffs,81.74939396679727
mastiffs,98.57639583258756
mastiffs,90.40385398701748
mastiffs,82.33714122396321
mastiffs,101.51936619006229
mastiffs,80.75674200422857
mastiffs,91.37665136050092
mastiffs,87.4753994779699
mastiffs,87.69927968074613
mastiffs,88.31182101687916
mastiffs,88.90038766342103
mastiffs,77.49553067798723
mastiffs,83.11842400847914
mastiffs,84.83312825174413
mastiffs,98.40347341969972
mastiffs,88.54010950871616
mastiffs,89.57727882106511
mastiffs,97.704787718009
mastiffs,91.77618829249077
mastiffs,88.25669958043429
mastiffs,84.22187549245405
mastiffs,81.55387241444885
mastiffs,82.63178631499851
mastiffs,80.47727995170213
perennibranch,90.54672137919279
perennibranch,81.52126267570195
perennibranch,82.44813678941117
perennibranch,88.392592056107
perennibranch,100.67970315694316
perennibranch,85.86742844531851
perennibranch,88.65687358188765
perennibranch,94.68369228849113
perennibranch,90.4067766824366
perennibranch,84.57602682438605
perennibranch,91.1459561538115
perennibranch,86.78004875539894
perennibranch,90.4625987707825
perennibranch,93.81176011300155
perennibranch,86.40487929249213
perennibranch,105.17685427785142
perennibranch,93.74528146016644
perennibranch,89.08492308531177
perennibranch,96.41779852858875
perennibranch,88.5119095221768
perennibranch,93.08480160363392
perennibranch,109.30416673462763
perennibranch,89.87938380794661
perennibranch,85.33374835131248
perennibranch,88.96792890353876
perennibranch,88.91376262279742
perennibranch,87.99935980540455
perennibranch,87.77146888076534
perennibranch,90.60144920300317
perennibranch,96.24213191970873
perennibranch,89.39795115601427
perennibranch,92.6888182414068
perennibranch,104.22907981711062
perennibranch,95.55993099456424
perennibranch,88.98852957896025
perennibranch,85.79678282169102
perennibranch,96.82464965072857
perennibranch,89.36197340232745
perennibranch,96.58500810811834
perennibranch,91.53992349427021
perennibranch,93.85103758105114
perennibranch,85.9519679614067
perennibranch,97.12226479092006
perennibranch,99.31768420892433
perennibranch,79.72839418295516
perennibranch,92.68297805771633
perennibranch,87.58061684586787
perennibranch,97.87606312899959
perennibranch,99.33593284106789
perennibranch,93.89313554764665
perennibranch,77.4104063957115
perennibranch,96.97664443379965
perennibranch,91.02696142094533
perennibranch,87.5706586599964
perennibranch,80.36506099589624
perennibranch,91.13129353801773
perennibranch,90.57003365679375
perennibranch,94.88778253811722
perennibranch,94.0462923940051
perennibranch,85.98143980499555
perennibranch,97.87045683566096
perennibranch,91.75929878363692
perennibranch,78.34883112121794
perennibranch,85.02439469209212
perennibranch,96.70575285008336
perennibranch,86.06312722565258
perennibranch,103.10924000145275
perennibranch,80.61962861036169
perennibranch,96.52273883736139
perennibranch,89.8783672426891
perennibranch,74.53353588454705
perennibranch,82.47975778648458
perennibranch,96.58827425465907
perennibranch,90.22500534308708
perennibranch,86.80637155591863
perennibranch,98.20479862395388
perennibranch,82.17970637550522
perennibranch,101.4385410177266
perennibranch,76.10254531157877
perennibranch,86.40623724961121
perennibranch,93.58017543724226
perennibranch,85.98798714489388
perennibranch,90.23094065025383
perennibranch,89.61162193969751
perennibranch,94.98753452683366
perennibranch,94.1688701444123
perennibranch,87.1703985658265
perennibranch,94.88698217794305
perennibranch,88.03778014486986
perennibranch,88.32451766319208
perennibranch,71.56086115801531
perennibranch,89.82694860419964
azithromycin,89.13694195070725
azithromycin,94.6498429371041
azithromycin,84.98957852085451
azithromycin,93.37149311026019
azithromycin,97.19684420452965
azithromycin,95.50670177245004
azithromycin,105.14754387900904
azithromycin,96.67372718989041
azithromycin,95.66030164508246
azithromycin,91.8004019277319
azithromycin,99.56941603450544
azithromycin,91.25561593005813
azithromycin,94.93629855609777
azithromycin,102.57700509137915
azithromycin,93.35629716930717
azithromycin,101.69672194068897
