value,label
107.98,cytopenias
132.88,cytopenias
116.84,cytopenias
122.17,cytopenias
106.46,cytopenias
128.91,cytopenias
127.86,cytopenias
113.55,cytopenias
131.12,cytopenias
133.31,cytopenias
146.84,cytopenias
131.88,cytopenias
143.53,cytopenias
116.97,cytopenias
119.98,cytopenias
121.35,cytopenias
120.33,cytopenias
131.02,cytopenias
123.45,cytopenias
121.89,cytopenias
122.5,cytopenias
122.92,cytopenias
118.96,cytopenias
129.48,cytopenias
118.52000000000001,cytopenias
131.25,cytopenias
113.25,cytopenias
126.89,cytopenias
133.71,cytopenias
145.35,cytopenias
112.27,cytopenias
128.61,cytopenias
115.33,cytopenias
130.09,cytopenias
134.22,cytopenias
117.07000000000001,cytopenias
126.47999999999999,cytopenias
133.86,cytopenias
124.86,cytopenias
128.3,cytopenias
121.09,cytopenias
124.69,cytopenias
135.15,cytopenias
102.52,cytopenias
126.25,cytopenias
126.05,cytopenias
120.87,cytopenias
126.49000000000001,cytopenias
117.25,cytopenias
110.54,cytopenias
138.53,cytopenias
120.14,cytopenias
115.38,cytopenias
130.45,cytopenias
113.68,cytopenias
131.12,cytopenias
112.63,cytopenias
124.74000000000001,cytopenias
120.46000000000001,cytopenias
136.41,cytopenias
123.86,cytopenias
148.3,cytopenias
136.98,cytopenias
102.68,cytopenias
124.71000000000001,cytopenias
126.11999999999999,cytopenias
113.19,cytopenias
138.87,cytopenias
129.51,cytopenias
117.19,cytopenias
130.15,cytopenias
106.32000000000001,cytopenias
145.38,cytopenias
112.72,cytopenias
119.62,cytopenias
133.46,cytopenias
130.87,cytopenias
138.34,cytopenias
107.53,cytopenias
134.71,cytopenias
118.57000000000001,cytopenias
133.54,cytopenias
129.77,cytopenias
132.16,cytopenias
133.01,cytopenias
122.59,cytopenias
120.61,cytopenias
115.67999999999999,cytopenias
120.21000000000001,cytopenias
137.51999999999998,cytopenias
123.14,cytopenias
124.49000000000001,cytopenias
124.25,cytopenias
131.22,cytopenias
112.91999999999999,cytopenias
116.78,cytopenias
131.0,cytopenias
117.92,cytopenias
116.86,cytopenias
125.11,cytopenias
122.97,cytopenias
127.24000000000001,cytopenias
119.99,cytopenias
116.87,cytopenias
124.28,cytopenias
117.75,cytopenias
118.29,cytopenias
138.41,cytopenias
117.73,cytopenias
129.07,cytopenias
121.7,cytopenias
128.92,cytopenias
116.16,cytopenias
142.28,cytopenias
137.25,cytopenias
115.77,cytopenias
117.25,cytopenias
129.84,cytopenias
141.44,cytopenias
141.1,cytopenias
108.39,cytopenias
114.36,cytopenias
112.14,cytopenias
108.63,cytopenias
120.36,cytopenias
82.65,dissection
90.97,dissection
71.75,dissection
80.78,dissection
77.74000000000001,dissection
73.49000000000001,dissection
82.59,dissection
86.28,dissection
75.46000000000001,dissection
85.33,dissection
87.26,dissection
83.42,dissection
93.66,dissection
82.78,dissection
96.06,dissection
