Judaea,dissection
lungers,-8.903747755712882
lungers,-8.360559472676409
lungers,-7.250720079952125
lungers,-7.035466209565407
lungers,-6.145185316849905
lungers,-6.0666268436519815
lungers,-5.944807505825565
lungers,-5.841379807616433
lungers,-5.575876946754992
lungers,-5.516167416981297
lungers,-5.37210471447531
lungers,-5.144470910575926
lungers,-5.123926574321359
lungers,-4.755814664077865
lungers,-4.630476158301346
lungers,-4.508903419892737
lungers,-4.473887266316454
lungers,-4.188630871762431
lungers,-4.142788672507634
lungers,-4.082514849688604
lungers,-3.879171654822244
lungers,-3.8398027268684136
lungers,-3.7786364373506447
lungers,-3.75026796835279
lungers,-3.5999923117080996
lungers,-3.3521381319827586
lungers,-2.843009191948277
lungers,-2.6833299704314157
lungers,-2.6791024181316234
lungers,-2.5949720191769465
lungers,-2.5074206771328047
lungers,-2.434735134478426
lungers,-2.289325365485596
lungers,-2.005889401490249
lungers,-1.9455316549397423
lungers,-1.9385134284429173
lungers,-1.9366325244619345
lungers,-1.806193736338204
lungers,-1.8004029394897885
lungers,-1.7967007374114539
lungers,-1.6865543496623716
lungers,-1.579300010294825
lungers,-1.5692805749851795
lungers,-1.5247099125535395
lungers,-1.5229302135234881
lungers,-1.3602149504559728
lungers,-1.2445385063006362
lungers,-1.2191710618837688
lungers,-0.8116478894323091
lungers,-0.7772115578831386
lungers,-0.6062597032610847
lungers,-0.40167383816446817
lungers,-0.37741926119307884
lungers,-0.3585814024944962
lungers,-0.2617889434643014
lungers,-0.11000312142304487
lungers,-0.07703390824476399
lungers,0.06824120075711955
lungers,0.23276474699866836
lungers,0.26992873844387105
lungers,0.437337670601015
lungers,0.6288257542046943
lungers,0.6965360257027731
lungers,0.7403406820552327
lungers,0.7583616135976539
lungers,0.7721754560474554
lungers,0.818484130324556
lungers,1.1118739250552128
lungers,1.3864525905850436
lungers,1.7864445144861691
lungers,1.7883716827228382
lungers,1.8898754583094526
lungers,2.1727468274856996
lungers,2.983567633875931
lungers,3.053111999940978
lungers,3.1689847597688163
lungers,3.2413641860362494
lungers,3.2677430888941656
lungers,3.581657662355685
lungers,4.1847894340041405
lungers,4.8786074904080206
