rhomboids,cytopenias
effacement,100.04031031738025
effacement,105.98968310376931
effacement,112.87397252311975
effacement,113.41004428996112
effacement,90.15644340143646
effacement,110.2356040767863
effacement,119.96973416659068
effacement,107.10870123358193
effacement,105.49893904853002
effacement,110.67832530915751
effacement,104.78894392038906
effacement,93.24788334249295
effacement,101.41284019651836
effacement,99.11049315453327
effacement,95.78326604462771
effacement,107.2203995706411
effacement,106.85547232879037
effacement,104.92003079790778
effacement,119.498509781998
effacement,108.97976955420063
effacement,97.22877230963195
effacement,115.3342874445975
effacement,104.09846226046369
effacement,109.10525581624945
effacement,109.7697358990141
effacement,107.74330079922964
effacement,105.79936547305059
effacement,83.68865279771725
effacement,109.53918208010208
effacement,91.80103706545857
effacement,99.39349956619371
effacement,93.70376593333431
effacement,101.586061127892
effacement,110.97571439772332
effacement,103.23879503387029
effacement,106.58377417607915
effacement,117.00621863931845
effacement,91.40665690229727
effacement,117.74336440164595
effacement,113.28364877231859
effacement,105.71049820913238
effacement,113.7995801230528
effacement,89.40483148461166
effacement,113.20665844938028
effacement,101.26754933306773
effacement,97.44180693912546
effacement,94.4730494580699
effacement,105.10668105602426
effacement,108.90184274903336
effacement,113.68054226012441
effacement,117.29828213356433
effacement,101.57831164758633
effacement,107.5574290855284
effacement,102.97881087077306
effacement,88.79973262453149
effacement,119.7182742017591
effacement,112.54633657599152
effacement,103.73853639608102
effacement,110.38301563340524
effacement,111.17945284697971
effacement,109.9065378830082
effacement,92.70613103848362
effacement,119.06805037462604
effacement,108.96483275145941
effacement,103.13486793240668
effacement,108.77292465957413
effacement,102.20424847396711
effacement,94.9013545787007
effacement,115.5867499345632
effacement,98.09749254545198
effacement,122.35040619458245
effacement,106.10279006140337
effacement,117.5390707848597
effacement,107.44945887018064
effacement,112.74735398040207
effacement,125.66200442829275
effacement,104.35332955368041
effacement,112.95986003308106
effacement,110.08686780397949
effacement,104.53095519763961
effacement,104.28767306062232
effacement,104.99992121965592
effacement,113.45526221085407
effacement,106.55752396194941
effacement,132.2746942742898
effacement,96.33467523928233
effacement,107.35186713209936
effacement,107.79210141167377
effacement,110.6861575494227
effacement,110.4074267823448
effacement,109.80257499888705
effacement,130.10687855289243
effacement,127.06382550616894
effacement,98.08632268186848
effacement,96.21530627819067
effacement,118.70415117362806
effacement,112.3514368737333
effacement,93.0228567772779
effacement,103.90520869086897
effacement,110.48390457334577
effacement,124.59135399513727
effacement,105.38632844707948
effacement,109.87794039319829
effacement,105.47382373737183
effacement,108.51393580491188
effacement,105.99577595096649
effacement,104.5010810736716
effacement,99.29399963952979
effacement,112.05952521145558
effacement,104.29914205710823
mastiffs,89.1576924555774
mastiffs,100.6493208278244
mastiffs,106.51239275724214
mastiffs,95.04347599586367
mastiffs,89.26855075912131
mastiffs,81.30955791632591
mastiffs,110.05425881704399
mastiffs,88.12955005126645
mastiffs,100.20151443195606
mastiffs,100.60462427242393
mastiffs,96.03036915039728
mastiffs,84.86597819504746
mastiffs,98.11880846029966
mastiffs,81.44930716371634
mastiffs,82.56839443874722
mastiffs,83.74353654067635
mastiffs,99.78458742669554
mastiffs,105.48083210148013
mastiffs,80.34116474926583
mastiffs,90.74732767768309
mastiffs,100.25630536872342
mastiffs,97.34421720042177
mastiffs,89.73499227155713
mastiffs,96.75034867237682
mastiffs,94.92012116850754
mastiffs,110.88670588007051
mastiffs,93.10406030221168
mastiffs,102.45447853632004
mastiffs,103.9585057090235
mastiffs,100.16243051292099
mastiffs,82.54131463185615
mastiffs,91.49446852725677
mastiffs,94.8752099816283
mastiffs,113.76329492019414
mastiffs,99.18635249730282
mastiffs,104.09560708672245
mastiffs,99.84836110809614
mastiffs,95.76172734598893
mastiffs,89.15021075941476
mastiffs,98.8519778686988
mastiffs,98.7230575883653
mastiffs,106.2754995619634
mastiffs,90.01695923761119
mastiffs,99.45401412080376
mastiffs,99.35774163739049
