effacement,lungers
snowlines,-11.99264525048785
snowlines,-11.427865701439075
snowlines,-9.91537071589052
snowlines,-9.786884378609672
snowlines,-9.280195822204897
snowlines,-8.734388933036032
snowlines,-7.496556776598983
snowlines,-7.465825016269225
snowlines,-7.441496557176399
snowlines,-6.812154005992027
snowlines,-6.789621329153581
snowlines,-6.5162411423459305
snowlines,-6.439618648066131
snowlines,-6.409013437540448
snowlines,-6.293485403910671
snowlines,-5.639798268114272
snowlines,-5.503164137857149
snowlines,-5.251007189286544
snowlines,-4.8747709903265655
snowlines,-4.6211033006758155
snowlines,-4.48770153248064
snowlines,-4.25653399500808
snowlines,-3.9831850642777717
snowlines,-3.722161529739819
snowlines,-3.5294681937712675
snowlines,-3.4080817231067004
snowlines,-3.3049342341889574
snowlines,-3.1042583405010302
snowlines,-3.0037717152037877
snowlines,-2.822115337651799
snowlines,-2.738158367859757
snowlines,-2.687509472132382
snowlines,-2.120877778127852
snowlines,-2.0333170318009155
snowlines,-1.8644539664441584
snowlines,-1.7241189477378625
snowlines,-1.6918474005661468
snowlines,-1.6791122440967334
snowlines,-0.7730177481001729
snowlines,-0.5674362014963767
snowlines,-0.5463639391954919
snowlines,-0.26382832690317
snowlines,-0.23883356271625705
snowlines,0.029565136422006918
snowlines,0.13083994992811165
snowlines,0.250937692204259
snowlines,0.5703866919267025
snowlines,0.8424086069853095
snowlines,0.8613879557782677
snowlines,1.1200392231773995
snowlines,1.5000999369568229
snowlines,1.726729730597481
snowlines,1.7411268899233185
snowlines,1.7872363328918937
snowlines,1.9368047711632606
snowlines,2.0386902914675877
snowlines,2.306180373340945
snowlines,2.3102354749956855
snowlines,2.416067808760356
snowlines,2.94667804015533
snowlines,3.180711454826082
snowlines,3.337654495580541
snowlines,3.5404900617096517
snowlines,3.6667724515813456
snowlines,4.161314645710698
snowlines,4.163131519279286
snowlines,5.314197977528718
snowlines,5.364602590644616
snowlines,5.473483050190216
snowlines,5.509451336236381
snowlines,5.626413450017884
snowlines,6.1273087950886875
snowlines,6.22349170167734
snowlines,6.508768348730824
snowlines,6.550661539786125
snowlines,6.718286066717061
snowlines,7.975447513361529
snowlines,8.153674326296048
snowlines,8.557374700994922
snowlines,8.695556071602672
snowlines,8.9379826515428
snowlines,9.58002803234782
snowlines,9.631436936293175
snowlines,10.133625129955803
snowlines,10.642659969250424
snowlines,10.847047295319474
snowlines,11.512753205225986
snowlines,11.66072436470549
snowlines,11.774288263198525
snowlines,12.322662596536784
snowlines,15.193194704649201
snowlines,16.07508009711166
mastiffs,-15.032869971057558
mastiffs,-12.985436938802433
mastiffs,-10.940384291184985
mastiffs,-10.423512655611686
mastiffs,-10.4206673409603
mastiffs,-9.914864751211034
mastiffs,-9.879588058327341
mastiffs,-8.774851169651873
mastiffs,-8.59654695317268
mastiffs,-8.159061418847738
mastiffs,-7.982343771154963
mastiffs,-7.944538513804092
mastiffs,-7.934615143818201
mastiffs,-7.270497065646454
mastiffs,-6.905783386714469
mastiffs,-6.857169531434935
mastiffs,-6.715071172311175
mastiffs,-6.444446133484547
mastiffs,-6.410700278636479
mastiffs,-6.280821359857582
mastiffs,-6.274460710854751
mastiffs,-6.224191038959226
mastiffs,-5.764662324545389
mastiffs,-4.518567161464737
mastiffs,-4.513351710795136
mastiffs,-4.178717776224854
mastiffs,-3.8874910835050356
mastiffs,-3.8128070827448135
mastiffs,-3.8026824094834573
mastiffs,-3.6936304249311602
mastiffs,-3.2332712075970473
mastiffs,-3.2251609316555845
mastiffs,-2.761156096656454
mastiffs,-2.601191430383265
mastiffs,-2.5328526352411878
mastiffs,-2.389565511042281
mastiffs,-2.276294247403567
mastiffs,-2.255879122043852
mastiffs,-2.1851913692028595
mastiffs,-2.1075368522896616
mastiffs,-2.0236896727176643
mastiffs,-1.6724266771265381
mastiffs,-1.6031810966844013
mastiffs,-1.2682066104638972
mastiffs,-0.9876975159439653
mastiffs,-0.4863417480091964
mastiffs,-0.385240321944571
mastiffs,-0.13988214451216505
mastiffs,-0.10012695438834424
mastiffs,0.002042219258956775
mastiffs,0.2558180770233337
mastiffs,0.2707254108403052
mastiffs,0.2776471329517214
mastiffs,0.32834586681030425
mastiffs,0.3781313505148616
mastiffs,0.6210647027371554
mastiffs,1.3471668656399824
mastiffs,1.3989044417492371
mastiffs,1.8099207740441807
mastiffs,2.2301599381497077
mastiffs,2.2520906622279218
mastiffs,2.314191145271446
mastiffs,2.6895253070950176
mastiffs,2.7505595895733603
mastiffs,3.2205192432204437
mastiffs,3.2325495304341514
mastiffs,3.550509315970177
mastiffs,3.5572715933076076
mastiffs,4.100096817082773
mastiffs,4.382578412218534
mastiffs,4.48166320329766
mastiffs,4.494649815531966
mastiffs,4.713623875405694
mastiffs,4.728131954399188
mastiffs,5.331038705970687
mastiffs,5.370641929240267
mastiffs,5.492595851242085
mastiffs,5.794438604412914
mastiffs,5.862669546196235
mastiffs,6.051395541958823
mastiffs,6.254028467218026
mastiffs,6.605337494134894
mastiffs,6.698522697070341
mastiffs,7.041649859243335
mastiffs,7.167867536062452
mastiffs,7.587703788044859
mastiffs,7.7581734143128545
mastiffs,8.378989040288097
mastiffs,8.384550946415345
mastiffs,8.417192202476441
mastiffs,9.310588913351827
mastiffs,9.481088402353786
mastiffs,9.7703919924693
mastiffs,9.8786252603128
mastiffs,11.164159353717276
mastiffs,11.434015838782907
mastiffs,11.434217576516772
mastiffs,13.874777733338005
mastiffs,15.472650334418661
streptothricin,-14.720340744588041
streptothricin,-10.233950155991023
streptothricin,-8.90296619670293
streptothricin,-8.793350345205077
streptothricin,-8.76210894310784
streptothricin,-6.741956517903919
streptothricin,-6.380306024852528
streptothricin,-6.318902071160285
streptothricin,-6.233054025934817
streptothricin,-6.161012420501192
streptothricin,-6.020330547385218
