value,label
137.23000000000002,snowlines
131.89000000000001,snowlines
135.88,snowlines
140.48000000000002,snowlines
126.22999999999999,snowlines
130.8,snowlines
137.92,snowlines
110.66000000000001,snowlines
137.1,snowlines
118.32000000000001,snowlines
115.39,snowlines
156.81,snowlines
140.71,snowlines
132.06,snowlines
142.46,snowlines
140.35,snowlines
127.03,snowlines
111.92,snowlines
137.42,snowlines
154.39,snowlines
153.59,snowlines
130.5,snowlines
125.36,snowlines
139.07999999999998,snowlines
132.97,snowlines
138.68,snowlines
147.68,snowlines
125.11,snowlines
123.96000000000001,snowlines
132.1,snowlines
135.86,snowlines
111.52,snowlines
144.28,snowlines
147.99,snowlines
146.98,snowlines
111.64999999999999,snowlines
146.99,snowlines
159.76,snowlines
145.78,snowlines
147.65,snowlines
131.21,snowlines
130.45000000000002,snowlines
121.03999999999999,snowlines
140.2,snowlines
147.62,snowlines
149.72,snowlines
128.43,snowlines
114.92999999999999,snowlines
121.69,snowlines
139.02,snowlines
138.06,snowlines
131.22,snowlines
111.01,snowlines
142.95000000000002,snowlines
109.39,snowlines
134.77,snowlines
131.02,snowlines
137.01000000000002,snowlines
112.61,snowlines
137.55,snowlines
145.43,snowlines
121.05000000000001,snowlines
133.38,snowlines
141.8,snowlines
129.83,snowlines
127.65,snowlines
143.11,snowlines
143.79999999999998,snowlines
123.55999999999999,snowlines
140.39,snowlines
123.69000000000001,snowlines
140.43,snowlines
133.42000000000002,snowlines
112.87,snowlines
125.4,snowlines
142.0,snowlines
140.85,snowlines
127.69999999999999,snowlines
129.72,snowlines
141.99,snowlines
119.56,snowlines
133.09,snowlines
126.22,snowlines
121.2,snowlines
143.01999999999998,snowlines
136.57,snowlines
149.05,snowlines
135.92000000000002,snowlines
137.91,snowlines
136.27,snowlines
150.55,snowlines
151.3,snowlines
145.47,snowlines
116.39,snowlines
143.43,snowlines
142.32,snowlines
160.14000000000001,snowlines
123.25,snowlines
117.5,snowlines
128.07,snowlines
135.38,snowlines
150.98999999999998,snowlines
133.82999999999998,snowlines
104.99,snowlines
121.57,snowlines
159.07999999999998,snowlines
128.71,snowlines
156.14,snowlines
119.0,snowlines
132.91,snowlines
134.95,snowlines
119.7,snowlines
122.36,snowlines
162.44,snowlines
144.23999999999998,snowlines
139.79,snowlines
153.81,snowlines
160.32,snowlines
131.17000000000002,snowlines
124.89,snowlines
123.58,snowlines
164.51,snowlines
128.3,snowlines
137.97,snowlines
131.34,snowlines
132.36,snowlines
135.55,snowlines
129.3,snowlines
127.08,snowlines
154.56,snowlines
138.54,snowlines
120.22000000000001,snowlines
134.38,snowlines
113.22,snowlines
155.66,snowlines
130.64,snowlines
129.35,snowlines
124.62,snowlines
163.5,snowlines
140.56,snowlines
218.99,cytopenias
186.51,cytopenias
175.9,cytopenias
173.63,cytopenias
134.75,cytopenias
205.87,cytopenias
207.35,cytopenias
213.63,cytopenias
180.09,cytopenias
196.31,cytopenias
165.3,cytopenias
180.28,cytopenias
208.25,cytopenias
177.54,cytopenias
185.36,cytopenias
180.41,cytopenias
179.79,cytopenias
175.37,cytopenias
199.0,cytopenias
154.84,cytopenias
222.57999999999998,cytopenias
196.97,cytopenias
166.16,cytopenias
184.38000000000002,cytopenias
169.64000000000001,cytopenias
188.95000000000002,cytopenias
148.87,cytopenias
178.63,cytopenias
193.72,cytopenias
183.74,cytopenias
169.54,cytopenias
221.94,cytopenias
158.34,cytopenias
185.76,cytopenias
156.01,cytopenias
224.08,cytopenias
214.0,cytopenias
217.73000000000002,cytopenias
207.18,cytopenias
168.37,cytopenias
200.81,cytopenias
231.96999999999997,cytopenias
223.0,cytopenias
206.92000000000002,cytopenias
171.48000000000002,cytopenias
202.5,cytopenias
218.51999999999998,cytopenias
154.57,cytopenias
164.44,cytopenias
153.99,cytopenias
160.56,cytopenias
202.72,cytopenias
194.74,cytopenias
142.63,cytopenias
226.3,cytopenias
221.65,cytopenias
156.93,cytopenias
181.86999999999998,cytopenias
173.47000000000003,cytopenias
171.51,cytopenias
197.57,cytopenias
253.27999999999997,cytopenias
183.87,cytopenias
209.97000000000003,cytopenias
178.61,cytopenias
241.94,cytopenias
222.57,cytopenias
155.17,cytopenias
200.76999999999998,cytopenias
205.44,cytopenias
151.89,cytopenias
187.10000000000002,cytopenias
223.39000000000001,cytopenias
157.57,cytopenias
168.62,cytopenias
203.39,cytopenias
209.61,cytopenias
186.41,cytopenias
166.99,cytopenias
199.55,cytopenias
192.82000000000002,cytopenias
139.04999999999998,cytopenias
200.16,cytopenias
182.66,cytopenias
197.7,cytopenias
178.34,cytopenias
151.59,cytopenias
209.01999999999998,cytopenias
158.19,cytopenias
217.41,cytopenias
171.91,cytopenias
163.57,cytopenias
206.57,cytopenias
167.08,cytopenias
135.54,cytopenias
180.01999999999998,cytopenias
186.89999999999998,cytopenias
181.70999999999998,cytopenias
209.43,cytopenias
234.84,cytopenias
182.76,cytopenias
180.83999999999997,cytopenias
187.29,cytopenias
206.64,cytopenias
160.34,cytopenias
167.35,cytopenias
107.55,cytopenias
199.29999999999998,cytopenias
149.32,cytopenias
212.58,cytopenias
167.51,cytopenias
195.82000000000002,cytopenias
193.62,cytopenias
240.54,cytopenias
229.73,cytopenias
200.47,cytopenias
159.59,cytopenias
209.20999999999998,cytopenias
242.29000000000002,cytopenias
167.03,cytopenias
172.34,cytopenias
189.82999999999998,cytopenias
172.75,cytopenias
203.21,cytopenias
165.64,cytopenias
223.70999999999998,cytopenias
207.42,cytopenias
167.01,cytopenias
183.20000000000002,cytopenias
172.69,cytopenias
197.22,cytopenias
198.74,cytopenias
172.84,cytopenias
153.6,cytopenias
206.75,cytopenias
180.82,cytopenias
185.22,cytopenias
143.81,cytopenias
140.70000000000002,cytopenias
178.86,cytopenias
