x_spies,y_spies,x_effacement,y_effacement,x_cytopenias,y_cytopenias
-25.858,-1.7203593221633895,-26.026,-11.385254664989198,-26.045,-17.831724507625307
-24.815,-7.662188313282778,-24.974,-12.526973646526331,-24.993,22.49056015867788
-23.772,11.941111004675562,-23.923,-12.329740782845418,-23.941,-25.199719865829927
-22.729,-3.7375347175800346,-22.872,9.081292997020135,-22.888,0.7240236258929738
-21.686,3.7576646909631486,-21.821,-30.882234749249637,-21.836,-12.738962053497003
-20.643,-23.757233523807937,-20.769,12.529471430979301,-20.784,-9.489738265979746
-19.6,-36.736968171549194,-19.718,19.116016303034527,-19.732,38.67270383058739
-18.558,10.088067117365176,-18.667,6.761214247475763,-18.679,-6.757433606764646
-17.515,14.414220813085649,-17.615,-6.670654811120731,-17.627,16.319013205348966
-16.472,-11.010795969347248,-16.564,6.653697900285657,-16.575,3.3511584523055618
-15.429,6.547579344427421,-15.513,-11.068929344162576,-15.523,-2.0540608797570794
-14.386,-7.884164468742689,-14.462,14.526299943896174,-14.47,-4.467100654176418
-13.343,19.021897032475398,-13.41,26.45059306395036,-13.418,-1.3176147229895983
-12.3,-15.61082116560775,-12.359,26.48464586219887,-12.366,22.274234821298123
-11.257,-1.9752907302579104,-11.308,-8.40699075894911,-11.314,-6.764966133358787
-10.214,3.4232327659775317,-10.256,-8.13799836127371,-10.261,-41.17079750858186
-9.172,9.463394206457405,-9.205,-5.578480381360819,-9.209,20.925112103549743
-8.129,-16.436590301535865,-8.154,-30.45657148546666,-8.157,-17.864258049712213
-7.086,14.360563557763305,-7.103,8.83730546284324,-7.105,-7.082579911028535
-6.043,41.1201848865674,-6.051,-15.075697886401906,-6.052,-3.509094106724357
-5.0,-33.89808648413065,-5.0,-6.803676646906168,-5.0,-26.234156244956086
