biblioclast,rhomboids
limey,29.235786806888644
limey,29.968638693864527
limey,29.404092150665736
limey,32.55335250510265
limey,30.07357545916781
limey,26.690702945592747
limey,28.826154968068277
limey,26.662725273026233
limey,25.868739882004434
limey,24.619757210275054
limey,28.143325187524223
limey,30.58832808408488
limey,29.91094732541453
limey,25.704458201783883
limey,25.955273843855636
limey,24.604412710194353
limey,29.74654585931873
limey,27.8742229497418
limey,29.22481370921826
limey,27.990064337584286
limey,29.961993446197855
limey,31.03929280101645
limey,32.18169277046984
limey,30.682305299223604
limey,24.903112234498245
limey,26.505190005684845
limey,25.79234442615616
limey,32.92440253604294
limey,30.226501934184608
limey,29.89100566086702
limey,28.722824285479426
limey,27.772618074819224
limey,27.82141917539629
limey,28.34045592054745
limey,28.915590458766886
limey,24.146616207263875
limey,27.90099394275345
limey,30.035808067413026
limey,32.12636175506978
limey,26.69790350333893
limey,28.759955791169464
limey,26.491130450513598
limey,29.03592672954109
limey,26.265176512690477
limey,28.862153863204863
limey,23.196388922636263
limey,30.187027930387195
limey,29.34548051637888
limey,29.395682323967993
limey,28.861497679146026
limey,23.620538103814862
limey,25.930802720420814
limey,30.566182799902105
limey,30.626673147282112
limey,25.629516105580898
limey,28.141775879891195
limey,35.48017716319834
limey,26.411247850319384
limey,24.41004413006706
limey,28.622249248224296
limey,31.229222115203218
limey,32.69784084320159
limey,27.958776336457
limey,23.89036702637234
limey,28.055423376254893
limey,32.71094454480482
limey,27.828470937147774
limey,31.273991467936078
limey,26.615811070986712
limey,25.68103915904256
limey,25.61367997540279
limey,28.911881791963637
limey,27.129188289928976
limey,31.959656932006073
limey,25.603423120226335
limey,30.054034712478536
limey,28.234684044446233
limey,28.5777021051684
limey,24.6897564849734
limey,26.926347283025063
limey,27.052643954132368
limey,28.11876707192017
limey,25.765404192555167
limey,23.680974764353078
limey,27.669678841498474
limey,29.13641678927783
limey,21.54225624618568
limey,31.898527157590014
limey,33.6820766080325
limey,29.581878025534778
limey,25.95290553762032
limey,31.047799587450985
limey,23.340738125551198
limey,26.570266610522474
bull-tongue,29.758786181991116
bull-tongue,26.970216441079668
bull-tongue,26.639605467962937
bull-tongue,26.03704684276329
bull-tongue,28.94028265596237
bull-tongue,31.86227735691004
bull-tongue,27.70958590632932
bull-tongue,26.818201431447363
bull-tongue,30.90482920951649
bull-tongue,26.095070883724166
bull-tongue,31.809077021157446
bull-tongue,28.418682602089856
bull-tongue,32.00009118009291
bull-tongue,36.207121779428036
bull-tongue,29.08181040445651
bull-tongue,29.806520010468486
bull-tongue,26.116045838735136
bull-tongue,30.610560957241535
bull-tongue,30.387929442804875
bull-tongue,35.610077334979216
bull-tongue,27.400242984165978
bull-tongue,27.731058931415145
bull-tongue,27.270373001835694
bull-tongue,27.317438094385917
bull-tongue,25.459418652330925
bull-tongue,31.502097474458377
bull-tongue,30.489960088598473
bull-tongue,28.953196115270956
bull-tongue,27.88279524972137
bull-tongue,33.58188713623658
bull-tongue,29.471860452407995
bull-tongue,30.040608290318723
bull-tongue,28.807932410039264
bull-tongue,26.380277387729738
bull-tongue,29.09949033967755
bull-tongue,27.487076847073592
bull-tongue,28.142731267723025
bull-tongue,28.923757763187915
bull-tongue,31.829081352634528
bull-tongue,32.11385430916209
bull-tongue,26.63700053031467
bull-tongue,31.234479733022507
bull-tongue,25.306273789963836
bull-tongue,26.849732144817395
bull-tongue,29.323825207250877
bull-tongue,30.993125795154814
bull-tongue,29.464439452218638
bull-tongue,25.01091831862533
bull-tongue,30.9443677524605
bull-tongue,34.609319413429034
bull-tongue,25.470771612081926
bull-tongue,28.100187432043334
bull-tongue,29.025658775766935
bull-tongue,32.55347834592198
bull-tongue,27.558084914010617
bull-tongue,29.063901561297836
bull-tongue,27.00430598932454
bull-tongue,25.28916386085244
bull-tongue,31.614686495307776
bull-tongue,33.78814406149418
bull-tongue,29.344027503753225
bull-tongue,34.43329738861592
bull-tongue,27.64122214810228
bull-tongue,27.919526206011344
bull-tongue,32.60734940585956
bull-tongue,31.630533008744422
bull-tongue,26.838200801504247
bull-tongue,32.924648474443714
bull-tongue,31.24731375449241
bull-tongue,29.533594028120756
bull-tongue,27.60823054856461
bull-tongue,25.448269303356938
bull-tongue,30.69841554738673
bull-tongue,27.89712133921828
bull-tongue,31.580905405539205
bull-tongue,31.652939833915518
bull-tongue,28.92149409045859
bull-tongue,27.980848492013344
bull-tongue,26.495554186311953
bull-tongue,23.80159432606856
bull-tongue,29.27182632035871
bull-tongue,26.22471362426567
bull-tongue,28.662018108934664
bull-tongue,28.344223263679524
bull-tongue,31.946578925010037
bull-tongue,29.093142767593086
bull-tongue,34.32385371492966
bull-tongue,30.43337052001196
bull-tongue,28.17948584274604
bull-tongue,26.087653745561823
bull-tongue,30.232188238654164
bull-tongue,29.9602418924216
bull-tongue,26.42918785804234
bull-tongue,25.648532748302692
bull-tongue,31.434129110583818
bull-tongue,26.234521941111964
bull-tongue,25.30323871954418
bull-tongue,30.200894771510395
bull-tongue,30.967941156939947
bull-tongue,28.33283048027131
bull-tongue,31.42081297440759
bull-tongue,28.50318112677321
bull-tongue,27.91495141207249
bull-tongue,29.652079577336593
bull-tongue,27.440564737750613
bull-tongue,28.994146574773755
bull-tongue,27.351068048991962
bull-tongue,32.053498423409394
bull-tongue,28.934936931446693
bull-tongue,28.82379511984717
