rhomboids,cytopenias
effacement,-17.584109438889847
effacement,-16.284629875696556
effacement,-15.553399277357256
effacement,-13.381875720442256
effacement,-12.742344759733827
effacement,-12.62821968535438
effacement,-12.576754215246549
effacement,-12.531252396117793
effacement,-11.01077261072402
effacement,-10.613602946337133
effacement,-10.583744949494264
effacement,-10.103806791278076
effacement,-9.891525776249596
effacement,-9.614793848720998
effacement,-9.408841232703061
effacement,-9.10630953603922
effacement,-9.009856512601132
effacement,-8.28943527982085
effacement,-7.872610053584025
effacement,-7.851811424960317
effacement,-7.332246313723323
effacement,-7.055532423556361
effacement,-6.797313566434105
effacement,-6.3638188397732005
effacement,-6.271864978216813
effacement,-6.242601828050089
effacement,-6.144120900513268
effacement,-5.726852575220705
effacement,-5.619483733444319
effacement,-5.004853495986382
effacement,-4.817982359817098
effacement,-3.390928969312868
effacement,-3.0725202018425093
effacement,-2.890974688742968
effacement,-2.3449761380233736
effacement,-2.0678752744901736
effacement,-1.9317289588230655
effacement,-1.5167905881160617
effacement,-1.1911453774005891
effacement,-1.137440348218131
effacement,-0.3168913312854845
effacement,-0.02719782953629549
effacement,0.011657292045206
effacement,0.23702683302484023
effacement,0.31612026508390045
effacement,0.8631139690819017
effacement,1.065628157161874
effacement,1.2834199442637886
effacement,1.567762384268836
effacement,1.663500821666904
effacement,1.7099278700814333
effacement,1.7666196728206602
effacement,1.9942345007687137
effacement,1.997810985666416
effacement,2.0064289018924244
effacement,2.0701430924630446
effacement,2.0877354238719867
effacement,2.0938788406182858
effacement,2.3673381144623016
effacement,2.3921253624002667
effacement,2.6626855206405606
effacement,3.0645118736570267
effacement,3.3971031078762834
effacement,3.5411378358770227
effacement,3.643381675464177
effacement,4.109707562036733
effacement,4.3898099868915335
effacement,4.580281130370155
effacement,5.082713196575903
effacement,5.240695835194224
effacement,5.256283673931374
effacement,5.928327225639196
effacement,6.156583973150474
effacement,6.233467843384305
effacement,7.489635572342663
effacement,8.184409604123989
effacement,8.475439102727844
effacement,8.532278512982556
effacement,9.264088478714
effacement,9.378079025438542
effacement,9.416373138440733
