azithromycin,cytopenias
rhomboids,-8.417789821930704
rhomboids,-8.234233891771762
rhomboids,-8.11034703929581
rhomboids,-7.206789731911373
rhomboids,-6.220150792176844
rhomboids,-5.922751483076199
rhomboids,-5.753176560157292
rhomboids,-5.732408862796218
rhomboids,-5.5354692976444015
rhomboids,-5.053360145032005
rhomboids,-4.527506582033161
rhomboids,-4.338531911508585
rhomboids,-4.263641036478902
rhomboids,-3.775450442193567
rhomboids,-3.739204853748341
rhomboids,-3.7376533530631644
rhomboids,-3.4578892371920658
rhomboids,-3.392541614224713
rhomboids,-3.3641517802180747
rhomboids,-3.2879163284364634
rhomboids,-3.146508135353623
rhomboids,-3.073023588895259
rhomboids,-3.049258691182607
rhomboids,-3.019462950297654
rhomboids,-2.7297997106215113
rhomboids,-2.5094582117978583
rhomboids,-2.3871596523202308
rhomboids,-2.290486364343103
rhomboids,-2.260150435789249
rhomboids,-2.2493375538445597
rhomboids,-2.20115932244538
rhomboids,-2.163716364708725
rhomboids,-2.143487385639386
rhomboids,-1.8891009443402955
rhomboids,-1.7476272020937664
rhomboids,-1.6724194099873742
rhomboids,-1.4632524907815108
rhomboids,-1.4375849314764668
rhomboids,-1.3845923098186037
rhomboids,-1.266252960295419
rhomboids,-1.2195804758103421
rhomboids,-1.1652326469054175
rhomboids,-1.0204468241149651
rhomboids,-1.0063745136279905
rhomboids,-0.9129278702857208
rhomboids,-0.8869323190830342
rhomboids,-0.7918839273071029
rhomboids,-0.7371374704564767
rhomboids,-0.7149587231118495
rhomboids,-0.40111130865387634
rhomboids,-0.3715583284356696
rhomboids,-0.36586939122566076
rhomboids,-0.3617284950003319
rhomboids,-0.25879309142750284
rhomboids,-0.15814376570827565
rhomboids,-0.03125515937959323
rhomboids,-0.012849032641803725
rhomboids,-0.012336864481049174
rhomboids,0.05438816666176669
rhomboids,0.06180127445406118
rhomboids,0.13251673871607075
rhomboids,0.13801549438889202
rhomboids,0.19049362662172953
rhomboids,0.21547058168031313
rhomboids,0.34261480217238943
rhomboids,0.4341657065401232
rhomboids,0.44033171631430645
rhomboids,0.44678075750051116
rhomboids,0.45182831292303
rhomboids,0.8539308003553666
rhomboids,0.9714809447188548
rhomboids,1.1520846067281374
rhomboids,1.152913376431833
rhomboids,1.3858555341526573
rhomboids,1.4247893447390882
rhomboids,1.514345358887064
rhomboids,1.5729483585013442
rhomboids,1.6200138242427424
rhomboids,1.667829590931306
rhomboids,1.7169093516370555
rhomboids,1.7604242181741736
rhomboids,1.8021307297320903
rhomboids,1.9402826186373818
rhomboids,2.2047940586308084
rhomboids,2.2221885383346094
rhomboids,2.2274862764858097
rhomboids,2.682137599004075
rhomboids,2.7362500814230737
rhomboids,2.9116947265403015
rhomboids,2.913379012108996
rhomboids,2.9703484578744352
rhomboids,3.0796394699991536
rhomboids,3.2054063534270893
rhomboids,3.343024515223128
rhomboids,3.484211062089553
rhomboids,3.576190739981008
rhomboids,3.6923559356451148
rhomboids,3.7844336902799567
rhomboids,3.8397268776476254
rhomboids,4.735753505297297
rhomboids,4.748729986128092
rhomboids,5.178620802377991
rhomboids,5.680655135472044
rhomboids,6.845272310006918
rhomboids,7.212104919407043
rhomboids,7.701496262122124
rhomboids,8.306638030639387
substitutes,-3.6365353770334856
substitutes,-3.533575896752604
substitutes,-3.1453739621105985
substitutes,-2.7229590202423246
substitutes,-2.505157700156922
substitutes,-2.3157984747409444
substitutes,-2.2313226390449437
substitutes,-2.2295932908880483
substitutes,-2.056114623979476
substitutes,-1.9287480980172076
substitutes,-1.92160666526451
substitutes,-1.9003991881588822
substitutes,-1.8580331713160594
substitutes,-1.8552982980447377
substitutes,-1.7221120050071943
substitutes,-1.4981204783741713
substitutes,-1.4498049383374687
substitutes,-1.42020467205258
substitutes,-1.33742865381463
substitutes,-1.2696271500459948
substitutes,-1.258609847260082
substitutes,-1.2568690718498332
substitutes,-1.142413411853772
substitutes,-1.0520104509938366
substitutes,-1.0457347914092876
substitutes,-1.0357826058328876
substitutes,-1.0280433173140087
substitutes,-1.0026256103539888
substitutes,-0.9240893277719796
substitutes,-0.9008411850159836
substitutes,-0.8730815295100836
substitutes,-0.7751123244879122
substitutes,-0.7223666944089727
substitutes,-0.6919914659476023
substitutes,-0.6881343340802438
substitutes,-0.6186431799294626
substitutes,-0.6046440764509792
substitutes,-0.45316321152444955
substitutes,-0.41392139331586497
substitutes,-0.3200508678637199
substitutes,-0.24916906768334307
substitutes,-0.14036139603451492
substitutes,-0.12470308248981077
substitutes,-0.11543427409884884
substitutes,-0.010437271684821609
substitutes,-0.009533532415864165
substitutes,-0.004770086537808861
substitutes,0.1055755840672664
substitutes,0.11005923473750455
substitutes,0.19482339813005412
substitutes,0.23671838070690038
substitutes,0.26024794312959026
substitutes,0.3407781133622471
substitutes,0.44701210872197666
substitutes,0.49484607421886573
substitutes,0.627348181238318
substitutes,0.6602591649380286
substitutes,0.6845931617246362
substitutes,0.8454198652700757
substitutes,1.0076877087460825
substitutes,1.1237348443249484
substitutes,1.2659919413205498
substitutes,1.270522317949451
substitutes,1.2720541565066616
substitutes,1.3455700828582224
substitutes,1.3833384271550817
substitutes,1.4070328584100773
substitutes,1.4149750869408657
substitutes,1.432008510077779
substitutes,1.4885823036345522
substitutes,1.4948371807956746
substitutes,1.623448779907398
substitutes,1.7153415868831623
