snowlines\dissection,filibusters,lungers,bull-tongue,substitutes
7,10.64897972990019,20.2839505142755,33.338050736693376,26.638926063969798
8,25.641277559299375,5.1719838077535005,31.67232906670335,11.450188271110804
9,18.62630228194533,17.50695762980098,34.4721725454688,13.869804709720015
10,22.84341553001841,24.767670562395253,21.06061224815092,29.429456423474228
11,30.77054886686423,25.432563495304052,27.00785147133732,25.911061070473387
12,17.14180679568835,22.914712192733642,33.96681445748685,22.253514997972776
13,13.148192429614102,29.773099456425655,25.738876106043975,18.74858835692889
14,18.634081742585014,21.261862921711494,34.773605307585555,16.333962328447317
15,26.49614951273187,12.453116668841242,25.21341657285267,15.19320833283514
16,25.43199161137749,8.566060688358725,30.637101149275882,9.850217644460606
17,23.868777280582695,0.43812826603332056,34.97678510290035,18.059503951645514
18,26.567216764418376,31.069294696030642,31.83091362973441,20.47165673069182
19,19.583370564337073,26.022548523279976,27.50022001628723,13.653931691799343
20,17.182881466607864,9.763826615546606,27.47469354348442,26.30485461709744
21,15.36867128220748,28.748426231767542,30.335865632484357,15.560374300435749
