x,y,label
-9.062,-13.724,effacement
-1.293,-4.652,effacement
-2.311,-0.683,effacement
0.138,-19.269,effacement
3.195,-52.827,effacement
0.986,31.892,effacement
-0.206,32.199,augment
-0.5,-25.647,augment
1.795,1.614,augment
-4.593,-12.77,augment
1.717,18.597,augment
-0.08,-19.461,augment
-4.558,-23.384,caramelisation
9.824,45.412,caramelisation
4.03,17.814,caramelisation
-0.522,-3.837,caramelisation
-0.17,-2.209,caramelisation
-1.827,-10.628,caramelisation
-8.059,-1238.83,azithromycin
-3.444,-107.971,azithromycin
4.754,107.2,azithromycin
0.311,21.313,azithromycin
11.546,2701.995,azithromycin
-3.244,-1.979,azithromycin
