dissection\biblioclast,streptothricin,substitutes,cytopenias,limey
3,14.016769831588032,3.3295176320478825,12.321222506394177,20.425485566748776
4,12.556733311544436,-2.9305940241143276,9.339416571407742,11.270175464021134
5,12.367019800882252,8.221719039337023,9.640720696300816,17.24217856323352
6,6.208075367122108,1.316555590031042,10.929454597954809,13.612097612671487
7,10.650941724838638,19.651102218463734,3.0312499104327593,16.67418892248402
8,14.950286395716542,3.7756352684628514,5.087540964190172,36.70412251533146
9,18.700703925628297,14.19668119738428,12.538571898354673,16.568702087917323
10,13.269849419815575,25.620778729457726,15.209242392627228,21.308411200072886
11,10.870126894699121,0.4244338135849599,18.861672086150218,17.657683350903884
12,15.307179092165843,17.125755631320636,7.996645664764792,25.435636207469933
13,9.195664071264439,1.1389322294628403,15.72151688212491,25.623892431820384
14,10.89300593998847,9.670255631628855,12.445111309047126,24.1764470999228
15,8.021335795552123,5.071586520048247,9.967984880617466,23.341115456688346
