x,y,label
-27.031,91.274,streptothricin
-26.028,112.744,streptothricin
-25.025,118.213,streptothricin
-24.023,74.293,streptothricin
-23.02,118.525,streptothricin
-22.017,8.437,streptothricin
-21.014,65.051,streptothricin
-20.011,79.712,streptothricin
-19.009,100.324,streptothricin
-18.006,70.083,streptothricin
-17.003,92.806,streptothricin
-16.0,92.662,streptothricin
-14.998,33.382,streptothricin
-13.995,75.385,streptothricin
-12.992,48.413,streptothricin
-11.989,80.282,streptothricin
-10.986,53.458,streptothricin
-9.984,71.788,streptothricin
-8.981,14.352,streptothricin
-7.978,111.387,streptothricin
-6.975,84.302,streptothricin
-5.973,85.673,streptothricin
-4.97,35.807,streptothricin
-3.967,-1.49,streptothricin
-2.964,46.214,streptothricin
-1.961,47.491,streptothricin
-0.959,8.846,streptothricin
0.044,36.979,streptothricin
1.047,8.844,streptothricin
2.05,26.296,streptothricin
3.053,-64.508,streptothricin
4.055,24.075,streptothricin
5.058,11.425,streptothricin
6.061,7.196,streptothricin
7.064,-24.086,streptothricin
8.066,-55.5,streptothricin
9.069,-64.175,streptothricin
10.072,-21.312,streptothricin
11.075,-62.504,streptothricin
12.078,-102.005,streptothricin
13.08,-53.187,streptothricin
14.083,-125.376,streptothricin
15.086,-44.006,streptothricin
16.089,-85.421,streptothricin
17.091,-118.15,streptothricin
18.094,-102.26,streptothricin
19.097,-69.224,streptothricin
20.1,-24.331,streptothricin
21.103,-74.131,streptothricin
22.105,-48.054,streptothricin
23.108,-96.766,streptothricin
24.111,-115.303,streptothricin
25.114,-194.253,streptothricin
26.116,-121.554,streptothricin
27.119,-21.123,streptothricin
28.122,-120.744,streptothricin
29.125,-121.88,streptothricin
30.128,-123.374,streptothricin
31.13,-198.731,streptothricin
32.133,-158.455,streptothricin
33.136,-117.434,streptothricin
34.139,-151.84,streptothricin
35.141,-99.716,streptothricin
36.144,-76.978,streptothricin
37.147,-142.72,streptothricin
38.15,-200.194,streptothricin
39.153,-105.57,streptothricin
40.155,-163.224,streptothricin
41.158,-206.437,streptothricin
42.161,-142.371,streptothricin
43.164,-204.677,streptothricin
44.166,-238.855,streptothricin
45.169,-152.832,streptothricin
46.172,-186.176,streptothricin
47.175,-118.4,streptothricin
48.178,-191.775,streptothricin
49.18,-178.975,streptothricin
50.183,-218.225,streptothricin
51.186,-249.681,streptothricin
52.189,-247.992,streptothricin
53.191,-249.178,streptothricin
54.194,-168.26,streptothricin
55.197,-199.108,streptothricin
56.2,-209.768,streptothricin
57.203,-319.968,streptothricin
58.205,-241.193,streptothricin
59.208,-249.217,streptothricin
60.211,-165.043,streptothricin
61.214,-281.515,streptothricin
62.216,-280.769,streptothricin
63.219,-286.823,streptothricin
64.222,-313.841,streptothricin
65.225,-314.407,streptothricin
66.228,-268.852,streptothricin
67.23,-272.738,streptothricin
68.233,-302.898,streptothricin
69.236,-272.197,streptothricin
70.239,-240.175,streptothricin
71.241,-251.989,streptothricin
72.244,-309.349,streptothricin
73.247,-337.68,streptothricin
74.25,-254.628,streptothricin
75.253,-294.461,streptothricin
76.255,-358.896,streptothricin
77.258,-305.456,streptothricin
78.261,-326.687,streptothricin
79.264,-310.63,streptothricin
80.266,-367.87,streptothricin
81.269,-380.032,streptothricin
82.272,-331.078,streptothricin
83.275,-283.187,streptothricin
84.278,-423.061,streptothricin
85.28,-366.538,streptothricin
86.283,-357.57,streptothricin
87.286,-353.381,streptothricin
88.289,-370.254,streptothricin
89.291,-320.258,streptothricin
90.294,-401.057,streptothricin
91.297,-425.073,streptothricin
92.3,-424.435,streptothricin
93.303,-405.109,streptothricin
94.305,-367.007,streptothricin
95.308,-376.557,streptothricin
96.311,-391.563,streptothricin
97.314,-381.241,streptothricin
98.316,-371.396,streptothricin
99.319,-385.274,streptothricin
100.322,-420.852,streptothricin
101.325,-442.786,streptothricin
102.328,-422.314,streptothricin
103.33,-402.591,streptothricin
104.333,-420.256,streptothricin
