filibusters,rhomboids
effacement,45.55028154641174
effacement,42.490134210286826
effacement,48.27112272432848
effacement,56.454786945720635
effacement,57.42457744911926
effacement,49.271863872120086
effacement,48.06826445695879
effacement,56.314052175157606
effacement,52.16138585761812
effacement,55.9263712926788
effacement,51.17316590374331
effacement,50.708834018305716
effacement,50.2577136020677
effacement,59.40093426678756
effacement,53.29612328471136
effacement,55.5417710098393
effacement,43.2596367881241
effacement,46.7673443468016
effacement,46.2341820110308
effacement,58.38397315371993
effacement,64.9114104765491
effacement,43.672116653081005
effacement,41.35739054859539
effacement,53.16760191262676
effacement,41.89295867574693
effacement,54.32548705782158
effacement,57.66671092213268
effacement,45.36559487108101
effacement,51.38503689555563
effacement,50.485957349002526
effacement,57.93638878763946
effacement,47.684821969648404
effacement,51.1681125150472
effacement,62.26583841834575
effacement,52.14126702988458
effacement,48.61563582936188
effacement,54.967638253198004
effacement,53.44122693227988
effacement,48.362670245240736
effacement,47.26017205297207
effacement,59.323409185130906
effacement,45.87359108369405
effacement,46.9648676034354
effacement,56.168809069919845
effacement,47.01930389046036
effacement,37.37346282300349
effacement,50.46448798641131
effacement,52.50965948061253
effacement,48.783543734732724
effacement,43.389020112574265
effacement,54.939628226966136
effacement,58.043071213693366
effacement,48.21318349709271
effacement,58.04524153310952
effacement,55.40753207249253
effacement,44.3054678700948
effacement,50.019016504942634
effacement,47.30031322312912
effacement,52.55409972459981
effacement,69.07254522815771
effacement,48.428083654048045
effacement,47.957970379984936
effacement,46.71745772212576
effacement,52.57592148035007
effacement,57.996861167181436
effacement,59.67732139720363
effacement,58.24934440707002
effacement,56.10863827946342
effacement,50.475607583575396
effacement,52.346323281122615
effacement,51.348881921250296
effacement,59.123589496393606
effacement,51.90120206663671
effacement,50.49240111659378
effacement,51.5021952675386
effacement,46.348308839402456
effacement,52.79491571873347
effacement,58.18957197217543
effacement,54.143801371888976
effacement,49.279074116037904
effacement,48.375537500013024
effacement,45.89483837125538
effacement,52.2674502378865
effacement,52.11912181858734
effacement,51.35265628018827
effacement,57.60076298979196
effacement,46.16088725374505
effacement,59.25828641724032
effacement,55.254090279991196
effacement,46.213285124429504
effacement,51.84199895417527
effacement,49.04604993678977
effacement,52.44203668577428
effacement,50.650321857374756
effacement,47.537397909465675
effacement,53.07815392438623
effacement,40.7457748134052
effacement,63.52271968382992
effacement,49.740762377940804
effacement,51.74602263229651
effacement,49.507378611647994
effacement,43.08188635638691
effacement,51.164644127645566
effacement,50.79515627465932
effacement,40.9095520404509
effacement,49.55449344815239
snowlines,35.185767764358886
snowlines,32.72201665778047
snowlines,32.30347476186365
snowlines,38.14262077596475
snowlines,31.465963515205203
snowlines,34.747680389631384
snowlines,25.504765017868092
snowlines,35.789536901484325
snowlines,34.67805231370733
snowlines,35.85535956618151
snowlines,34.6377989424377
snowlines,32.8771321326092
snowlines,33.569736019711755
snowlines,35.161189593475335
snowlines,45.507052639034406
snowlines,43.19794327648269
snowlines,43.68295294761412
snowlines,38.96810010930311
snowlines,36.51745333036896
snowlines,33.68168139003334
snowlines,38.4014782105204
snowlines,33.53210919284079
snowlines,39.871815253283515
