dissection,perennibranch
rhomboids,-23.852405448144214
rhomboids,-19.20005076978177
rhomboids,-17.032403268504858
rhomboids,-16.104921767855434
rhomboids,-13.871715769030507
rhomboids,-13.309788559151665
rhomboids,-11.208737339114244
rhomboids,-10.836140648818013
rhomboids,-10.830903907859009
rhomboids,-7.748746024740728
rhomboids,-7.325524608697774
rhomboids,-6.80332450349407
rhomboids,-6.393937237788143
rhomboids,-6.3142858689105745
rhomboids,-6.167098036014329
rhomboids,-6.108399671373276
rhomboids,-6.056956303673958
rhomboids,-4.636242199470635
rhomboids,-4.441772534995339
rhomboids,-4.288947018477732
rhomboids,-4.074083272574419
rhomboids,-3.90699293889182
rhomboids,-3.895357990666737
rhomboids,-3.8700778493837533
rhomboids,-3.7514151328246874
rhomboids,-3.481034200668808
rhomboids,-3.282665279887996
rhomboids,-3.0996346051832067
rhomboids,-2.6878784354594454
rhomboids,-2.0297143044186825
rhomboids,-1.8971584035331932
rhomboids,-1.5707069965108804
rhomboids,-1.2868542897147006
rhomboids,-1.272081369272382
rhomboids,-1.2589717492595727
rhomboids,-1.2097701115249055
rhomboids,-1.0022382449344496
rhomboids,0.11176723364111825
rhomboids,0.26001100091249935
rhomboids,0.36061485675958194
rhomboids,0.4560660597662073
rhomboids,0.7957572375397391
rhomboids,0.9717641681298944
rhomboids,1.1996659774828127
rhomboids,1.3122654341882325
rhomboids,1.602597248056717
rhomboids,1.7080910934007694
rhomboids,1.741503722023638
rhomboids,1.7930365930437318
rhomboids,1.8943736637160118
rhomboids,1.939345923149951
rhomboids,1.9785066648807128
rhomboids,2.2084297543586313
rhomboids,2.3657891880769464
rhomboids,2.934180227422076
rhomboids,2.9485511391229684
rhomboids,3.0506298081009366
rhomboids,3.124456314639784
rhomboids,3.205288355764509
rhomboids,3.230816566925173
rhomboids,3.55396789056836
rhomboids,3.6206968408134252
rhomboids,4.37501362073306
rhomboids,4.6085673386839385
rhomboids,4.983759376251423
rhomboids,4.989076634533613
rhomboids,5.35821674171077
rhomboids,5.490098527381255
rhomboids,5.984136556676404
rhomboids,6.10652373396572
rhomboids,6.860903015826717
rhomboids,7.1778453422089585
rhomboids,7.717588699888409
rhomboids,8.051310201371779
rhomboids,8.506367634198975
rhomboids,8.565103588866238
rhomboids,9.574710557414335
rhomboids,9.971754498523795
rhomboids,10.02291124180242
rhomboids,10.184932789835996
rhomboids,10.677412876339002
rhomboids,10.728341910525561
rhomboids,11.83905601887647
rhomboids,12.74093676265249
rhomboids,13.387042162876904
rhomboids,14.080633996346828
rhomboids,15.367118312142187
rhomboids,21.206905817605804
rhomboids,21.889731489626918
rhomboids,24.84277652687976
spies,-1.6029895486764048
spies,-1.5986758310138593
spies,-1.4363430799574388
spies,-1.2477857148166975
spies,-1.1380519489710132
spies,-1.1217626773523084
spies,-1.0995285273626145
spies,-1.0603812880311867
spies,-1.0472251891298419
spies,-1.0380909069923332
spies,-0.9872138627641189
spies,-0.947897843912472
spies,-0.8357875887875376
spies,-0.8184987187919031
spies,-0.8080592107691639
spies,-0.7464380089594107
spies,-0.6293675671919915
spies,-0.6110040053038291
spies,-0.5947312596750091
spies,-0.5794110865249174
spies,-0.5746723654615196
spies,-0.5726194319933006
spies,-0.5587757634431457
spies,-0.5075099267157458
spies,-0.5056108505560208
spies,-0.5019431593314496
spies,-0.430798704137109
spies,-0.4266608100011605
spies,-0.4109153560554705
spies,-0.3771083069517889
spies,-0.3602546438199094
spies,-0.35990195226305727
spies,-0.3388800894443137
spies,-0.3361304320672637
spies,-0.30003653878567305
spies,-0.2960071407731766
spies,-0.24434121790961205
spies,-0.23213302294906707
spies,-0.2228585633758373
spies,-0.21819322763940688
spies,-0.1946926978303413
spies,-0.1791112550959611
spies,-0.1621714149968858
spies,-0.1531223697971749
spies,-0.14720381335684976
spies,-0.1377922837646831
spies,-0.12916861303221153
spies,-0.0897659074680434
spies,-0.06035913906350944
spies,-0.04825976007179878
spies,-0.014681294541914807
spies,0.0025123433472229663
spies,0.015256145414698788
spies,0.021917102771311894
spies,0.04155168175105538
spies,0.08849939812703758
spies,0.1054370729615145
spies,0.10903633453379646
spies,0.13320978340828912
spies,0.1409215642589663
spies,0.143361110054899
spies,0.2617836342795217
spies,0.31706473114847983
spies,0.32005074942632594
spies,0.36585834498359016
spies,0.4269613514925274
spies,0.43348798931600235
spies,0.4429993957418263
spies,0.44856042842270644
spies,0.47471095501236177
spies,0.5232411701371168
spies,0.5315000779166972
spies,0.553432934263022
spies,0.6893289656729729
spies,0.7155512379279961
spies,0.7972707111247503
spies,0.9015613144004171
spies,0.9184111053458535
spies,0.9310751156725449
spies,0.9416534774558746
spies,0.9988314065317484
spies,1.0489463927371825
spies,1.0501931031564162
spies,1.0712705421354107
spies,1.0847029147737868
spies,1.0901187419148652
spies,1.1053304796980394
spies,1.2030489468864072
spies,1.284441134730118
spies,1.3492260853099547
spies,1.357526905556076
spies,1.4304640076874349
spies,1.507830844613974
spies,1.6100107157300825
spies,1.7120624279790386
spies,1.836017175422271
spies,2.0467744436230197
spies,2.559771554244683
cytopenias,-17.848409900671378
cytopenias,-17.598031875407827
cytopenias,-16.54765677701443
cytopenias,-15.788577589288511
cytopenias,-14.495135028636584
cytopenias,-14.138165873468159
cytopenias,-11.262358788957497
cytopenias,-10.769600048697713
cytopenias,-9.87221587047525
cytopenias,-9.651374833402722
cytopenias,-9.236320201755145
cytopenias,-8.97996995795449
cytopenias,-8.836717371920434
cytopenias,-7.781365810993089
cytopenias,-7.372103822100155
cytopenias,-7.248731187264021
cytopenias,-7.0055522281205445
