mastiffs,augment
snowlines,75.26462313064746
snowlines,83.14427904126313
snowlines,65.56389656959063
snowlines,62.32884793580611
snowlines,82.08882332447105
snowlines,69.38682039682075
snowlines,62.99243990463603
snowlines,75.90452821204774
snowlines,63.05393307361338
snowlines,76.72894709916997
snowlines,74.70747573178139
snowlines,63.038508243779226
snowlines,68.12222681110934
snowlines,81.29665383461985
snowlines,71.82923627702093
snowlines,62.30972945389293
snowlines,82.53291048217068
snowlines,72.26999903709061
snowlines,71.50363171531654
snowlines,64.93628849192753
snowlines,80.78100163259214
snowlines,83.50510618208537
snowlines,79.12181130313921
snowlines,74.10334995711337
snowlines,82.77219171298994
snowlines,75.85917848826232
snowlines,76.44009328857828
snowlines,63.57891851525132
snowlines,72.3819741191248
snowlines,90.8373709102361
snowlines,76.89146898889547
snowlines,75.0174836393173
snowlines,70.85851092415
snowlines,75.32302097886026
snowlines,55.181881835113096
snowlines,54.54778021194775
snowlines,78.7454441281455
snowlines,83.2524516860951
snowlines,69.69785202587406
snowlines,77.66516696509125
snowlines,64.95835652584792
snowlines,73.19002191696092
snowlines,75.45478802234675
snowlines,64.79577145770685
snowlines,63.74413571167143
snowlines,90.28106126146493
snowlines,77.13259913122833
snowlines,79.96234205076198
snowlines,58.27645166041337
snowlines,66.49206766810515
snowlines,83.35660229940864
snowlines,71.362399566816
snowlines,85.91706489698727
snowlines,67.89387418129729
snowlines,72.96188735475121
snowlines,70.44206118905807
snowlines,61.79903706168037
snowlines,68.05336850770213
snowlines,66.03419838954822
snowlines,64.60691409081028
snowlines,77.69938408971788
snowlines,71.5579648603557
snowlines,75.59606536563166
snowlines,67.71084538553951
snowlines,78.7742118574181
snowlines,56.967419044076536
snowlines,60.182726387414235
snowlines,59.80582192511304
snowlines,65.03623534176202
snowlines,71.41208888048972
snowlines,73.62354521709176
snowlines,84.92250394543102
snowlines,72.07157467546655
snowlines,65.56780697780157
snowlines,68.48660297391709
snowlines,86.29634820509449
snowlines,77.78096419480482
snowlines,82.91396209501181
snowlines,67.27171269687669
snowlines,89.43345770870664
snowlines,69.68037196462541
snowlines,71.26842306195965
snowlines,73.99228517051715
snowlines,86.70003852080683
snowlines,65.14376829931463
snowlines,48.30582868290254
snowlines,71.86198772159385
snowlines,71.7582745290355
snowlines,75.11038209186025
snowlines,77.60985190562901
snowlines,61.68302428582198
snowlines,78.68031354878164
snowlines,80.64831855588501
snowlines,73.48520089671224
snowlines,62.04514870208069
snowlines,78.37227393810946
snowlines,82.52316765415479
snowlines,76.89985430070435
snowlines,54.097055684550185
snowlines,67.76388831370089
snowlines,71.8367144171023
snowlines,90.18368278620555
snowlines,77.85850022070703
snowlines,72.24768086190988
snowlines,73.05321000046779
snowlines,78.53641086792706
rhomboids,81.45410073775203
rhomboids,70.0785486988015
rhomboids,73.58817977110823
rhomboids,85.7349374222644
rhomboids,65.95097547137469
rhomboids,68.561605568446
rhomboids,73.46256754808356
rhomboids,73.80073196845514
rhomboids,95.15735907861318
rhomboids,76.79747711883101
rhomboids,70.47799260161565
rhomboids,67.40201796371596
rhomboids,56.555935323687876
rhomboids,69.57879997813848
rhomboids,74.30803617447589
rhomboids,67.47387157988699
rhomboids,72.8057376376202
rhomboids,73.00268694178455
rhomboids,63.27077740064783
rhomboids,71.12695479331774
rhomboids,76.88533566246414
rhomboids,76.7078601180184
rhomboids,73.95235352558755
rhomboids,85.36006285404306
rhomboids,82.10462489094445
rhomboids,64.46780245247801
rhomboids,78.29714208571873
rhomboids,62.60045373601997
rhomboids,78.96394783687535
rhomboids,76.97312314967128
rhomboids,71.55185633543647
rhomboids,57.5958133445767
rhomboids,90.08833258184958
rhomboids,78.75064733585413
rhomboids,76.88077896027275
rhomboids,67.42996235650085
rhomboids,74.78118805412157
rhomboids,70.43950621208894
rhomboids,69.68763368258189
rhomboids,78.36441015666743
rhomboids,66.81816097314272
rhomboids,81.91530791914651
rhomboids,78.7502510313038
rhomboids,71.92545645826426
rhomboids,84.1318002213931
rhomboids,66.4565697530768
rhomboids,75.23000801699351
rhomboids,76.75078282770903
rhomboids,64.19837225151815
rhomboids,81.63896860419483
rhomboids,76.17992256871261
rhomboids,67.34214161528752
rhomboids,82.93986128957823
rhomboids,81.37025149131799
rhomboids,64.66086869690187
rhomboids,77.11472647120208
rhomboids,78.61041660024081
rhomboids,67.04003653249633
rhomboids,71.39483627058243
rhomboids,75.31375423747524
rhomboids,79.72133819212596
rhomboids,70.41411411125603
rhomboids,80.99273882630688
rhomboids,81.8046724224525
rhomboids,98.37322110165489
rhomboids,90.25688403761522
rhomboids,93.21407862660715
rhomboids,73.78208685434346
rhomboids,84.10495500644987
rhomboids,67.1476111342375
rhomboids,88.6628390835602
rhomboids,62.98499688111157
rhomboids,66.168313196294
rhomboids,90.72161124333778
rhomboids,85.26315326290404
rhomboids,76.64121664047742
rhomboids,54.89668307005712
rhomboids,64.8368747922896
rhomboids,84.90188773599412
rhomboids,76.79580636566875
rhomboids,80.5642144782194
rhomboids,79.13111696309538
rhomboids,89.80265705085927
rhomboids,58.57218668349417
rhomboids,58.8263522199061
rhomboids,73.60091367024218
rhomboids,65.24822744820368
rhomboids,70.3384208755884
rhomboids,66.25080174251293
rhomboids,60.33474596299054
rhomboids,79.13263126748417
rhomboids,71.99636923579115
rhomboids,81.87385252491042
rhomboids,74.4640532162032
rhomboids,83.18983887450759
rhomboids,76.51517615770662
rhomboids,71.05034734203063
rhomboids,74.02983775117384
rhomboids,76.21348182237494
rhomboids,77.47161784435887
rhomboids,70.74576214282402
rhomboids,75.97415039457061
rhomboids,74.91391049041667
rhomboids,80.8868754980567
rhomboids,76.44458690887666
rhomboids,88.28990287046655
rhomboids,69.48991091063851
rhomboids,85.19449281086975
rhomboids,74.35812001337568
caramelisation,58.71808645515773
caramelisation,52.7116944181235
caramelisation,84.33067830806439
caramelisation,77.68658716932245
caramelisation,81.07423486719689
caramelisation,80.09030499329728
caramelisation,96.638455431262
caramelisation,73.70843896933665
caramelisation,67.63548859604661
caramelisation,65.66487571216173
caramelisation,64.27823643532844
caramelisation,71.84176827833389
caramelisation,68.92367831472374
caramelisation,61.15937858567202
caramelisation,65.32676157366981
caramelisation,71.99860747056506
caramelisation,76.66370363205911
caramelisation,81.1496974383344
caramelisation,71.69571302956533
caramelisation,86.90344433096782
caramelisation,60.77330382597132
caramelisation,67.89380905658274
caramelisation,75.43809522822347
caramelisation,99.33172391311606
caramelisation,54.56356953201875
caramelisation,82.9961212706947
caramelisation,78.21386043680099
caramelisation,82.45852348962285
caramelisation,57.135438229615524
caramelisation,69.50095466812084
caramelisation,61.59518452574261
caramelisation,86.70718494771981
caramelisation,69.57777234508777
caramelisation,56.41252897162383
caramelisation,70.9446670031141
caramelisation,77.55015427841072
caramelisation,71.36319750826694
