perennibranch,azithromycin
snowlines,84.66479132572783
snowlines,82.1980521490157
snowlines,88.4301889983567
snowlines,87.29627441848446
snowlines,85.43980345646885
snowlines,87.26916001451167
snowlines,85.56547696002214
snowlines,88.17376160186329
snowlines,90.55990552306426
snowlines,80.54352128835018
snowlines,92.24042819353552
snowlines,75.51360347874906
snowlines,94.27199533276375
snowlines,72.05206642974035
snowlines,84.2872817098109
snowlines,94.12928260043634
snowlines,104.36338095966184
snowlines,82.2520097104817
snowlines,83.16437074325675
snowlines,83.8769428202824
snowlines,89.831864722779
snowlines,85.44218883201073
snowlines,78.12742806467335
snowlines,89.8325975780073
snowlines,82.41523240372018
snowlines,82.59702528417101
snowlines,91.8210172918701
snowlines,90.15004260825263
snowlines,89.76762386459654
snowlines,81.99933518847497
snowlines,84.86289683119843
snowlines,79.5700737592609
snowlines,91.11247884944837
snowlines,84.32543361169982
snowlines,72.82996848050443
snowlines,86.80256473787216
snowlines,87.61872379588401
snowlines,83.01450007338379
snowlines,94.5276997650821
snowlines,74.63994769120615
snowlines,83.89694024262954
snowlines,89.61762918059063
snowlines,85.27400064029406
snowlines,86.34725688120139
snowlines,81.61306757931322
snowlines,88.61504063525197
snowlines,81.31244623745665
snowlines,91.062253601818
snowlines,78.57796330782585
snowlines,87.18400568880293
snowlines,86.22327385231426
snowlines,82.16799899493694
snowlines,81.58933880272993
snowlines,93.68088399723554
snowlines,79.86534524447333
snowlines,84.8210271517398
snowlines,93.66094256166426
snowlines,99.95443897452463
snowlines,78.31349114215456
snowlines,79.79506073500046
snowlines,84.46997279492699
snowlines,85.05305133358856
snowlines,86.92984006475396
snowlines,89.57930977169295
snowlines,83.3624963185944
snowlines,86.88260011058108
snowlines,88.47762169029957
snowlines,90.04168746654057
snowlines,84.79551359098801
snowlines,86.9302831987139
snowlines,84.02227135636977
snowlines,87.7516038320805
snowlines,84.1896391749302
snowlines,81.31044987221019
snowlines,87.06891642958911
snowlines,93.81176685835685
snowlines,83.26186259369905
snowlines,77.84767397166013
snowlines,89.15673841950841
snowlines,79.05063730214005
snowlines,82.6250684562737
snowlines,84.81612747084321
snowlines,86.04847802004659
snowlines,70.91280642573592
snowlines,81.93786848117671
snowlines,94.84688310621861
snowlines,86.9329558513995
snowlines,82.781158366578
snowlines,75.75546125212212
snowlines,71.67444487268047
snowlines,85.82418289086698
snowlines,81.69512374251012
snowlines,90.14872739765065
snowlines,80.00139420699055
snowlines,87.874008084175
snowlines,75.99017005433988
snowlines,92.94773102337551
snowlines,96.00675349433716
snowlines,80.00667707456817
snowlines,78.75982608765445
snowlines,80.40330650228421
snowlines,78.96326899205073
snowlines,81.7365359044019
snowlines,92.8610836462118
snowlines,84.59109826042533
snowlines,84.95971301631184
snowlines,81.95700035063098
snowlines,82.34854659358693
snowlines,85.75643365189741
snowlines,90.34530468501887
cytopenias,93.46170294928972
cytopenias,87.99460763976371
cytopenias,89.01771123667191
cytopenias,71.90112626214001
cytopenias,85.97387193865833
cytopenias,92.85199735748517
cytopenias,90.89292132851328
cytopenias,78.97425413879245
cytopenias,84.99166179889033
cytopenias,81.68016036188837
cytopenias,87.32776457770856
cytopenias,86.42974178211614
cytopenias,84.55612934017877
cytopenias,83.07983392764005
cytopenias,84.05238684685129
cytopenias,74.27420984765534
cytopenias,79.0684714515463
cytopenias,76.85475750163845
cytopenias,92.70004711512321
cytopenias,85.44283054085115
cytopenias,83.41411104410608
cytopenias,79.78483284651813
cytopenias,71.36683640559654
cytopenias,85.64765771344437
cytopenias,84.76684270150416
cytopenias,77.10643449877087
cytopenias,79.81979305942409
cytopenias,83.55828259553877
cytopenias,78.61614664788294
cytopenias,71.2340992485128
cytopenias,83.10449745217778
cytopenias,85.77960797767255
cytopenias,88.30228824956363
cytopenias,85.45234468609429
cytopenias,91.3376478213373
cytopenias,89.97362543895422
cytopenias,88.42674202106198
cytopenias,79.20866732002645
cytopenias,86.01020273078328
cytopenias,82.42311761712314
cytopenias,78.57902697045762
cytopenias,79.08016066762191
cytopenias,80.28041334982885
cytopenias,78.66406030221172
cytopenias,80.70547052320924
cytopenias,87.16997490252284
cytopenias,91.79882423644426
cytopenias,88.37566107964625
cytopenias,78.21524145876074
cytopenias,90.40069708544907
cytopenias,88.39398862644893
cytopenias,82.38211685233172
cytopenias,82.01355862455715
cytopenias,81.15184103175886
cytopenias,84.52205421796215
cytopenias,83.08061240834942
cytopenias,96.27939516510182
cytopenias,84.57475327020123
cytopenias,87.74991868105643
cytopenias,86.76522063020899
cytopenias,93.15211208619455
cytopenias,80.61940490481565
cytopenias,75.63518550261955
cytopenias,90.04394587211289
cytopenias,94.67098151562585
cytopenias,89.47308295549033
cytopenias,86.29745469193897
cytopenias,76.98161052376044
cytopenias,89.75130574611337
cytopenias,91.42162098784841
cytopenias,91.0491872471517
cytopenias,80.50667236053489
cytopenias,73.71205850723847
cytopenias,80.09529028284598
cytopenias,90.83063635597725
cytopenias,88.19939647067217
cytopenias,84.02785340769907
cytopenias,86.07848415793018
cytopenias,76.00471523913981
cytopenias,74.78156125017631
cytopenias,85.38882674940164
cytopenias,81.26770220940547
cytopenias,71.6005038810005
cytopenias,80.25408080210252
cytopenias,72.31058458863984
cytopenias,86.74383823621064
cytopenias,80.42180481141439
cytopenias,86.68545178665761
cytopenias,92.63658773936854
cytopenias,103.87848174202333
caramelisation,80.47643501501035
caramelisation,81.69768324160918
caramelisation,79.00644741912357
caramelisation,74.27434602562549
caramelisation,80.58298414933017
caramelisation,76.49231119845473
caramelisation,76.06303159665178
caramelisation,75.93125362037607
caramelisation,91.15483156261124
caramelisation,62.253343994619925
caramelisation,88.54510137512332
caramelisation,75.44567386712359
caramelisation,90.91239824784147
caramelisation,83.49883871021292
caramelisation,84.99477465362047
caramelisation,85.65512313094354
caramelisation,74.80247949327136
caramelisation,68.6491169402277
caramelisation,85.26819819757885
caramelisation,83.51819925980139
caramelisation,79.68988738810435
caramelisation,73.47839905875561
caramelisation,90.31630926262855
caramelisation,89.8091820741778
caramelisation,80.93838305541065
caramelisation,68.56912902066598
caramelisation,82.5803715611319
caramelisation,73.79047437628074
caramelisation,76.12704375886744
caramelisation,88.72997899006451
caramelisation,81.79198283746008
caramelisation,83.2250413985609
caramelisation,78.84201813526272
caramelisation,80.59150145763657
caramelisation,72.99223535541398
caramelisation,80.65920477460175
caramelisation,74.70805423994175
caramelisation,80.25538434369916
caramelisation,85.76498868699
caramelisation,82.1257651224221
caramelisation,79.86666264823661
caramelisation,80.01839221738045
caramelisation,76.38019756783513
caramelisation,77.82018522748697
caramelisation,77.70152967644316
caramelisation,68.24428270780952
caramelisation,67.05216237474107
caramelisation,79.526068828643
caramelisation,78.20764079021365
caramelisation,75.9566666070684
caramelisation,82.46660782515511
caramelisation,76.90573923218837
caramelisation,89.63573771847066
caramelisation,85.81741720358191
caramelisation,71.14140192302952
caramelisation,79.2906642138992
caramelisation,87.12110675505528
caramelisation,66.07970799636651
caramelisation,85.6021010397434
caramelisation,80.40606438639509
caramelisation,74.98057179763195
caramelisation,83.85783911984784
caramelisation,87.58167702157982
caramelisation,95.58133999733604
caramelisation,88.12145005572133
caramelisation,80.0461873826397
caramelisation,88.88707836046694
caramelisation,79.61180495885459
caramelisation,67.22203119902666
caramelisation,82.88992618645293
caramelisation,82.23660863533104
caramelisation,79.86104253582627
caramelisation,67.41718640414577
caramelisation,73.38218561082812
caramelisation,90.58639119214502
caramelisation,76.01206438414796
caramelisation,81.01838375670577
caramelisation,74.59077006469535
caramelisation,74.88989598220965
caramelisation,74.07240264929024
caramelisation,81.77032950721025
caramelisation,77.08620619430545
caramelisation,84.63021315179779
caramelisation,82.62360863105113
caramelisation,66.75169756848709
caramelisation,78.6912692378899
caramelisation,77.82045272263763
caramelisation,79.72066342276072
caramelisation,65.32268250055112
caramelisation,78.95952079468715
caramelisation,84.47378100674334
caramelisation,78.11345962413617
caramelisation,88.89447855688589
