lungers,filibusters
mastiffs,-22.126084350619326
mastiffs,-18.416676430926348
mastiffs,-15.095762169870122
mastiffs,-14.605669931518236
mastiffs,-14.600428422447408
mastiffs,-14.138114191930207
mastiffs,-12.981085590905096
mastiffs,-12.731725924014416
mastiffs,-12.624840464338236
mastiffs,-12.453695584081116
mastiffs,-12.443695056217631
mastiffs,-11.857831510728941
mastiffs,-11.670677593333744
mastiffs,-10.858699411977678
mastiffs,-10.335487785722382
mastiffs,-9.629360205192889
mastiffs,-9.288829358324225
mastiffs,-8.468562663275936
mastiffs,-7.852413866229851
mastiffs,-7.38761114974557
mastiffs,-7.290680024182689
mastiffs,-7.147517466103161
mastiffs,-7.052957642480631
mastiffs,-6.225906785724689
mastiffs,-5.978213554158222
mastiffs,-5.7760178676152725
mastiffs,-5.531848760337193
mastiffs,-5.477231442752915
mastiffs,-5.227508559904566
mastiffs,-4.4796314050842945
mastiffs,-4.015794699944247
mastiffs,-3.9045944853525656
mastiffs,-3.641988727055493
mastiffs,-3.608133532653169
mastiffs,-3.56543930276312
mastiffs,-3.3792128301150703
mastiffs,-3.367520233643361
mastiffs,-3.2743111636698843
mastiffs,-2.972466781329424
mastiffs,-2.913027182492576
mastiffs,-2.176285034282567
mastiffs,-2.076998573968693
mastiffs,-2.0721557499904857
mastiffs,-1.4412458026937547
mastiffs,-1.387410673779035
mastiffs,-1.3790848220584262
mastiffs,-1.2632186398183105
mastiffs,-1.2215344666514758
mastiffs,-0.4405494028939753
mastiffs,-0.4362765413381516
mastiffs,-0.1662141039015682
mastiffs,0.1543655768553555
mastiffs,0.5223322784601063
mastiffs,0.7141964746613423
mastiffs,1.0072394442978072
mastiffs,1.0135076736482516
mastiffs,1.0807738644005567
mastiffs,1.1881259879863661
mastiffs,1.3366449176422261
mastiffs,1.7428077979061543
mastiffs,1.7654453359681646
mastiffs,1.8011292757337551
mastiffs,1.873740978038973
mastiffs,2.0369790077862575
mastiffs,2.277333600083935
mastiffs,2.487093508659871
mastiffs,2.528138498069929
mastiffs,2.9386548101618275
mastiffs,3.11617007415646
mastiffs,3.3153650323990154
mastiffs,3.4139723337080152
mastiffs,3.6777986285193185
mastiffs,3.7664381100821123
mastiffs,3.9069862581453343
mastiffs,4.104049884495826
mastiffs,4.253733252922304
mastiffs,4.350772289906608
mastiffs,4.4958766836368875
mastiffs,4.54720566559461
mastiffs,4.634790118662154
mastiffs,5.122038851274189
mastiffs,5.138085878476499
mastiffs,5.239625506952298
mastiffs,5.378587803123549
mastiffs,5.732877130352383
mastiffs,5.790590907721152
mastiffs,5.90803251420352
mastiffs,6.038517665950324
mastiffs,7.132075360952627
mastiffs,7.519356556375205
mastiffs,7.894296700009345
mastiffs,8.281796123176578
mastiffs,8.639751621612557
mastiffs,8.685510188366464
mastiffs,9.015367141861775
mastiffs,9.357527711772043
mastiffs,10.201942581164932
mastiffs,10.836145424184284
mastiffs,11.071719997358626
mastiffs,12.381631989242203
mastiffs,13.404620297038845
mastiffs,14.19091649627354
mastiffs,16.690510584024604
mastiffs,20.21541041257312
perennibranch,-1.1794193535425925
perennibranch,-1.0962471104874485
perennibranch,-1.0055716817305336
perennibranch,-0.9515101573184267
perennibranch,-0.9192410367554508
perennibranch,-0.8679418557216244
perennibranch,-0.7751855236634829
perennibranch,-0.714354696233887
perennibranch,-0.7138369070955789
perennibranch,-0.6990927879042927
perennibranch,-0.6324395899831089
perennibranch,-0.61742758535863
perennibranch,-0.6055721539020199
