x,y,label
-128.022,-30.311236586847283,snowlines
-127.019,-64.3407159192169,snowlines
-126.017,-43.999987502570626,snowlines
-125.014,-46.23147272452413,snowlines
-124.011,-20.35032111320612,snowlines
-123.008,-30.35913218644985,snowlines
-122.006,24.38926198371418,snowlines
-121.003,-27.814919353265594,snowlines
-120.0,-6.639566034422179,snowlines
-118.997,8.435070323992504,snowlines
-117.995,-23.861518494913785,snowlines
-116.992,1.0769451416034332,snowlines
-115.989,13.605595284267382,snowlines
-114.986,-0.9112310466062729,snowlines
-113.984,-14.609381290141453,snowlines
-112.981,-8.76327424247659,snowlines
-111.978,-9.987916858395938,snowlines
-110.975,-1.69049394012311,snowlines
-109.973,2.4557765981288973,snowlines
-108.97,-24.44223416124947,snowlines
-107.967,30.634560338929987,snowlines
-106.964,-36.414119864795936,snowlines
-105.962,-2.471464628452485,snowlines
-104.959,1.50968088537876,snowlines
-103.956,-0.2274354332530919,snowlines
-102.953,14.780778243989305,snowlines
-101.951,-9.653895535578009,snowlines
-100.948,-8.273203864430968,snowlines
-99.945,2.381528860352301,snowlines
-98.942,-32.1005909870898,snowlines
-97.94,-26.916650374573656,snowlines
-96.937,-15.101317784038864,snowlines
-95.934,-32.33261291248917,snowlines
-94.931,-8.329393084397157,snowlines
-93.929,4.3638881516024215,snowlines
-92.926,-15.488924705856139,snowlines
-91.923,-11.661752674963871,snowlines
-90.92,5.379390112014353,snowlines
-89.918,-10.003193247694337,snowlines
-88.915,-7.279255552352385,snowlines
-87.912,-19.66724575298097,snowlines
-86.91,-20.51182466722529,snowlines
-85.907,-21.804099808592763,snowlines
-84.904,29.52571238406688,snowlines
-83.901,-46.47118892241056,snowlines
-82.899,5.575576282949124,snowlines
-81.896,44.80654348785713,snowlines
-80.893,4.113210303843469,snowlines
-79.89,-1.5938434625793434,snowlines
-78.888,-2.5461778645054753,snowlines
-77.885,8.616135397459422,snowlines
-76.882,-21.574956230363288,snowlines
-75.879,1.0806468652483723,snowlines
-74.877,5.632904512612433,snowlines
-73.874,-6.1867990547613845,snowlines
-72.871,-9.256343711322481,snowlines
-71.868,-40.82947742484022,snowlines
-70.866,-11.897014794027706,snowlines
-69.863,-28.613621127916666,snowlines
-68.86,-15.637255225159723,snowlines
-67.857,-7.132253952123855,snowlines
-66.855,23.246940579472174,snowlines
-65.852,-3.990046333537933,snowlines
-64.849,23.596229566065134,snowlines
-63.846,-5.305629972193438,snowlines
-62.844,-11.917800798865391,snowlines
-61.841,-3.4838695491450826,snowlines
-60.838,14.672321861757407,snowlines
-59.835,-22.573885565794356,snowlines
-58.833,-3.9401847190873798,snowlines
-57.83,5.735509887454764,snowlines
-56.827,-11.092715131100313,snowlines
-55.824,-2.2839788422892084,snowlines
-54.822,13.150783756125193,snowlines
-53.819,-36.188055782918745,snowlines
-52.816,-28.864604934941394,snowlines
-51.813,-21.84499506559938,snowlines
-50.811,-6.994594101870649,snowlines
-49.808,21.479969022843203,snowlines
-48.805,29.440950291175334,snowlines
-47.802,-5.207326784177612,snowlines
-46.8,-9.365294908741056,snowlines
-45.797,4.842354011901895,snowlines
-44.794,40.12806249505641,snowlines
-43.791,-64.42593918050477,snowlines
-42.789,-11.301209776794629,snowlines
-41.786,-3.956941305390277,snowlines
-40.783,7.596256858708651,snowlines
-39.78,5.1438312188074615,snowlines
-38.778,-0.8520993554921621,snowlines
-37.775,-6.930146697235042,snowlines
-36.772,-1.2595907243485116,snowlines
-35.769,-19.783387551202562,snowlines
-34.767,-16.112113104218555,snowlines
