augment,limey
streptothricin,75.12808724286586
streptothricin,80.60687090490259
streptothricin,78.11860771005408
streptothricin,75.30636386475618
streptothricin,77.63976201253223
streptothricin,82.04803161767784
streptothricin,80.48615720061164
streptothricin,76.30348516333851
streptothricin,75.92221477431497
streptothricin,82.72326623094196
streptothricin,83.72224368658252
streptothricin,76.6113785935082
streptothricin,75.52155873405641
streptothricin,83.90965617431357
streptothricin,76.60475438433893
streptothricin,76.17613993031068
streptothricin,86.81388739610435
streptothricin,79.14920212031932
streptothricin,75.76835262697792
streptothricin,78.57331788356255
streptothricin,78.2755912229712
streptothricin,81.09975968623225
streptothricin,72.3994911671099
streptothricin,76.68366455575334
streptothricin,74.78665439930394
streptothricin,79.09820854928267
streptothricin,78.91099821111081
streptothricin,85.26780281380789
streptothricin,79.17514237284527
streptothricin,80.50435193706747
streptothricin,76.7478845466561
streptothricin,79.57140724802865
streptothricin,82.69903567230915
streptothricin,79.0342003381107
streptothricin,76.03265240732236
streptothricin,85.75232827824759
streptothricin,79.48350136589931
streptothricin,81.07483427410159
streptothricin,74.08561193631039
streptothricin,83.05333809674714
streptothricin,83.59822438302
streptothricin,81.02487365746522
streptothricin,79.43083894145944
streptothricin,74.23891952407298
streptothricin,81.59695147503989
streptothricin,76.33781775202112
streptothricin,86.7316568495427
streptothricin,81.49749450430228
streptothricin,80.2753302206825
streptothricin,77.63708997585621
streptothricin,91.91549207471117
streptothricin,78.98156888299347
streptothricin,82.1377977884905
streptothricin,84.19054947961556
streptothricin,87.70921185254518
streptothricin,83.42546541696855
streptothricin,81.24444223797899
streptothricin,79.21861380301343
streptothricin,72.1008194757085
streptothricin,75.13927263339377
streptothricin,82.01352475568626
streptothricin,80.51613857819163
streptothricin,82.72239025158238
streptothricin,76.26602611223994
streptothricin,80.381689433818
streptothricin,77.56885305449681
streptothricin,83.99667969528558
streptothricin,75.41170707875564
streptothricin,81.34990575929005
streptothricin,78.49057066456456
streptothricin,76.6255002725951
streptothricin,83.26489987540404
streptothricin,81.12248425813914
streptothricin,75.7446319082117
streptothricin,80.84160358159963
streptothricin,85.81628895370218
streptothricin,76.93976946858521
streptothricin,74.61595512694538
streptothricin,82.54531605607154
streptothricin,84.16387262268759
streptothricin,79.23136558274373
streptothricin,87.55967597652659
streptothricin,76.52299355326655
streptothricin,79.69074952010806
streptothricin,76.88996473594706
streptothricin,70.76068751833877
streptothricin,84.4382152673107
streptothricin,79.96723392451166
streptothricin,84.53493278301436
streptothricin,80.06007088969903
streptothricin,77.09286068278611
streptothricin,81.07927252907554
streptothricin,80.22445909730634
streptothricin,80.31340032384506
streptothricin,81.39748246714484
streptothricin,73.78919023374954
streptothricin,79.82042447527306
streptothricin,71.47086872538655
streptothricin,78.65063637907758
streptothricin,78.46627664908937
streptothricin,83.82193940832671
streptothricin,76.61064451163963
streptothricin,78.4504775778012
streptothricin,78.32320140590072
streptothricin,88.10047336496334
snowlines,81.73280629308243
snowlines,80.27261924092286
snowlines,84.13114201695156
snowlines,81.36570993921404
snowlines,76.09856610612576
snowlines,82.66064756576303
snowlines,77.27109893427877
snowlines,83.12046687182877
snowlines,77.74973801990544
snowlines,80.33842668444619
snowlines,82.88451344778112
snowlines,81.93923759801106
snowlines,83.24745794161369
snowlines,79.89703171800647
snowlines,75.59257611406201
snowlines,88.66600306436219
snowlines,80.5240596590256
snowlines,76.04102567795215
snowlines,78.33304807503481
snowlines,84.03865422862242
snowlines,78.86059040010463
snowlines,86.37504479374368
snowlines,77.11375306128784
snowlines,82.91137696345909
snowlines,77.24582997233728
snowlines,78.09864256980418
snowlines,79.98451638447818
snowlines,80.95155528357917
snowlines,81.2198499877222
snowlines,81.08438473621777
snowlines,82.01298637677284
snowlines,80.59259519653605
snowlines,78.24668618116286
snowlines,87.143838282501
snowlines,82.04778901650718
snowlines,79.05911034351666
snowlines,76.68444875932866
snowlines,80.17527526226013
snowlines,73.72879470099369
snowlines,81.26547742460018
snowlines,76.24497478279108
snowlines,77.4799090945445
snowlines,83.3349662866685
snowlines,83.86342699696127
snowlines,74.11409291511674
snowlines,90.67997415415019
snowlines,72.51328308330223
snowlines,82.14944955034107
snowlines,75.88778141719973
snowlines,81.63490026680878
snowlines,78.39318600597835
snowlines,83.22346946532024
snowlines,76.47574208260932
snowlines,81.83878051999909
snowlines,83.76617091825707
snowlines,81.32673562764435
snowlines,83.70925746919055
snowlines,77.86966213716342
snowlines,77.7121069188892
snowlines,87.86870899567188
snowlines,74.63815512999261
snowlines,79.90209180794861
snowlines,78.43827498340788
snowlines,74.90860557968044
snowlines,73.52895898400683
snowlines,85.17212282255028
snowlines,84.7355190061684
snowlines,80.54538099873277
snowlines,79.49572608676867
snowlines,70.70530683341417
snowlines,77.05619437825642
snowlines,84.12665310501177
snowlines,81.39284131287144
snowlines,75.90497151897512
snowlines,74.38853916339608
snowlines,83.5923174051229
snowlines,79.0320076046824
snowlines,83.63590166889021
snowlines,80.87238067085337
snowlines,76.25414086622114
snowlines,82.24093014249036
snowlines,77.37181962483731
snowlines,82.72753383141105
snowlines,73.19880647397869
snowlines,73.10025677726182
snowlines,81.13271844635145
snowlines,84.34032460160849
snowlines,85.79787037051717
snowlines,75.63958647130185
snowlines,76.24243722345552
snowlines,82.28732744896499
