x_substitutes,y_substitutes,x_biblioclast,y_biblioclast,x_filibusters,y_filibusters
-5.294,-15.76993917867581,-2.464,-8.151745697002493,-0.538,19.77420536409286
4.6,-10.34713299185665,3.635,-15.084023934405193,-1.699,-30.277671937166236
9.56,12.088394774233379,-0.748,6.695076752352747,0.354,63.40055480708293
4.247,-12.922778659409644,0.907,16.88692337623049,-4.067,-52.22860211840117
-3.666,-3.209257175910124,-0.059,7.068634766892236,2.985,8.111870006929852
-0.163,24.030794239348676,-0.421,-17.61229566117401,4.088,-16.373808604666323
-0.429,4.795833142382817,2.675,-5.193131087574663,-0.088,40.59883994018017
0.0,-17.90633453995357,-26.995,4.8093252572282505,-0.149,15.65301461626111
6.573,12.029969083650796,-4.814,-11.29625214969101,0.037,22.21970851580044
2.589,23.66860049470126,-3.866,1.2835612598986614,2.768,9.960600255862792
1.533,-34.87961904547606,8.158,-17.795267821430805,7.641,-8.472920508630427
-0.778,14.870614423383383,-4.286,17.419076656540142,16.369,-21.11530801882303
9.28,15.836104097842945,2.309,16.03519766764743,2.305,16.812126431939863
-2.68,9.600145178529065,6.514,-21.424388494539574,4.832,7.792771495640681
1.746,10.014814867300629,1.146,12.154402354281407,-0.206,55.566736288950025
1.357,-30.701089877100358,2.939,-5.206676347352093,4.858,-12.19229382409328
0.601,0.03137126171349136,1.604,-9.438875789121294,-1.099,-26.62521994049226
-4.663,12.84982648944073,-0.091,-3.6933413868477922,-0.204,9.85278641580561
7.659,17.08435141638552,1.506,-7.751679688545368,0.949,-36.26631830166088
-0.442,-6.357024321255729,-6.095,0.5937828866669795,11.014,-12.82515885482036
22.212,-11.528602435762629,-0.154,-20.333549787009172,-0.045,-12.37852327360512
-10.774,-1.898494478856986,-9.024,-6.1035217357022375,-6.543,-27.62665066180887
-1.059,-41.39141448858705,-10.52,-19.091897595589998,-3.604,16.197764201085057
7.461,-1.6616189544636333,0.202,-21.235639580792977,-0.94,-1.673116319130246
1.27,-5.678598402042429,-1.825,-6.738989726543209,-4.389,10.44528615224769
0.061,4.262347721160288,-13.821,16.314637706438866,1.374,-43.81281106501962
-2.138,8.943205093762762,-1.693,-0.3567505543513856,-4.03,16.780681151556717
2.8,3.379073930308343,-3.235,5.333495884974511,2.651,-3.0468821377236637
0.43,-5.616126646595271,-8.535,21.45764866752408,-3.254,-28.91846537079872
5.124,-14.74901348587441,4.232,-2.9334825898032815,1.416,-36.67587928179618
-2.597,-5.3456538036122065,-1.391,14.37637009294719,-0.906,17.367934415264255
-1.725,-14.333406062087732,8.047,19.197724726832487,-1.121,-11.804117081346801
-4.065,-10.764400370212654,1.441,0.2742483328630032,-0.942,37.413574050339975
-8.37,21.591994430707235,-1.174,0.12194422543318284,8.426,-1.556218831576924
-0.594,-2.12759831224465,5.892,6.780147663696528,3.843,-8.770688325713854
