snowlines,fluor-spar
streptothricin,-11.637552872902084
streptothricin,-11.430108367265154
streptothricin,-9.622623980921365
streptothricin,-8.522533995096415
streptothricin,-8.3450247416027
streptothricin,-8.243639835969484
streptothricin,-7.91103142059595
streptothricin,-7.832027599211515
streptothricin,-7.201839966755375
streptothricin,-6.900021704536927
streptothricin,-6.3868219027472
streptothricin,-6.2662039650125285
streptothricin,-6.02263992544275
streptothricin,-5.994419636542612
streptothricin,-5.979546368309422
streptothricin,-5.841375763063206
streptothricin,-5.645101255567559
streptothricin,-5.375364592385878
streptothricin,-5.368051970671867
streptothricin,-4.987553193163819
streptothricin,-4.923377420776622
streptothricin,-4.615064653388244
streptothricin,-4.220009929414097
streptothricin,-4.164758034731693
streptothricin,-4.156395854941531
streptothricin,-3.9032104162952765
streptothricin,-3.382256176303708
streptothricin,-3.148453869864561
streptothricin,-3.046106108966975
streptothricin,-3.0183239714413173
streptothricin,-2.9351138206076977
streptothricin,-2.9221551514544473
streptothricin,-2.8504552974047304
streptothricin,-2.705727957041914
streptothricin,-2.6463381201140312
streptothricin,-2.212233164173645
streptothricin,-1.8675780986505046
streptothricin,-1.8636129614443884
streptothricin,-1.848793239304803
streptothricin,-1.448884408085714
streptothricin,-1.3722417756754026
streptothricin,-1.3617716053945348
streptothricin,-1.2914632894909257
streptothricin,-1.2804526751839433
streptothricin,-1.1696016089901027
streptothricin,-1.1194815240700073
streptothricin,-0.7628517931230061
streptothricin,-0.24295179540388218
streptothricin,-0.14143026423540458
streptothricin,0.0832732972975318
streptothricin,0.11992340943758255
streptothricin,0.17432422755913343
streptothricin,0.26623683728465874
streptothricin,0.34117074378086576
streptothricin,0.3809921518748033
streptothricin,0.4302330895566878
streptothricin,0.46371084904005266
streptothricin,0.515776713810494
streptothricin,0.5245927549663191
streptothricin,0.5849882449303092
streptothricin,0.6620993543894904
streptothricin,0.6711837304076717
streptothricin,0.7180858905331025
streptothricin,0.8418590012050851
streptothricin,0.8950668112678852
streptothricin,0.9738443230177345
streptothricin,1.0255258443998652
streptothricin,1.2935061571862059
streptothricin,1.3359406302368775
streptothricin,1.3689896789067884
streptothricin,1.3755947395793133
streptothricin,1.550047137563056
streptothricin,1.5504124722142927
streptothricin,1.5512585968396582
streptothricin,1.596950692906368
streptothricin,1.6473529205216546
streptothricin,1.7583639193292013
streptothricin,2.0282322934580903
streptothricin,2.0724992187823466
streptothricin,2.4354313576636173
streptothricin,2.4361927517857196
streptothricin,2.559481982652767
streptothricin,2.9806467909570036
streptothricin,2.9903070050180562
streptothricin,3.317855966254799
streptothricin,3.3632098602767457
streptothricin,3.7494194954297027
streptothricin,3.88296250639458
streptothricin,3.9654019957044566
streptothricin,4.0450453239750646
streptothricin,4.069620839041709
streptothricin,4.140240942417962
streptothricin,4.5674005121215355
streptothricin,4.664063767290243
streptothricin,5.124964518063758
streptothricin,5.1717497374173185
streptothricin,5.60350324662626
streptothricin,5.6163056991820355
streptothricin,5.62412175408502
streptothricin,5.6339394527368185
streptothricin,6.313732219395885
streptothricin,6.781739850483105
streptothricin,6.97487670606203
streptothricin,7.088843858256586
