spies,bull-tongue
dissection,-0.6802699852153666
dissection,-0.669566974766883
dissection,-0.5423035138946916
dissection,-0.4322333580043119
dissection,-0.39085670443383563
dissection,-0.38102672377288965
dissection,-0.32934955536696997
dissection,-0.3221143259469513
dissection,-0.308940520913082
dissection,-0.3010018168246781
dissection,-0.2795799210515462
dissection,-0.27869106282534317
dissection,-0.2765158463735954
dissection,-0.26982126803146234
dissection,-0.2676245940737996
dissection,-0.2548218124985585
dissection,-0.25116375388830525
dissection,-0.24650865366772867
dissection,-0.2448096896910023
dissection,-0.23654606092151018
dissection,-0.23272970757956765
dissection,-0.2238539382110321
dissection,-0.22295462299580449
dissection,-0.21844898667095358
dissection,-0.17441972463857866
dissection,-0.15836553730991576
dissection,-0.15618165390382027
dissection,-0.1404968947749523
dissection,-0.13346930497636744
dissection,-0.12449967169148757
dissection,-0.12427127109604508
dissection,-0.12253988514004642
dissection,-0.11546571584442661
dissection,-0.10590912748333432
dissection,-0.09944078691192355
dissection,-0.0987888508214106
dissection,-0.08778914539286989
dissection,-0.08705341520030112
dissection,-0.0822483317081482
dissection,-0.07999258771923967
dissection,-0.07071186042309728
dissection,-0.06217249914201987
dissection,-0.05136157275408833
dissection,-0.047589953020690065
dissection,-0.04674897870971246
dissection,-0.038607813855124365
dissection,-0.03761582355755495
dissection,-0.024989042160974178
dissection,-0.01106738266518025
dissection,-0.0023171065418439076
dissection,0.01947037576355303
dissection,0.025624880305547208
dissection,0.03765053313588527
dissection,0.0479146931441895
dissection,0.0575338145557486
dissection,0.0595510622418768
dissection,0.060222782973000995
dissection,0.0625232553996156
dissection,0.06572595013305856
dissection,0.07174667879274424
dissection,0.07786643792016294
dissection,0.08129820987168235
dissection,0.08463312415095033
dissection,0.0865854660099543
dissection,0.163516797423495
dissection,0.16391385696128274
dissection,0.17388062503344845
dissection,0.1762397903357494
dissection,0.17836167889097945
dissection,0.184471940575199
dissection,0.18668254423210678
dissection,0.20575319361177033
dissection,0.20974183674289995
dissection,0.2160515947367232
dissection,0.2183798711411044
dissection,0.24798068528274234
dissection,0.26403962555088994
dissection,0.2692432485611003
dissection,0.2777194029288817
dissection,0.2846245135811088
dissection,0.30761370539112187
dissection,0.3085666134651552
dissection,0.3094690249248493
dissection,0.31491647363068315
dissection,0.3161389324753751
dissection,0.32423827646654735
dissection,0.3349182997841532
dissection,0.3370293565999466
dissection,0.34291774512866385
dissection,0.366595562556824
dissection,0.3790301106746268
dissection,0.4357287357350462
dissection,0.4370021960965144
dissection,0.4512121087158032
dissection,0.5822515821754978
dissection,0.7223177134223396
augment,-9.086672191054248
augment,-8.339874768057854
augment,-8.192427007743385
augment,-7.357677846359249
augment,-6.834695147161865
augment,-6.741729004327557
augment,-6.186250326269423
augment,-6.008950571479462
augment,-5.689567606136589
augment,-5.592259023054459
augment,-5.401914733809477
augment,-5.1545754799572165
augment,-4.720916398882422
augment,-4.63987369509843
augment,-4.490389530034903
augment,-4.435428636657964
augment,-4.260223402631185
augment,-4.115893761604934
augment,-4.064089739624695
augment,-3.893300513527979
augment,-3.2529697342931994
augment,-3.2528053655775744
augment,-3.1914412615549015
augment,-2.987183828527661
augment,-2.9837653045133643
augment,-2.941107208328976
augment,-2.48833840976053
augment,-2.437004046334702
augment,-2.2703535749749726
augment,-2.1888402471043737
augment,-2.081653171731533
augment,-2.0156303692130124
augment,-1.7370233605922518
augment,-1.5852634362608085
augment,-1.571723733950925
augment,-1.5702496090780265
augment,-0.5248109943797017
augment,-0.47568711816557585
augment,-0.4700157151296977
augment,-0.4515810783470328
augment,-0.3907145693462351
augment,-0.32662162015121576
augment,-0.30481647395537653
augment,-0.2557009844814475
augment,-0.20977328263195824
augment,-0.2018147554089786
augment,-0.18194149969213594
augment,-0.17449229490529197
augment,-0.15184958476493107
augment,-0.12794095275849593
augment,-0.06132238114639445
augment,-0.008001319873862777
augment,0.06302003901350539
augment,0.3459432598966101
augment,0.5699346089492515
augment,0.650293670288649
augment,0.8363142257154784
augment,0.9768255368883254
augment,1.024720446888623
augment,1.0301759512835997
augment,1.0854124428735206
augment,1.4146046242190105
augment,1.4417735238499823
augment,1.4768350575138018
augment,1.4904861216655472
augment,1.5985554025178565
augment,1.6172136899894696
augment,2.065869451403184
augment,2.073244925706112
augment,2.1977663594330368
augment,2.3019266897952457
augment,2.311836660128745
augment,2.489123126654961
augment,2.811764486626563
augment,2.880375663555765
augment,3.318071846817623
augment,3.4633653198804017
augment,4.391273535129435
augment,4.450315109013076
augment,5.22532535622543
augment,5.278039508387321
augment,5.707608034921166
augment,5.94209891734765
augment,6.1952882448239
augment,6.280149747226634
augment,6.352959994316115
augment,6.654172793960496
augment,6.784898763896234
augment,7.536680233297735
augment,7.783185220422294
augment,7.884198657274028
augment,8.480186299519803
augment,9.367879142252962
augment,10.904257875242465
Judaea,-12.667762595410357
Judaea,-11.8116836170035
Judaea,-11.6095965344255
Judaea,-8.969503461348728
Judaea,-8.604026425945001
Judaea,-8.420852045009331
Judaea,-8.39939738302587
Judaea,-8.139125330752092
Judaea,-7.920850891914066
Judaea,-7.911645783735502
Judaea,-7.733991988832546
Judaea,-7.40176151550582
Judaea,-7.0605217796743
Judaea,-6.853615525254185
Judaea,-6.758506194592516
Judaea,-6.524595079201484
Judaea,-6.276689846595318
Judaea,-6.118887982129402
Judaea,-5.932095100968908
Judaea,-5.74480574868307
Judaea,-5.263060934556222
Judaea,-5.228707241833799
Judaea,-5.1766320423412795
Judaea,-5.120862498541044
Judaea,-5.101817095329888
Judaea,-4.974545435515179
Judaea,-4.592246831237227
Judaea,-4.4655544195444214
Judaea,-4.21437800053462
Judaea,-3.9925979193827033
Judaea,-3.911781069562223
Judaea,-3.5789504201495372
Judaea,-3.4080119276872014
Judaea,-3.3676224073559187
Judaea,-3.304790675676467
Judaea,-3.175309208253694
Judaea,-2.951981818906179
Judaea,-2.7450933072345447
Judaea,-2.4160370542775884
Judaea,-2.302851075726069
Judaea,-2.2278515613507697
Judaea,-1.8788367206171763
Judaea,-1.7937410099808457
Judaea,-1.7086018317068075
Judaea,-1.6648097922683625
Judaea,-1.2161835755175059
Judaea,-0.8228907475766328
Judaea,-0.7729250322139031
Judaea,-0.6920942283733484
Judaea,-0.21544946469030998
Judaea,-0.03915675478816877
Judaea,0.08623091117352968
Judaea,0.20148838105566386
Judaea,0.2468582763812712
Judaea,0.2704165970054221
Judaea,0.2856541374294519
Judaea,0.6939348742375108
Judaea,0.9104896905278134
Judaea,1.2706351092186388
Judaea,1.3318500539140954
Judaea,1.591929082783763
Judaea,1.6361677699542463
Judaea,1.7168265605370574
Judaea,2.0865224849787114
Judaea,2.292133244738173
Judaea,2.3614498714708163
Judaea,2.4614223475569976
Judaea,2.5006052507814394
Judaea,2.5467470095859754
Judaea,2.6012190508625213
Judaea,2.720932624463169
Judaea,2.9115448011005225
Judaea,3.186261344973641
Judaea,3.2926730385921146
Judaea,3.440730456102943
Judaea,3.4414384311157433
Judaea,3.449959034565942
Judaea,3.6684765748147705
Judaea,3.914669051568918
Judaea,4.329986094796634
Judaea,4.49609514038237
Judaea,4.540985774666198
Judaea,4.72470539839051
Judaea,4.890902975428585
Judaea,5.087371491558962
Judaea,5.388612669031266
Judaea,5.538246052978653
Judaea,5.670525300826942
Judaea,5.959711182732482
Judaea,6.058916949967734
Judaea,6.143658337249239
Judaea,6.444695455526969
Judaea,6.957001456298336
Judaea,7.013673351921589
Judaea,7.138508336537538
Judaea,7.292455806981332
Judaea,7.296346516332507
Judaea,7.515921666992253
Judaea,7.7585775412398625
Judaea,8.011054871622877
Judaea,8.160485299995852
Judaea,8.362070954015612
Judaea,9.114799502025434
Judaea,9.505498698933517
Judaea,9.745751840057123
Judaea,12.696561954759666
Judaea,12.876553073332214
Judaea,13.550925917152203
Judaea,17.943636539009187
rhomboids,-22.45128794853083
rhomboids,-20.42995750569078
rhomboids,-20.16265043252198
rhomboids,-14.713267432070763
rhomboids,-14.070707595517087
rhomboids,-12.948672535228567
rhomboids,-11.890990189772936
rhomboids,-11.730065854494203
rhomboids,-11.488323046131818
rhomboids,-10.64024112231386
rhomboids,-9.926246693751581
rhomboids,-9.882202854630629
rhomboids,-9.355398748233585
rhomboids,-9.300524220075216
rhomboids,-8.964355203982644
rhomboids,-8.878790302260146
rhomboids,-8.396494302477292
rhomboids,-7.6782948024627675
rhomboids,-7.6044821281662545
rhomboids,-7.604158203724074
rhomboids,-7.410622215058237
rhomboids,-7.304700885791892
rhomboids,-6.844101474218194
rhomboids,-6.04362022739736
rhomboids,-5.971227419036671
rhomboids,-5.120147401838417
rhomboids,-5.003526395030433
rhomboids,-4.726294572996062
rhomboids,-4.70255511674997
rhomboids,-4.256781206368363
rhomboids,-4.059949677202363
rhomboids,-4.026708078711509
rhomboids,-3.808356658531996
rhomboids,-3.6624964917491023
rhomboids,-3.0919670370164556
rhomboids,-3.03036116711388
rhomboids,-3.0041366030246053
rhomboids,-2.8323101343737167
rhomboids,-2.6964604346516237
rhomboids,-2.693678423318926
rhomboids,-2.594368715938452
rhomboids,-2.1737752155903687
rhomboids,-2.1423777644114925
rhomboids,-2.023342617762731
rhomboids,-1.5079325789019196
rhomboids,-1.2013635798714466
rhomboids,-1.0150643424475
rhomboids,-0.6354151569264315
rhomboids,-0.5855955643255358
rhomboids,-0.5561383172083445
rhomboids,-0.5495989915144331
rhomboids,-0.037219308756505004
rhomboids,0.12541566147663508
rhomboids,0.1723692455325968
